Resource,AZ_batteries_1,AZ_hydroelectric_pumped_storage_1,CA_N_batteries_1,CA_N_hydroelectric_pumped_storage_1,CA_S_batteries_1,CA_S_hydroelectric_pumped_storage_1,MT_WY_CO_batteries_1,MT_WY_CO_hydroelectric_pumped_storage_1,NM_batteries_1,PNW_batteries_1,PNW_hydroelectric_pumped_storage_1,UT_NV_batteries_1,AZ_utilityscale_battery_storage_lithium_ion_conservative_0,CA_N_utilityscale_battery_storage_lithium_ion_conservative_0,CA_S_utilityscale_battery_storage_lithium_ion_conservative_0,MT_WY_CO_utilityscale_battery_storage_lithium_ion_conservative_0,NM_utilityscale_battery_storage_lithium_ion_conservative_0,PNW_utilityscale_battery_storage_lithium_ion_conservative_0,UT_NV_utilityscale_battery_storage_lithium_ion_conservative_0,AZ_utilityscale_battery_storage_lithium_ion_conservative_0_8,CA_N_utilityscale_battery_storage_lithium_ion_conservative_0_8,CA_S_utilityscale_battery_storage_lithium_ion_conservative_0_8,MT_WY_CO_utilityscale_battery_storage_lithium_ion_conservative_0_8,NM_utilityscale_battery_storage_lithium_ion_conservative_0_8,PNW_utilityscale_battery_storage_lithium_ion_conservative_0_8,UT_NV_utilityscale_battery_storage_lithium_ion_conservative_0_8,AZ_conventional_hydroelectric_1,CA_N_conventional_hydroelectric_1,CA_S_conventional_hydroelectric_1,MT_WY_CO_conventional_hydroelectric_1,PNW_conventional_hydroelectric_1,UT_NV_conventional_hydroelectric_1,Total
Zone,1,1,2,2,3,3,4,4,5,6,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,6,7,0
AnnualSum,1.0177088070751634e8,9.726620156643784e6,8.75524897154295e6,2.2284812335012e8,5.21809210111479e7,1.5612006047366136e8,4.344256376935937e6,6.358470466881177e7,2.604228413236304e6,1.6302859783313884e6,3.8174171115745276e7,1.8738392536851205e7,0.0,5.397026952766041e7,1.561506491512452e7,1.3219998549828546e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.713198965586523e6,1.6822562516427305e7,1.9889864572491685e6,1.6943970999899216e7,1.6815864804534113e8,3.428125614330859e6,9.674407206571463e8
t1,6328.440199701292,991.4381270704409,619.4449221192866,24778.557722708603,0.0,12404.508542865007,90.67548851761026,3663.1821675677197,0.0,258.2,4515.937327532566,0.0,0.0,6817.845738879104,0.0,86.3139666027504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.03458107743666,2758.7,296.60204132648994,761.8430438060518,12022.068421548385,457.15552187376045,77258.94781319652
t2,5157.0582709931405,942.5195230520092,619.4449221192866,22266.4471533867,0.0,12404.508542865007,299.03719331361026,4180.60829756122,126.05424649489444,210.20561356455565,4515.937327532566,0.0,0.0,5879.94465538284,0.0,172.6279332055008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816.0691621548733,2758.7,180.39897933675502,761.8430438060518,11283.507842777406,406.2336812491736,72981.14638879559
t3,3813.1942507045987,833.7348159466546,619.4449221192866,22266.4471533867,0.0,12404.508542865007,507.3988981096103,4698.0344275547195,126.05424649489444,140.13707570970377,4289.01808158346,0.0,0.0,3797.2455845587124,0.0,172.6279332055008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1224.1037432323099,2758.7,328.7,1523.6860876121036,9934.120686423252,355.3118406245868,69792.46829013109
t4,2558.81782127712,833.7348159466546,619.4449221192866,19754.336584064797,0.0,12404.508542865007,507.3988981096103,5215.460557548219,307.03390424469444,70.06853785485188,4289.01808158346,0.0,0.0,3797.2455845587124,0.0,172.6279332055008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.03458107743654,1615.655528167164,328.7,1269.8139123878964,9277.310785359572,304.39,63733.600990369974
t5,1105.479938824165,833.7348159466546,0.0,17242.226014742893,0.0,12404.508542865007,507.3988981096103,5732.886687541719,307.03390424469444,0.0,4281.895545887219,0.0,0.0,556.9135476358146,0.0,258.9418998082512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.03458107743654,1796.3648243684852,328.7,2031.6569561939482,9277.310785359572,253.46815937541314,57326.55510198088
t6,0.0,724.9501088413001,0.0,14730.11544542099,0.0,12404.508542865007,715.7606029056103,6250.3128175352185,488.01356199449447,0.0,4281.895545887219,0.0,0.0,0.0,0.0,345.2558664110016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.0345810774366,778.6009597852008,148.30102066324497,2793.5,9283.102654113576,253.46815937541314,53605.81986687572
t7,0.0,724.9501088413001,0.0,14730.11544542099,0.0,12404.508542865007,902.2,6767.738947528718,668.9932197442945,23.90800245784027,4305.299724052,386.6125570440484,0.0,0.0,0.0,374.4825657156184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.0345810774367,778.6009597852008,148.30102066324497,2793.5,11167.33085762375,506.9363187508263,57091.51285157028
t8,1019.2107304470708,811.9778745256001,0.0,16739.80390087889,0.0,13893.729815880008,902.2,7285.165077522218,706.1330697549921,23.90800245784027,4305.299724052,1889.6748903578482,0.0,0.0,286.0226118095818,374.4825657156184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816.0691621548733,778.6009597852008,296.60204132648994,2793.5,15795.866305088111,456.0144781262394,69174.26120988258
