Resource,AZ_batteries_1,AZ_hydroelectric_pumped_storage_1,CA_N_batteries_1,CA_N_hydroelectric_pumped_storage_1,CA_S_batteries_1,CA_S_hydroelectric_pumped_storage_1,MT_WY_CO_batteries_1,MT_WY_CO_hydroelectric_pumped_storage_1,NM_batteries_1,PNW_batteries_1,PNW_hydroelectric_pumped_storage_1,UT_NV_batteries_1,AZ_utilityscale_battery_storage_lithium_ion_advanced_0,CA_N_utilityscale_battery_storage_lithium_ion_advanced_0,CA_S_utilityscale_battery_storage_lithium_ion_advanced_0,MT_WY_CO_utilityscale_battery_storage_lithium_ion_advanced_0,NM_utilityscale_battery_storage_lithium_ion_advanced_0,PNW_utilityscale_battery_storage_lithium_ion_advanced_0,UT_NV_utilityscale_battery_storage_lithium_ion_advanced_0,AZ_utilityscale_battery_storage_lithium_ion_advanced_0_8,CA_N_utilityscale_battery_storage_lithium_ion_advanced_0_8,CA_S_utilityscale_battery_storage_lithium_ion_advanced_0_8,MT_WY_CO_utilityscale_battery_storage_lithium_ion_advanced_0_8,NM_utilityscale_battery_storage_lithium_ion_advanced_0_8,PNW_utilityscale_battery_storage_lithium_ion_advanced_0_8,UT_NV_utilityscale_battery_storage_lithium_ion_advanced_0_8,AZ_conventional_hydroelectric_1,CA_N_conventional_hydroelectric_1,CA_S_conventional_hydroelectric_1,MT_WY_CO_conventional_hydroelectric_1,PNW_conventional_hydroelectric_1,UT_NV_conventional_hydroelectric_1,Total
Zone,1,1,2,2,3,3,4,4,5,6,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,6,7,0
AnnualSum,1.0822426611564974e8,1.012532843030679e7,9.699028931940073e6,2.1622306987044805e8,4.876547649504765e7,1.6359125263963756e8,3.895308702478496e6,6.064692580442113e7,3.4363772955355975e6,1.1761191760887497e6,3.2200324517546814e7,1.8887980766913086e7,0.0,5.105838842890629e7,1.4612442708898548e7,2.3914894448813605e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0358651835314699e7,1.7654460268890493e7,2.4002042835483104e6,1.8714763977261532e7,1.716399672356334e8,3.5196111861739517e6,9.692214381155221e8
t1,6796.457683501141,637.9223431571638,1123.9550778807134,25330.205629941964,0.0,12776.813861121198,0.0,3922.200699190889,0.0,188.1314621451481,3531.8316600421485,1842.56507985591,0.0,4990.052346970155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816.0691621548731,2758.7,148.30102066324497,761.8430438060518,14340.29384912046,304.39,80269.73291955104
t2,5473.329876555632,637.9223431571638,1123.9550778807134,22818.09506062006,0.0,12776.813861121198,208.361704796,3922.200699190889,0.0,140.13707570970377,3462.7493101299997,1588.8282978326388,0.0,4990.052346970155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1224.1037432323096,2117.5302226509643,180.39897933675502,761.8430438060518,12631.512879928252,253.46815937541314,74311.3026822939
t3,4050.9619325903923,637.9223431570001,1123.9550778807134,22818.09506062006,0.0,12776.813861121198,208.361704796,3922.200699190889,0.0,70.06853785485188,3462.7493101299997,1304.5769753632944,0.0,4990.052346970155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1257.3496950130652,778.6009597852008,328.7,1079.1783912705423,10338.136264887267,304.39,69452.11316063062
t4,2527.4317737884558,637.9223431570001,1123.9550778807134,20305.984491298157,0.0,12014.469323789866,208.361704796,4309.964830058501,0.0,70.06853785485188,3462.7493101299997,706.155764225941,0.0,3264.605470619816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,1557.2019195704015,148.30102066324497,761.8430438060519,9277.310785359572,253.46815937541314,62214.59355637399
t5,1062.3554958283414,637.9223431570001,504.51015576142674,19251.914470200794,0.0,12014.469323789866,416.723409592,4827.390960052001,0.0,0.0,3462.7493101299997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,781.5958501099525,148.30102066324497,761.8430438060519,9277.310785359572,253.46815937541314,54985.35432782567
t6,0.0,637.9223431570001,0.0,16739.80390087889,0.0,12014.469323789866,625.085114388,5344.817090045501,180.9796577498,0.0,3462.7493101299997,0.0,0.0,0.0,0.0,135.75365223954964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.03458107743654,778.6009597852006,148.30102066324497,761.8430438060519,9277.310785359572,304.39,50820.06078307012
t7,0.0,724.9501088413001,0.0,16739.80390087889,0.0,12404.508542865007,833.446819184,5862.243220039,361.9593154996,0.0,3462.7493101299997,0.0,0.0,0.0,0.0,271.5073044790993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.03458107743654,778.6009597852006,148.30102066324497,1523.6860876121038,9277.310785359572,253.46815937541314,53050.57011578987
t8,229.35329923315408,811.9778745256001,0.0,18749.492356336792,0.0,13893.729815880008,833.446819184,6379.6693500325,390.7096231286805,0.0,3462.7493101299997,0.0,0.0,0.0,0.0,317.4747339655622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816.0691621548731,778.6009597852006,148.30102066324497,2053.774432627596,9277.310785359572,253.46815937541314,58396.12770238219
