Region,Resource,Zone,Cluster,CapRes_1,CapRes_2,CapRes_3,CapRes_4,AnnualSum
AZ,AZ_conventional_hydroelectric_1,1,1,0.0,0.0,2.3877805148107586e6,0.0,2.3877805148107586e6
CA_N,CA_N_conventional_hydroelectric_1,2,1,5.633374926960228e6,0.0,0.0,0.0,5.633374926960228e6
CA_S,CA_S_conventional_hydroelectric_1,3,1,760275.1564016248,0.0,0.0,0.0,760275.1564016248
MT_WY_CO,MT_WY_CO_conventional_hydroelectric_1,4,1,0.0,2.159430304359764e7,0.0,0.0,2.159430304359764e7
PNW,PNW_conventional_hydroelectric_1,6,1,0.0,1.7564424953142032e8,0.0,0.0,1.7564424953142032e8
UT_NV,UT_NV_conventional_hydroelectric_1,7,1,0.0,1.5795401482001666e7,0.0,0.0,1.5795401482001666e7
AZ,AZ_conventional_steam_coal_1,1,1,0.0,0.0,3.123799751231982e7,0.0,3.123799751231982e7
AZ,AZ_natural_gas_fired_combined_cycle_1,1,1,0.0,0.0,1.500440912464218e8,0.0,1.500440912464218e8
AZ,AZ_natural_gas_fired_combustion_turbine_1,1,1,0.0,0.0,5.3857579632688746e7,0.0,5.3857579632688746e7
AZ,AZ_natural_gas_steam_turbine_1,1,1,0.0,0.0,1.2461002981623415e7,0.0,1.2461002981623415e7
AZ,AZ_nuclear_1,1,1,0.0,0.0,2.7144859464244254e7,0.0,2.7144859464244254e7
AZ,AZ_other_peaker_1,1,1,0.0,0.0,2.6934709532725206e6,0.0,2.6934709532725206e6
CA_N,CA_N_natural_gas_fired_combined_cycle_1,2,1,1.3089777649526587e8,0.0,0.0,0.0,1.3089777649526587e8
CA_N,CA_N_natural_gas_fired_combustion_turbine_1,2,1,5.6260095296950206e7,0.0,0.0,0.0,5.6260095296950206e7
CA_N,CA_N_nuclear_1,2,1,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_other_peaker_1,2,1,7.206417846605007e6,0.0,0.0,0.0,7.206417846605007e6
CA_S,CA_S_natural_gas_fired_combined_cycle_1,3,1,1.649375749349662e8,0.0,0.0,0.0,1.649375749349662e8
CA_S,CA_S_natural_gas_fired_combustion_turbine_1,3,1,1.0414067043484e8,0.0,0.0,0.0,1.0414067043484e8
CA_S,CA_S_natural_gas_steam_turbine_1,3,1,6.777754973002975e6,0.0,0.0,0.0,6.777754973002975e6
CA_S,CA_S_other_peaker_1,3,1,428662.87360203377,0.0,0.0,0.0,428662.87360203377
MT_WY_CO,MT_WY_CO_conventional_steam_coal_1,4,1,0.0,4.328492451809617e8,0.0,0.0,4.328492451809617e8
MT_WY_CO,MT_WY_CO_natural_gas_fired_combined_cycle_1,4,1,0.0,2.288873806901073e8,0.0,0.0,2.288873806901073e8
MT_WY_CO,MT_WY_CO_natural_gas_fired_combustion_turbine_1,4,1,0.0,1.8723510653378028e8,0.0,0.0,1.8723510653378028e8
MT_WY_CO,MT_WY_CO_natural_gas_steam_turbine_1,4,1,0.0,6.907615211914106e7,0.0,0.0,6.907615211914106e7
MT_WY_CO,MT_WY_CO_other_peaker_1,4,1,0.0,2.9870594005165026e7,0.0,0.0,2.9870594005165026e7
NM,NM_conventional_steam_coal_1,5,1,0.0,0.0,0.0,1.1604098969397642e7,1.1604098969397642e7
NM,NM_natural_gas_fired_combined_cycle_1,5,1,0.0,0.0,0.0,4.982980940560169e7,4.982980940560169e7
NM,NM_natural_gas_fired_combustion_turbine_1,5,1,0.0,0.0,0.0,4.6280763551974215e7,4.6280763551974215e7
NM,NM_natural_gas_steam_turbine_1,5,1,0.0,0.0,0.0,8.627722935039155e6,8.627722935039155e6
NM,NM_other_peaker_1,5,1,0.0,0.0,0.0,120562.06721452097,120562.06721452097
PNW,PNW_conventional_steam_coal_1,6,1,0.0,0.0,0.0,0.0,0.0
PNW,PNW_natural_gas_fired_combined_cycle_1,6,1,0.0,4.012226966546371e8,0.0,0.0,4.012226966546371e8
PNW,PNW_natural_gas_fired_combustion_turbine_1,6,1,0.0,8.3427206900529e7,0.0,0.0,8.3427206900529e7
PNW,PNW_nuclear_1,6,1,0.0,7.43052813917116e7,0.0,0.0,7.43052813917116e7
PNW,PNW_other_peaker_1,6,1,0.0,1.7862963823706858e7,0.0,0.0,1.7862963823706858e7
UT_NV,UT_NV_conventional_steam_coal_1,7,1,0.0,2.1008833816945863e8,0.0,0.0,2.1008833816945863e8
UT_NV,UT_NV_natural_gas_fired_combined_cycle_1,7,1,0.0,5.054760406333298e8,0.0,0.0,5.054760406333298e8
UT_NV,UT_NV_natural_gas_fired_combustion_turbine_1,7,1,0.0,1.3165139908090127e8,0.0,0.0,1.3165139908090127e8
UT_NV,UT_NV_natural_gas_steam_turbine_1,7,1,0.0,2.2304495847816102e7,0.0,0.0,2.2304495847816102e7
UT_NV,UT_NV_other_peaker_1,7,1,0.0,7.9211624906716e6,0.0,0.0,7.9211624906716e6
AZ,AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,1,0,0.0,0.0,0.0,0.0,0.0
AZ,AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,1,0,0.0,0.0,0.0,0.0,0.0
AZ,AZ_naturalgas_combustion_turbine_fframe_moderate_0,1,0,0.0,0.0,0.0,0.0,0.0
AZ,AZ_nuclear_nuclear__large_conservative_0,1,0,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,2,0,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,2,0,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_naturalgas_combustion_turbine_fframe_moderate_0,2,0,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_nuclear_nuclear__large_conservative_0,2,0,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_naturalgas_2on1_combined_cycle_fframe_moderate_0,3,0,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,3,0,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_naturalgas_combustion_turbine_fframe_moderate_0,3,0,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_nuclear_nuclear__large_conservative_0,3,0,0.0,0.0,0.0,0.0,0.0
