Resource,AZ_batteries_1,AZ_hydroelectric_pumped_storage_1,CA_N_batteries_1,CA_N_hydroelectric_pumped_storage_1,CA_S_batteries_1,CA_S_hydroelectric_pumped_storage_1,MT_WY_CO_batteries_1,MT_WY_CO_hydroelectric_pumped_storage_1,NM_batteries_1,PNW_batteries_1,PNW_hydroelectric_pumped_storage_1,UT_NV_batteries_1,AZ_utilityscale_battery_storage_lithium_ion_advanced_0,CA_N_utilityscale_battery_storage_lithium_ion_advanced_0,CA_S_utilityscale_battery_storage_lithium_ion_advanced_0,MT_WY_CO_utilityscale_battery_storage_lithium_ion_advanced_0,NM_utilityscale_battery_storage_lithium_ion_advanced_0,PNW_utilityscale_battery_storage_lithium_ion_advanced_0,UT_NV_utilityscale_battery_storage_lithium_ion_advanced_0,AZ_utilityscale_battery_storage_lithium_ion_advanced_0_8,CA_N_utilityscale_battery_storage_lithium_ion_advanced_0_8,CA_S_utilityscale_battery_storage_lithium_ion_advanced_0_8,MT_WY_CO_utilityscale_battery_storage_lithium_ion_advanced_0_8,NM_utilityscale_battery_storage_lithium_ion_advanced_0_8,PNW_utilityscale_battery_storage_lithium_ion_advanced_0_8,UT_NV_utilityscale_battery_storage_lithium_ion_advanced_0_8,Total
Zone,1,1,2,2,3,3,4,4,5,6,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,0
AnnualSum,8.421994680677509e6,357149.3585289117,690317.1407622579,8.2887577881116085e6,4.418666530529408e6,6.339639588456666e6,452169.4425400534,1.7870252294346066e6,432201.68155436404,109926.63660446461,1.0015185478832682e6,1.6282954284740654e6,0.0,4.728110925103522e6,1.4494753646081532e6,184646.1768088912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.028989452007776e7
t1,0.0,0.0,0.0,0.0,0.0,0.0,74.57329493262183,511.55549680837976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.6206414289046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679.7494331699062
t2,0.0,0.0,0.0,0.0,0.0,0.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.61685860492531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.6168586049253
t3,0.0,0.0,0.0,0.0,0.0,0.0,226.0,472.27561058713684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.1855084064812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733.461118993618
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.5
t5,0.0,0.0,0.0,0.0,0.0,0.0,226.0,578.5,13.338779710456718,0.0,0.0,0.0,0.0,0.0,0.0,50.60575211007778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,868.4445318205345
t6,0.0,0.0,0.0,0.0,0.0,0.0,226.0,578.5,105.08327500068276,0.0,0.0,0.0,0.0,0.0,0.0,50.60575211007778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.1890271107605
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.5,196.3,0.0,0.0,0.0,0.0,0.0,0.0,93.6206414289046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,868.4206414289046
t8,694.2528948430311,97.3,0.0,2246.9,0.0,1665.0,0.0,578.5,180.41439623615275,64.6,0.0,0.0,0.0,0.0,310.2350805406092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5837.202371619794
t9,2534.298360177596,97.3,571.1,2246.9,3095.9,1665.0,0.0,578.5,20.095204051921655,0.0,0.0,0.0,0.0,2987.438527957301,916.2040537555216,8.928217920332589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14721.664363862676
t10,6469.0,97.3,177.68280024998114,2246.9,2821.0327561952026,1665.0,0.0,504.93893093632454,135.9143358358017,64.6,0.0,1630.3,0.0,2987.438527957301,916.2040537555216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19716.311404930133
t11,6469.0,97.3,571.1,2246.9,3095.9,1665.0,0.0,578.5,146.16055070923153,0.0,0.0,1630.3,0.0,2366.1599615323,916.2040537555216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19782.524565997053
t12,2458.1350801835533,97.3,571.1,2246.9,3095.9,1665.0,0.0,417.2651109594692,54.25397037284608,0.0,0.0,0.0,0.0,2599.2842190958663,916.2040537555216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14121.342434367256
t13,3548.991777588583,97.3,0.0,2246.9,0.0,1665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,846.8184491442177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8405.0102267328
t14,648.1652996311086,97.3,0.0,2246.9,0.0,1665.0,0.0,0.0,0.0,0.0,0.0,797.3011427642707,0.0,1174.188462004603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6628.854904399982
t15,0.0,0.0,0.0,2246.9,0.0,1665.0,0.0,0.0,0.0,64.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3976.5
t16,0.0,0.0,0.0,2246.9,0.0,1248.7499999972715,0.0,0.0,0.0,64.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3560.2499999972715
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.657220961652605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.657220961652605
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.5,16.782758406434287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595.2827584064343
t26,0.0,0.0,0.0,0.0,0.0,0.0,226.0,578.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.278661410882243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,812.7786614108823
t27,0.0,0.0,0.0,0.0,0.0,0.0,226.0,578.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,804.5
t28,0.0,0.0,0.0,0.0,0.0,0.0,226.0,578.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.25100967463178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,826.7510096746317
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.67042099097829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,646.1704209909783
t30,0.0,0.0,0.0,0.0,0.0,0.0,74.57329493262192,578.5,49.079640952070754,0.0,0.0,0.0,0.0,0.0,0.0,27.121355646497733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,729.2742915311904
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.5,196.3,0.0,0.0,0.0,0.0,0.0,0.0,93.6206414289046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,868.4206414289046
t32,3244.7759983077462,97.3,0.0,2246.9,0.0,1665.0,226.0,578.5,196.3,0.0,0.0,0.0,0.0,1011.5740358623856,632.0136652441307,93.6206414289046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9991.984340843168
t33,6469.0,97.3,571.1,2246.9,3095.9,1665.0,0.0,578.5,196.3,0.0,0.0,849.9703871283634,0.0,2987.438527957301,916.2040537555216,93.6206414289046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19767.23361027009
t34,6457.1991906486055,97.3,571.1,2246.9,3095.9,1665.0,0.0,578.5,81.13931056345058,64.6,0.0,1345.5985006436276,0.0,2987.438527957301,916.2040537555216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20106.87958356851
t35,5740.852361349089,97.3,571.1,2246.9,3095.9,1665.0,0.0,0.0,98.82535218189878,64.6,0.0,853.8352153572432,0.0,2987.438527957301,916.2040537555216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18337.955510601056
t36,0.0,97.3,177.68280024998114,2246.9,2821.0327561952026,1665.0,0.0,0.0,33.6162082196729,64.6,0.0,428.4689872523959,0.0,2987.438527957301,594.4254690519998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11116.464748926554
t37,713.2505863102472,35.52636908650946,0.0,2246.9,0.0,1665.0,0.0,0.0,0.0,0.0,0.0,87.94316201964055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4748.620117416397
t38,196.76527580818455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.6,0.0,492.08489036299954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,753.450166171184
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
