Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
t1,-4600.0,0.0,-511.5888092218984,-20641.6005,1838.231,0.0,-5606.001548807483,0.0,10521.673999999999,5560.0,964.1381908770381,-7153.938,-4774.3150000000005,-1314.1785,0.0
t2,-4600.0,0.0,-511.5888092218984,-20641.6005,1838.231,0.0,-4866.504684388939,0.0,10521.673999999999,5560.0,1570.2540363300097,-7153.938,-4774.3150000000005,-1314.1785,0.0
t3,-4600.0,-1474.7936017917548,-511.5888092218984,-20641.6005,1838.231,0.0,-5080.0276080464855,0.0,10521.673999999999,5560.0,1674.7705312612309,-7153.938,-4774.3150000000005,-1314.1785,0.0
t4,-4600.0,0.0,-511.5888092218984,-20641.6005,1838.231,0.0,-5322.542803250116,0.0,10521.673999999999,5560.0,1538.496934573368,-7153.938,-4774.3150000000005,-1314.1785,0.0
t5,-4600.0,0.0,-511.5888092218984,-20641.6005,1838.231,-253.36761936914328,-6102.073729950374,244.30650690667647,10521.673999999999,5560.0,1598.5469861360502,-7153.938,-4774.3150000000005,-1314.1785,0.0
t6,-4600.0,-2138.748868707063,-511.5888092218984,-20641.6005,1838.231,139.9240032897403,-5886.4818169475075,1019.7690410821806,10521.673999999999,5560.0,1809.7084397077645,-7153.938,-4774.3150000000005,-1314.1785,-500.0
t7,-4600.0,-7730.8825,-511.5888092218984,-20641.6005,1838.231,1687.1795,-6213.019609651179,2400.0,10521.673999999999,5560.0,2043.1922794390994,-7153.938,-4774.3150000000005,-1314.1785,-500.0
t8,-4600.0,0.0,0.0,-13281.832368943858,1838.231,0.0,0.0,2400.0,10474.116330182744,5560.0,38.147417045309034,-7037.335467966988,-4774.3150000000005,-1314.1785,0.0
t9,-4600.0,1419.332378633414,0.0,-12123.863662184885,1838.231,0.0,431.58385971507244,2400.0,0.0,5560.0,-1044.297075142203,-1200.5576143165629,-4774.3150000000005,-1314.1785,0.0
t10,-4600.0,5503.372030725204,0.0,-10237.549047361046,1767.5977587152727,0.0,3598.9106129584416,2400.0,0.0,5560.0,-47.71715958398533,0.0,-4774.3150000000005,0.0,0.0
t11,-4600.0,7730.8825,0.0,-9887.971726001302,1093.9304358837287,0.0,4871.159083037292,2400.0,0.0,5560.0,-271.1536935310006,0.0,-4774.3150000000005,0.0,0.0
t12,-4600.0,6457.099473932426,0.0,-8584.496373481079,0.0,0.0,837.2727090245755,2400.0,0.0,5560.0,-846.3055981922561,0.0,-4774.3150000000005,0.0,0.0
t13,-4600.0,7730.8825,0.0,-10257.262101723541,0.0,0.0,3315.384599227136,2400.0,0.0,5560.0,-1079.1374633820774,0.0,-3351.220800220966,0.0,0.0
t14,-4600.0,5277.251409177509,0.0,-13430.039147410302,0.0,0.0,0.0,2400.0,0.0,5560.0,-1260.847392337406,0.0,-2115.1208935803,0.0,0.0
t15,-4329.936988003669,4208.283342349507,0.0,-18198.538915630354,0.0,1687.1795,0.0,0.0,0.0,5560.0,-1182.9382470347762,0.0,-956.9853581826789,0.0,-500.0
t16,0.0,2761.4205222789674,0.0,-20641.6005,0.0,1687.1795,-2333.1555192586084,0.0,979.3937414557084,5560.0,1336.9824359971713,0.0,-1836.913310889059,-1314.1785,-500.0
t17,0.0,2222.085232574319,0.0,-20641.6005,820.250425055972,1687.1795,-2467.8233081223702,0.0,2936.661214507027,5560.0,2552.394478377214,1152.6909232715414,-4774.3150000000005,0.0,-500.0
t18,-559.3501537365375,1514.6481866294487,0.0,-20641.6005,0.0,1687.1795,-3076.347011495375,0.0,10521.673999999999,5560.0,1983.1711187341393,1754.0436458611841,-4774.3150000000005,-1314.1785,-500.0
t19,-516.9671729564224,0.0,0.0,-20641.6005,0.0,1687.1795,-3394.339402609441,0.0,10521.673999999999,5560.0,2833.9605,545.2684916294962,-4494.528299733458,-1314.1785,-500.0
t20,-2940.0512014434803,0.0,0.0,-20641.6005,0.0,1687.1795,-5529.565025446881,0.0,10521.673999999999,5560.0,721.7897578964406,3479.0750179251813,-4296.559474152211,-1314.1785,-500.0
t21,-1382.1493874927035,0.0,0.0,-20641.6005,0.0,1687.1795,-3442.5985371857178,0.0,10521.673999999999,5560.0,1877.4291227463327,4459.410348882821,-4335.133922853718,-1314.1785,-500.0
t22,-2030.0158432823398,0.0,0.0,-20641.6005,0.0,1687.1795,-3959.2914484445237,0.0,10521.673999999999,5560.0,966.5332144337922,6785.533513415848,-4133.715939577399,-1314.1785,-500.0
t23,-2588.2741282007582,0.0,0.0,-20641.6005,0.0,1687.1795,-4561.140301443411,0.0,10521.673999999999,5560.0,0.0,6399.222333068861,-3486.1653271194973,-1314.1785,-500.0
t24,-490.21147459237335,23.930720525698263,0.0,-20641.6005,0.0,1687.1795,-2474.335482236712,0.0,10521.673999999999,5560.0,2230.1775297664253,6720.514168843635,-3315.3839983940893,-1314.1785,-500.0
t25,-4600.0,0.0,-511.5888092218984,-20641.6005,1838.231,-1687.1795,-4970.439188109122,289.06631837630863,10521.673999999999,4412.869343319695,2661.3715040986576,-7153.938,-4774.3150000000005,-1314.1785,500.0
t26,-4600.0,0.0,-511.5888092218984,-20641.6005,1838.231,-1687.1795,-5361.129244570542,956.1444787159575,10521.673999999999,2364.334358093535,2543.706788950298,-7153.938,-4774.3150000000005,-1314.1785,500.0
