Zone,1,2,3,4,5,6,7,Total
CO2_Price_1,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_2,25.96949103500723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualSum,5.099999999999998e6,183390.43992007588,111796.16512937777,4.9736287566905655e7,2.109436017461565e6,1.887940866084342e7,5.070280039218979e7,1.2682311924244988e8
t1,2102.941676140556,0.0,0.0,6809.409031465471,292.4363904,5459.219944962123,9222.782549212421,23886.789592180572
t2,2102.941676140556,0.0,0.0,6902.62625481653,292.4363904,4669.301248716738,9252.607881276552,23219.913451350374
t3,2102.941676140556,0.0,0.0,6676.02657988365,292.4363904,5459.219944962123,9004.224278629223,23534.84887001555
t4,2102.941676140556,0.0,0.0,6459.073450042589,292.4363904,5335.044504444158,9068.833485342944,23258.329506370246
t5,2102.941676140556,0.0,0.0,6025.358979183057,292.4363904,5459.219944962123,9131.34186814498,23011.298858830716
t6,2102.941676140556,0.0,0.0,5679.880993182627,292.4363904,5459.219944962123,9075.752514224292,22610.231518909597
t7,1145.832980251717,0.0,0.0,4953.5948836025045,287.05927774670715,3290.72068360748,8696.830059065142,18374.03788427355
t8,0.0,0.0,0.0,4259.4311699324235,292.4363904,2729.6099724810615,6633.078599326777,13914.556132140264
t9,0.0,0.0,0.0,5177.429918210032,292.4363904,2729.6099724810615,6633.078599326777,14832.554880417872
t10,0.0,0.0,0.0,5923.5674309683845,292.4363904,2729.6099724810615,6633.078599326777,15578.692393176225
t11,0.0,0.0,0.0,6051.315880702462,292.4363904,2729.6099724810615,6633.078599326777,15706.440842910302
t12,0.0,0.0,0.0,6936.095679839999,292.4363904,2729.6099724810615,6633.078599326777,16591.22064204784
t13,0.0,0.0,0.0,6936.095679839999,292.4363904,2729.6099724810615,6633.078599326777,16591.22064204784
t14,0.0,0.0,0.0,6936.095679839999,292.4363904,2917.3914464281047,6633.078599326777,16779.00211599488
t15,0.0,0.0,0.0,6936.095679839999,292.4363904,3976.694746671558,8545.87266819293,19751.09948510449
t16,0.0,0.0,0.0,6936.095679839999,292.4363904,5459.219944962119,9710.13097963106,22397.882994833177
t17,2670.537270240571,0.0,0.0,6936.095679839999,292.4363904,5459.219944962119,9890.318205693555,25248.607491136245
t18,2102.941676140556,0.0,0.0,6936.095679839999,292.4363904,5459.219944962119,9890.318205693555,24681.01189703623
t19,2102.941676140556,0.0,0.0,6936.095679839999,292.4363904,5459.219944962119,9890.318205693555,24681.01189703623
t20,2102.941676140556,0.0,-7.033572728687432e-12,6936.095679839999,292.4363904,5459.219944962123,9890.318205693555,24681.011897036227
t21,2102.941676140556,0.0,4.668056347630531e-12,6936.095679839999,292.4363904,5459.219944962123,9890.318205693555,24681.01189703624
t22,2102.941676140556,0.0,0.0,6936.095679839999,292.4363904,5459.219944962123,9890.318205693555,24681.011897036235
t23,2102.941676140556,0.0,2.062920074122303e-11,6936.095679839999,292.4363904,5459.219944962123,9890.318205693555,24681.011897036253
t24,2102.941676140556,0.0,0.0,6936.095679839999,292.4363904,5459.219944962123,9890.318205693555,24681.011897036235
t25,1907.2414876271537,0.0,8.889592687697395e-14,6412.14145156545,292.4363904,6241.915091261933,8697.326785957965,23551.0612068125
t26,1907.2414876271537,0.0,0.0,5793.080834555256,292.4363904,6268.186004369401,8697.326785957965,22958.271502909774
t27,1907.2414876271537,0.0,0.0,4322.863674744078,292.4363904,6268.186004369401,8557.668740203759,21348.396297344392
t28,1907.2414876271537,-1.1022078979294748e-12,0.0,4463.708458933412,292.4363904,5876.583035959596,8400.840869192558,20940.81024211272
t29,1907.2414876271537,0.0,0.0,2774.438271936,292.4363904,6268.186004369401,8697.326785957965,19939.62894029052
t30,1907.2414876271537,0.0,0.0,2840.6619599265778,292.4363904,6268.186004369401,8697.326785957965,20005.8526282811
t31,1907.2414876271537,0.0,0.0,2774.438271936,116.97455615999999,5876.583035959596,8697.326785957965,19372.564137640715
t32,953.6207438135768,0.0,0.0,2774.438271936,116.97455615999999,5876.583035959596,7448.535644306581,17170.152252175754
t33,953.6207438135768,0.0,0.0,2774.438271936,292.4363904,5876.583035959596,7187.62226116262,17084.700703271796
t34,953.6207438135768,0.0,0.0,6936.095679839999,292.4363904,5747.359228288052,7404.856039955555,21334.368082297184
t35,953.6207438135768,0.0,1.1910022294614464e-12,6936.095679839999,292.4363904,5876.583035959596,8008.834522993871,22067.570373007045
t36,953.6207438135768,0.0,0.0,6936.095679839999,292.4363904,5876.583035959596,8614.38062414053,22673.1164741537
t37,953.6207438135768,0.0,0.0,6936.095679839999,292.4363904,5876.583035959596,8697.326785957965,22756.06263597114
t38,953.6207438135768,0.0,0.0,6936.095679839999,292.4363904,6268.186004369401,9062.278392104377,23512.617210527354
t39,953.6207438135768,0.0,0.0,6936.095679839999,292.4363904,6181.684983491887,9898.10386424588,24261.941661791345
t40,1907.2414876271537,0.0,0.0,6936.095679839999,292.4363904,6268.186004369401,10193.226441223624,25597.186003460178
t41,1907.2414876271537,0.0,0.0,6936.095679839999,292.4363904,6268.186004369401,10193.226441223624,25597.186003460178
t42,1907.2414876271537,0.0,0.0,6936.095679839999,292.4363904,6268.186004369401,10193.226441223624,25597.186003460178
t43,1907.2414876271537,0.0,0.0,6936.095679839999,292.4363904,6268.186004369401,10193.22644122362,25597.186003460174
t44,1907.2414876271537,0.0,0.0,6936.095679839999,292.4363904,6268.186004369401,10193.226441223624,25597.186003460178
t45,1907.2414876271537,0.0,0.0,6936.095679839999,292.4363904,6268.186004369401,10193.226441223624,25597.186003460178
t46,1907.2414876271537,0.0,0.0,6936.095679839999,292.4363904,5926.833181938303,10193.226441223624,25255.833181029077
t47,1907.2414876271537,0.0,0.0,6936.095679839999,292.4363904,6268.186004369401,10193.226441223624,25597.186003460178
t48,1907.2414876271537,0.0,9.381314157508315e-13,6936.095679839999,292.4363904,6268.186004369401,10193.226441223624,25597.186003460178
t49,4147.13497962241,8.889592687697395e-14,5.333755612618438e-13,6936.095679839999,489.2729669290741,7908.77413254979,9247.040967724835,28728.318726666108
t50,4147.13497962241,0.0,0.0,6936.095679839999,471.91582523474506,7908.77413254979,8815.701790246438,28279.622407493378
t51,4147.13497962241,0.0,0.0,6936.095679839999,471.91582523474506,7908.77413254979,8775.141856659604,28239.062473906546
t52,4147.13497962241,0.0,0.0,6936.095679839999,471.91582523474506,7908.77413254979,8863.65951046225,28327.580127709192
t53,4147.13497962241,0.0,0.0,6936.095679839999,471.91582523474506,7908.77413254979,8811.767673724686,28275.68829097163
t54,4147.13497962241,0.0,0.0,6936.095679839999,471.91582523474506,7908.77413254979,8811.688721411127,28275.60933865807
t55,4147.13497962241,0.0,0.0,6936.095679839999,433.3552272560367,7908.77413254979,8788.08388335468,28213.443902622916
t56,2670.8508011467975,0.0,0.0,6936.095679839999,392.1799188100473,7505.643730987509,8554.47598536013,26059.24611614448
t57,2046.3708093549644,0.0,0.0,6936.095679839999,339.14890795168026,7640.4983309428,8554.475985360132,25516.589713449575
t58,2046.3708093549644,0.0,0.0,6936.095679839999,225.20046746509217,7683.181979182589,8554.47598536013,25445.324921202773
t59,2046.3708093549644,0.0,0.0,6936.095679839999,292.4363904,7189.769283295678,8554.47598536013,25019.148148250773
t60,2046.3708093549644,0.0,0.0,6936.095679839999,124.76951980871088,7490.078654041777,8554.47598536013,25151.79064840558
t61,2046.3708093549644,0.0,0.0,6936.095679839999,116.97455615999999,7162.798939776376,8554.47598536013,24816.715970491467
t62,2046.3708093549644,0.0,0.0,6936.095679839999,116.97455615999999,6917.634460745581,8554.47598536013,24571.551491460676
t63,2046.3708093549644,0.0,0.0,6936.095679839999,148.59597379479303,7179.667411301312,8554.47598536013,24865.2058596512
t64,2046.3708093549644,0.0,0.0,6936.095679839999,116.97455615999999,7368.401567852886,8554.47598536013,25022.31859856798
t65,2046.3708093549644,0.0,1.0616713552735747e-12,6936.095679839999,311.867318280312,6696.877100049791,9907.524840027956,25898.735747553023
t66,2046.3708093549644,0.0,-5.630075368875017e-13,6936.095679839999,300.21263998084345,6696.877100049789,9907.524840027956,25887.081069253552
t67,2046.3708093549644,0.0,0.0,6936.095679839999,307.59757116729963,6823.1131422535655,9876.57598314109,25989.75318575692
t68,2138.0173928773925,0.0,-1.0616713552735747e-12,6936.095679839999,324.1814596676938,6883.815593361144,9702.877614304098,25984.987740050325
t69,2046.3708093549644,0.0,5.630075368875017e-13,6936.095679839999,353.10583165190474,7039.387939676373,9502.72154969612,25877.681810219365
t70,2046.3708093549644,0.0,0.0,6936.095679839999,386.6275854731232,7460.826323920173,9219.904780046494,26049.825178634754
t71,2046.3708093549644,0.0,0.0,6936.095679839999,369.2818247546333,7908.77413254979,8898.061591609085,26158.58403810847
t72,2165.2832312180512,9.381314157508315e-13,5.628788494504989e-12,6936.095679839999,402.3136870404857,7093.967985543447,9389.896877284416,25987.557460926404
t73,0.0,0.0,0.0,0.0,292.4363904,2719.680666969871,7224.827465915483,10236.944523285354
t74,0.0,0.0,0.0,0.0,292.4363904,2908.949344593844,7224.827465915483,10426.213200909327
t75,0.0,0.0,0.0,0.0,292.4363904,1454.474672296922,7224.827465915483,8971.738528612404
t76,0.0,0.0,0.0,0.0,292.4363904,1945.6774055546257,7248.2278011386625,9486.341597093287
t77,0.0,0.0,0.0,0.0,292.4363904,2908.949344593844,7201.427130692304,10402.812865686148
t78,0.0,0.0,0.0,0.0,292.4363904,1454.474672296922,7201.427130692304,8948.338193389225
t79,0.0,0.0,0.0,0.0,116.97455615999999,2351.287192042481,7054.170469558344,9522.432217760825
t80,0.0,0.0,0.0,0.0,116.97455615999999,1454.474672296922,1570.0568153611587,3141.506043818081
t81,0.0,0.0,0.0,0.0,116.97455615999999,1454.474672296922,1570.0568153611587,3141.506043818081
t82,0.0,0.0,0.0,0.0,116.97455615999999,1454.474672296922,1570.0568153611584,3141.506043818081
t83,0.0,0.0,0.0,0.0,116.97455615999999,1454.474672296922,1570.0568153611587,3141.506043818081
t84,0.0,0.0,1.876262831501663e-12,-1.881711068563163e-12,116.97455615999999,1454.474672296922,1570.0568153611587,3141.506043818081
t85,0.0,0.0,0.0,0.0,116.97455615999999,1454.474672296922,1570.0568153611584,3141.506043818081
t86,0.0,0.0,0.0,3.763422137126326e-12,116.97455615999999,1454.474672296922,1570.0568153611587,3141.5060438180844
t87,0.0,0.0,0.0,0.0,116.97455615999999,1906.8083942538656,3595.560211137158,5619.3431615510235
t88,0.0,0.0,0.0,4.221401505679978e-12,292.4363904,2908.949344593846,7267.464114770675,10468.849849764525
t89,0.0,0.0,0.0,0.0,292.4363904,2908.9493445938447,7253.4435236712325,10454.829258665077
t90,0.0,0.0,0.0,0.0,116.97455615999999,2908.9493445938447,7253.4435236712325,10279.367424425076
t91,0.0,0.0,0.0,0.0,116.97455615999999,2908.9493445938447,7253.4435236712325,10279.367424425076
t92,0.0,0.0,1.0616713552735747e-12,0.0,116.97455615999999,2908.9493445938447,7253.4435236712325,10279.367424425078
t93,0.0,0.0,-5.630075368875017e-13,0.0,116.97455615999999,2908.949344593844,7253.4435236712325,10279.367424425076
t94,0.0,0.0,0.0,0.0,116.97455615999999,2908.949344593844,7253.4435236712325,10279.367424425076
t95,0.0,0.0,0.0,0.0,116.97455615999999,2908.949344593844,7253.4435236712325,10279.367424425076
t96,0.0,0.0,0.0,0.0,116.97455615999999,2908.949344593844,7253.4435236712325,10279.367424425076
t97,2993.73321225372,309.4785699016593,152.52739026,2774.438271936,165.36656137888326,9884.0939538166,7521.352597552367,23800.99055709923
t98,3348.0544077912227,309.4785699016593,152.52739026,3270.3335060892437,340.8283956188833,9644.100920816602,7521.352597552367,24586.675788029977
t99,4077.38859973294,309.4785699016593,152.52739026,5025.7804419715285,340.8283956188833,9644.100920816602,7361.389864122337,26911.49418242395
t100,5180.5878799106595,309.4785699016593,152.52739026,5970.4341601211845,340.828395618884,9644.100920816602,6885.025188394946,28482.982505023934
t101,6170.126747663875,309.4785699016593,152.52739026,6936.095679839999,340.8283956188833,9644.100920816602,7183.231764439628,30736.389468540645
t102,6219.093771693741,309.4785699016593,152.52739026,6936.095679839999,340.8283956188833,9644.100920816602,6720.409285021642,30322.534013152523
t103,6202.127988266677,309.4785699016593,152.52739026,6936.095679839999,340.8283956188833,9644.100920816602,6741.395825022103,30326.554769725924
t104,6061.9829152628545,0.0,91.51643415599999,6936.095679839999,340.8283956188833,9644.100920816602,6522.673836918901,29597.198182613236
t105,5958.0451555648415,0.0,91.51643415599999,6936.095679839999,372.79754843898206,8412.143876610085,7361.389864122335,29131.988558732242
