BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7
AnnualSum,1.3447257138965893e8,6.770844073163937e6,-7.978441116811131e6,0.0,0.0,1646.5910545601075,0.0,3.1814569850181345e7,-3.6508732158190273e6,-1.6143031757142845e8,1.8905240074634692e8,1.06246975876188e7,-1.294105541569753e7,0.0,0.0,5819.007428571429,0.0,3.6489068578010555e6,-2.6174594977834513e6,-1.8777330928571424e8,2.235474594764269e8,9.183704720623545e6,-1.1112212651836788e7,0.0,0.0,5833.323803882729,0.0,8.016595653933248e7,-5.080978122635748e6,-2.967097632857144e8,2.2099899792434868e8,1.4968551337038307e6,-1.8353002229311215e6,0.0,0.0,5905.03060018842,0.0,-6.047644616512623e7,-3.683575557738328e6,-1.5650643614285713e8,8.106534275120153e7,321641.5102532731,-378401.77654633834,0.0,0.0,620.1569296446755,0.0,-3.2140940759409104e7,-2.0123280252861152e6,-4.685593385714286e7,2.9211823186350775e8,461654.3468068174,-572883.0938949956,0.0,0.0,9861.820142857145,0.0,7.201223941075139e6,-5.174180449066295e6,-2.940439084285715e8,1.7362106363064587e8,1.2576220275562562e6,-1.4795553256678956e6,0.0,0.0,2561.3074285714288,0.0,-3.021327026385468e7,-4.343502518965198e6,-1.3884491885714293e8
t1,11311.10825086156,97.3,-0.0,0.0,0.0,0.0,0.0,6089.548344623605,-403.9565954851636,-17094.0,12143.768435014692,1825.5696705853097,-0.0,0.0,0.0,0.0,0.0,5627.988,-280.3261056,-19317.0,18197.780099710937,1977.206462147834,-0.0,0.0,0.0,0.0,0.0,14011.052155376396,-655.0387172351635,-33531.0,29471.935148493852,0.0,-578.5,0.0,0.0,0.0,0.0,-10756.793435478636,-628.6417130152245,-17508.0,11157.26535938659,0.0,-0.0,0.0,0.0,0.0,0.0,-5617.8690645213655,-278.3962948652244,-5261.0,36489.71550147434,0.0,-78.49999999933424,0.0,0.0,0.0,0.0,-3073.915500000001,-1038.300001475,-32299.0,22342.419747074997,0.0,-0.0,0.0,0.0,0.0,0.0,-6280.0105,-997.4092470749999,-15065.0
t2,10585.397731358367,29.042268641632745,-0.0,0.0,0.0,0.0,0.0,7000.0,-362.44,-17252.0,12733.438105600002,2246.9,-0.0,0.0,0.0,0.0,0.0,5627.988,-280.3261056,-20328.0,18301.82186268928,1370.0997590607185,-0.0,0.0,0.0,0.0,0.0,13100.6005,-613.52212175,-32159.0,29250.686882151655,0.0,-541.6087712038443,0.0,0.0,0.0,0.0,-10061.511464813058,-630.5666461347552,-18017.0,11877.472263171698,0.0,-0.0,0.0,0.0,0.0,0.0,-6313.151035186941,-280.3212279847552,-5284.0,38517.885848423546,0.0,-0.0,0.0,0.0,0.0,0.0,-2662.8852777504253,-1010.0005706731167,-34845.0,22539.15053852269,0.0,-0.0,0.0,0.0,0.0,0.0,-6691.040722249576,-969.1098162731167,-14879.0
t3,10195.832903528082,0.0,-0.0,0.0,0.0,0.0,0.0,6969.97618254774,-363.8090860758231,-16802.0,12904.038851791043,2378.299253808959,-0.0,0.0,0.0,0.0,0.0,5627.988,-280.3261056,-20630.0,18106.26689037356,0.0,-0.0,0.0,0.0,0.0,0.0,13130.62431745226,-614.891207825823,-30622.0,29377.391691363384,0.0,-653.0732949326218,0.0,0.0,0.0,0.0,-9938.444239827531,-632.8741566032338,-18153.0,12001.846998625704,0.0,-0.0,0.0,0.0,0.0,0.0,-6436.218260172469,-282.62873845323384,-5283.0,39839.21550147501,0.0,-0.0,0.0,0.0,0.0,0.0,-3073.915500000001,-1038.300001475,-35727.0,21627.419747074997,0.0,-0.0,0.0,0.0,0.0,0.0,-6280.0105,-997.4092470749999,-14350.0
t4,10089.435111455701,97.3,-0.0,0.0,0.0,0.0,0.0,6834.2625177355585,-369.9976291912585,-16651.0,12879.98140963053,2936.3566959694713,-0.0,0.0,0.0,0.0,0.0,5627.988,-280.3261056,-21164.0,18244.389981579174,1626.351787097643,-0.0,0.0,0.0,0.0,0.0,13266.337982264442,-621.0797509412586,-32516.0,29616.121322203533,0.0,-610.2008062940854,0.0,0.0,0.0,0.0,-10168.357227831284,-628.5632880781635,-18209.0,11925.848005193773,0.0,-124.22486309689316,0.0,0.0,0.0,0.0,-6206.305272168717,-278.3178699281634,-5317.0,39226.21550147501,0.0,-0.0,0.0,0.0,0.0,0.0,-3073.915500000001,-1038.300001475,-35114.0,21570.419747074997,0.0,-0.0,0.0,0.0,0.0,0.0,-6280.0105,-997.4092470749999,-14293.0
t5,11502.81753231623,97.3,-0.0,0.0,0.0,0.0,0.0,5543.728450347908,-428.84598266413536,-16715.0,12867.089148477036,3903.248957122962,-0.0,0.0,0.0,0.0,0.0,5627.988,-280.3261056,-22118.0,18061.40566513644,1138.6503896256036,-0.0,0.0,0.0,0.0,0.0,14556.872049652093,-679.9281044141354,-33077.0,29908.329897289932,0.0,-898.1206414289046,0.0,0.0,0.0,0.0,-10141.1355615399,-629.0736943211268,-18240.0,12051.655214631226,0.0,-196.3,0.0,0.0,0.0,0.0,-6233.526938460099,-278.82827617112684,-5343.0,39126.71067194613,0.0,-314.0,0.0,0.0,0.0,0.0,-3006.081070913713,-1033.629601032409,-34773.0,21529.58377571869,0.0,-0.0,0.0,0.0,0.0,0.0,-6347.844929086288,-992.738846632409,-14189.0
t6,10336.183258661244,0.0,-0.0,0.0,0.0,0.0,0.0,6882.609737317099,-367.7929959783403,-16851.0,15321.690773495013,2320.6473321049866,-0.0,0.0,0.0,0.0,0.0,5627.988,-280.3261056,-22990.0,19583.884355045437,0.0,-0.0,0.0,0.0,0.0,0.0,13217.990762682903,-618.8751177283402,-32183.0,29039.98029595267,0.0,-578.5,0.0,0.0,0.0,0.0,-9827.526430423108,-634.9538655295668,-17999.0,12321.14451695646,0.0,-196.3,0.0,0.0,0.0,0.0,-6547.136069576893,-284.70844737956673,-5293.0,38994.21550147501,0.0,-314.0,0.0,0.0,0.0,0.0,-3073.915500000001,-1038.300001475,-34568.0,21271.419747074997,0.0,-0.0,0.0,0.0,0.0,0.0,-6280.0105,-997.4092470749999,-13994.0
t7,10355.439999999999,0.0,-0.0,0.0,0.0,0.0,0.0,7000.0,-362.44,-16993.0,14462.568290710475,0.0,-0.0,0.0,0.0,0.0,0.0,9295.158088362938,-403.7263790734129,-23354.0,22877.545613675,0.0,-1566.0536300886438,0.0,0.0,0.0,0.0,9433.430411637062,-736.9223952234129,-30008.0,27936.617230013824,0.0,-898.1206414289046,0.0,0.0,0.0,0.0,-8954.167238201197,-651.3293503837276,-17433.0,13077.948623386077,0.0,-160.36942935354455,0.0,0.0,0.0,0.0,-7420.495261798804,-301.0839322337276,-5196.0,38519.21550147501,0.0,-314.0,0.0,0.0,0.0,0.0,-3073.915500000001,-1038.300001475,-34093.0,21249.419747074993,0.0,-0.0,0.0,0.0,0.0,0.0,-6280.0105,-997.4092470749999,-13972.0
t8,8967.419390981666,0.0,-97.3,0.0,0.0,0.0,0.0,8610.771803246367,-435.89119422803435,-17045.0,21915.2710004859,0.0,-2246.9,0.0,0.0,0.0,0.0,3643.7262808770724,-183.09728136297656,-23129.0,30483.476089570402,0.0,-1709.870477472954,0.0,0.0,0.0,0.0,1624.583539541871,-214.18915163932277,-30184.0,23074.904252956494,0.0,-578.5,0.0,0.0,0.0,0.0,-5106.642847944968,-296.76140501152855,-17093.0,10850.441443727124,0.0,-37.96054192785323,0.0,0.0,0.0,0.0,-5427.349005243894,-249.13189655537764,-5136.0,34275.16487006859,0.0,-335.6572209616526,0.0,0.0,0.0,0.0,-211.59722816504927,-359.9104209418937,-33368.0,17471.070661710677,0.0,-0.0,0.0,0.0,0.0,0.0,-3133.4925423114,-454.5781193992775,-13883.0
