Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7
cTotal,4.301513416432958e10,6.273543986327229e10,5.4785222130776276e10,7.880595372064317e9,2.4733698828691692e10,1.6451129395644674e10,7.436915271392108e10,7.752945576463426e10
cFix,3.051405413788002e11,6.19470367350096e10,5.395158266584777e10,7.342990170288867e9,2.3838573364051407e10,1.6301721733866615e10,7.026266626508092e10,7.14959704446551e10
cVar,6.438752204844888e8,4.332738169636513e7,1.3393834091412678e7,9.97992543659661e6,3.483226341681616e7,5.481088132277442e6,2.1616325559587064e8,3.2069747211519e8
cFuel,1.2490826529289022e10,6.912413502551006e8,8.05436570195711e8,5.097807035862315e8,8.478305256476266e8,1.3578528522349226e8,3.826488580492444e9,5.674263513888293e9
cNSE,8.244236715099083e7,5.284092953848979e6,1.4185844011572905e7,1.7387149682282485e7,1.2462083872421224e7,1.7492165142857144e6,2.3874176533632018e7,7.499803582947461e6
cStart,1.2700857327989018e8,4.855030335737892e7,623216.6298114357,457423.07033878803,591.7034213301413,6.392071908005374e6,3.996043621821032e7,3.1024530392724056e7
cUnmetRsv,0.0,-,-,-,-,-,-,-
cNetworkExp,2.7841689876917686e10,-,-,-,-,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-,-,-,-,-
cCO2,7.868642526887017e-13,0.0,8.459714265995901e-13,0.0,0.0,-5.91071739108884e-14,0.0,0.0
