Resource,AZ_conventional_steam_coal_1,AZ_natural_gas_fired_combined_cycle_1,AZ_natural_gas_fired_combustion_turbine_1,AZ_natural_gas_steam_turbine_1,AZ_nuclear_1,AZ_other_peaker_1,CA_N_natural_gas_fired_combined_cycle_1,CA_N_natural_gas_fired_combustion_turbine_1,CA_N_nuclear_1,CA_N_other_peaker_1,CA_S_natural_gas_fired_combined_cycle_1,CA_S_natural_gas_fired_combustion_turbine_1,CA_S_natural_gas_steam_turbine_1,CA_S_other_peaker_1,MT_WY_CO_conventional_steam_coal_1,MT_WY_CO_natural_gas_fired_combined_cycle_1,MT_WY_CO_natural_gas_fired_combustion_turbine_1,MT_WY_CO_natural_gas_steam_turbine_1,MT_WY_CO_other_peaker_1,NM_conventional_steam_coal_1,NM_natural_gas_fired_combined_cycle_1,NM_natural_gas_fired_combustion_turbine_1,NM_natural_gas_steam_turbine_1,NM_other_peaker_1,PNW_conventional_steam_coal_1,PNW_natural_gas_fired_combined_cycle_1,PNW_natural_gas_fired_combustion_turbine_1,PNW_nuclear_1,PNW_other_peaker_1,UT_NV_conventional_steam_coal_1,UT_NV_natural_gas_fired_combined_cycle_1,UT_NV_natural_gas_fired_combustion_turbine_1,UT_NV_natural_gas_steam_turbine_1,UT_NV_other_peaker_1,AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_moderate_0,AZ_naturalgas_combustion_turbine_fframe_moderate_0,AZ_nuclear_nuclear__large_moderate_0,CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_moderate_0,CA_N_naturalgas_combustion_turbine_fframe_moderate_0,CA_N_nuclear_nuclear__large_moderate_0,CA_S_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_moderate_0,CA_S_naturalgas_combustion_turbine_fframe_moderate_0,CA_S_nuclear_nuclear__large_moderate_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_moderate_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_moderate_0,MT_WY_CO_naturalgas_combustion_turbine_fframe_moderate_0,MT_WY_CO_nuclear_nuclear__large_moderate_0,NM_naturalgas_2on1_combined_cycle_fframe_moderate_0,NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_moderate_0,NM_naturalgas_combustion_turbine_fframe_moderate_0,NM_nuclear_nuclear__large_moderate_0,PNW_naturalgas_2on1_combined_cycle_fframe_moderate_0,PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_moderate_0,PNW_naturalgas_combustion_turbine_fframe_moderate_0,PNW_nuclear_nuclear__large_moderate_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_moderate_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_moderate_0,UT_NV_naturalgas_combustion_turbine_fframe_moderate_0,UT_NV_nuclear_nuclear__large_moderate_0,CA_S_nuclear_1,NM_nuclear_1
t1,41424.7,51232.583026274064,0.0,0.0,19185.732000000004,0.0,61.12675114685352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,34397.95100000001,8001.7590086592345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.391953302094407e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64167.9038926782,0.0,0.0,2.3874235921539366e-12,70471.47621948553,0.0,0.0,3.8198777474462986e-11,11287.386000000002,10706.856000000002
t2,41424.7,51232.583026274064,0.0,0.0,19185.732000000004,0.0,61.12675114685352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.45999999983,0.0,34397.95100000001,8001.75900865924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.893419417039694e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64167.9038926782,0.0,0.0,0.0,70471.47621948553,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t3,41424.7,51232.583026274064,0.0,0.0,19185.732000000004,0.0,61.12675114685352,0.0,0.0,0.0,0.0,0.0,9.478071660851129e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,34397.95100000001,8001.75900865924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5941916110004966e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0181190052426246e-11,0.0,0.0,0.0,0.0,64167.90389267826,0.0,0.0,0.0,70471.47621948553,0.0,0.0,-7.16227077646181e-12,11287.386000000002,10706.856000000002
t4,41424.7,51232.583026274064,0.0,0.0,19185.732000000004,0.0,61.12675114685352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,34397.95100000001,8001.75900865924,0.0,0.0,0.0,0.0,0.0,0.0,-2.864908310584724e-11,0.0,5.597922125843979e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64167.90389267826,0.0,0.0,2.3874235921539366e-12,70471.47621948553,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t5,41424.7,51232.583026274064,0.0,0.0,19185.732000000004,0.0,61.12675114685352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46000000004,0.0,34397.95100000001,8001.75900865924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.399414331781372e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7905676941154525e-12,0.0,0.0,0.0,0.0,64167.90389267826,0.0,0.0,0.0,70471.47621948553,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t6,41424.7,51232.58302627407,0.0,0.0,19185.732000000004,0.0,61.12675114685352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,34397.95100000001,8001.75900865924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.991772246081382e-11,0.0,0.0,0.0,0.0,0.0,0.0,-2.0442314507818082e-10,0.0,0.0,0.0,0.0,64167.90389267826,0.0,0.0,2.3874235921539366e-12,70471.47621948553,0.0,0.0,-7.16227077646181e-12,11287.386000000002,10706.855999999998
t7,41424.7,45292.63526573125,0.0,0.0,19185.732000000004,0.0,61.126751146857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,34397.95100000001,7886.183597267578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.582393214353942e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.432454155292362e-11,0.0,0.0,0.0,-6.923528417246416e-11,64167.90389267826,0.0,0.0,2.148681232938543e-11,70471.47621948553,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t8,41424.7,25616.291513137014,0.0,0.0,19185.732000000004,0.0,30.563375573425706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,34397.95100000001,4000.87950432962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.231575421291382e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6115109247039072e-11,0.0,0.0,0.0,0.0,64167.90389267826,0.0,0.0,-3.581135388230905e-11,70471.47621948553,0.0,0.0,1.5518253349000588e-11,11287.386000000002,10706.856000000002
t9,41424.7,25616.291513137014,0.0,0.0,19185.732000000004,0.0,30.563375573425706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,34397.95100000001,4000.87950432962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57658.11118950243,0.0,0.0,0.0,63101.739744075465,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t10,41424.7,25616.291513137014,0.0,0.0,19185.732000000004,0.0,30.563375573425706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,34397.95100000001,4000.87950432962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.01492205937393e-12,0.0,0.0,0.0,0.0,0.0,-3.8198777474462986e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32083.95194633913,0.0,0.0,0.0,41281.92264176445,0.0,0.0,0.0,11287.386000000002,7494.799200000001
