Resource,AZ_conventional_steam_coal_1,AZ_natural_gas_fired_combined_cycle_1,AZ_natural_gas_fired_combustion_turbine_1,AZ_natural_gas_steam_turbine_1,AZ_nuclear_1,AZ_other_peaker_1,CA_N_natural_gas_fired_combined_cycle_1,CA_N_natural_gas_fired_combustion_turbine_1,CA_N_nuclear_1,CA_N_other_peaker_1,CA_S_natural_gas_fired_combined_cycle_1,CA_S_natural_gas_fired_combustion_turbine_1,CA_S_natural_gas_steam_turbine_1,CA_S_other_peaker_1,MT_WY_CO_conventional_steam_coal_1,MT_WY_CO_natural_gas_fired_combined_cycle_1,MT_WY_CO_natural_gas_fired_combustion_turbine_1,MT_WY_CO_natural_gas_steam_turbine_1,MT_WY_CO_other_peaker_1,NM_conventional_steam_coal_1,NM_natural_gas_fired_combined_cycle_1,NM_natural_gas_fired_combustion_turbine_1,NM_natural_gas_steam_turbine_1,NM_other_peaker_1,PNW_conventional_steam_coal_1,PNW_natural_gas_fired_combined_cycle_1,PNW_natural_gas_fired_combustion_turbine_1,PNW_nuclear_1,PNW_other_peaker_1,UT_NV_conventional_steam_coal_1,UT_NV_natural_gas_fired_combined_cycle_1,UT_NV_natural_gas_fired_combustion_turbine_1,UT_NV_natural_gas_steam_turbine_1,UT_NV_other_peaker_1,AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,AZ_naturalgas_combustion_turbine_fframe_moderate_0,AZ_nuclear_nuclear__large_conservative_0,CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,CA_N_naturalgas_combustion_turbine_fframe_moderate_0,CA_N_nuclear_nuclear__large_conservative_0,CA_S_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,CA_S_naturalgas_combustion_turbine_fframe_moderate_0,CA_S_nuclear_nuclear__large_conservative_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_moderate_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,MT_WY_CO_naturalgas_combustion_turbine_fframe_moderate_0,MT_WY_CO_nuclear_nuclear__large_conservative_0,NM_naturalgas_2on1_combined_cycle_fframe_moderate_0,NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,NM_naturalgas_combustion_turbine_fframe_moderate_0,NM_nuclear_nuclear__large_conservative_0,PNW_naturalgas_2on1_combined_cycle_fframe_moderate_0,PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,PNW_naturalgas_combustion_turbine_fframe_moderate_0,PNW_nuclear_nuclear__large_conservative_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_moderate_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,UT_NV_naturalgas_combustion_turbine_fframe_moderate_0,UT_NV_nuclear_nuclear__large_conservative_0,CA_S_nuclear_1,NM_nuclear_1,Total
Zone,1,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,3,5,0
AnnualSum,35493.81576658662,117445.92308428792,0.0,0.0,85702.96564966922,0.0,41733.4721943843,1.9148110700613442e-14,0.0,-1.3100098736983944e-11,10485.66180088966,-9.564277563744442e-12,1.0900159999999986e6,0.0,305506.0462005473,0.0,1.662748197363423e-14,0.0,-1.0096522000143521e-13,2.219712e6,2887.0943660661324,0.003628999759272184,0.0,0.435374149659864,0.0,43472.17313279104,3149.4214260077033,8759.99999999999,8128.965353583296,203248.73805789216,31296.199987297314,-9.458237936885038e-15,0.0,0.0,674.0131666339648,0.0,0.0,0.0,0.0,0.0,-1.557773592659422e-11,0.0,-2.1454584141013457e-15,3.7354246679959555e-16,-5.772677574051548e-12,5.7883290481023045e-15,0.0,0.0,1.740829702612246e-14,0.0,0.0,0.0,1.3122709268437964e-12,0.0,98139.90920691004,0.0,521.2343016512175,1.39888946986979e-12,201819.3454200432,0.0,1.7236954720699164e-11,0.0,50420.93023255817,44480.49920785088,4.603094847558798e6
t1,11.862284820031299,55.70367338045929,0.0,0.0,9.783443567313848,0.0,21.794176357465997,0.0,0.0,0.0,3.4692984500336435,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,2.62856416346548,0.0,0.0,0.0,0.0,13.818742799581027,0.0,0.9999999999999999,0.0,23.20191073720234,48.99505662974782,0.0,0.0,0.0,0.18303496009767412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.73601075237935,0.0,0.0,0.0,33.16835462003708,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,2100.6394322962474
t2,11.862284820031299,55.70367338045929,0.0,0.0,9.783443567313848,0.0,21.794176357465997,0.0,0.0,0.0,3.469298450033633,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,1.0273415923026576,0.0,0.0,0.0,0.0,13.818742799581027,0.0,0.9999999999999999,0.0,23.20191073720234,48.99505662974782,0.0,0.0,0.0,0.18303496009767412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.73601075237935,0.0,0.0,0.0,33.16835462003708,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,2099.0382097250845
t3,11.862284820031299,55.70367338045929,0.0,0.0,9.783443567313848,0.0,21.794176357465997,0.0,0.0,0.0,0.0,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.8820175088397358,0.0,0.0,0.0,0.0,13.818742799581027,0.0,0.9999999999999999,0.0,23.20191073720234,48.99505662974782,0.0,0.0,0.0,0.18303496009767412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.73601075237935,0.0,0.0,0.0,33.16835462003708,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,2095.423587191588
t4,11.862284820031299,55.70367338045929,0.0,0.0,9.783443567313848,0.0,21.794176357465997,0.0,0.0,0.0,0.0,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.8820175088397358,0.0,0.0,0.0,0.0,13.818742799581027,0.0,0.9999999999999999,0.0,23.20191073720234,48.99505662974782,0.0,0.0,0.0,0.18303496009767412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.73601075237935,0.0,0.0,0.0,33.16835462003708,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,2095.423587191588
t5,11.862284820031299,55.70367338045929,0.0,0.0,9.783443567313848,0.0,21.794176357465997,0.0,0.0,0.0,0.0,2.5331291827454554e-14,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.5315528191608726,0.0,0.0,0.0,0.0,13.818742799581027,0.0,0.9999999999999999,0.0,23.20191073720234,48.99505662974782,0.0,0.0,0.0,0.18303496009767412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.73601075237935,0.0,0.0,0.0,33.16835462003708,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,2095.0731225019094
t6,11.862284820031299,55.70367338045929,0.0,0.0,9.783443567313848,0.0,21.794176357466004,0.0,0.0,0.0,0.0,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,13.818742799581027,0.0,0.9999999999999999,0.0,23.20191073720234,48.99505662974782,0.0,0.0,0.0,0.18303496009767412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.73601075237935,0.0,0.0,0.0,33.16835462003708,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,2094.5415696827486
t7,11.862284820031299,55.70367338045929,0.0,0.0,9.783443567313848,0.0,4.003534577017725,0.0,0.0,0.0,0.0,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,13.818742799581027,0.0,0.9999999999999999,0.0,23.20191073720234,48.99505662974782,0.0,0.0,0.0,0.18303496009767412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.73601075237935,0.0,0.0,0.0,33.16835462003708,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,2076.7509279023
t8,11.862284820031299,8.100065109578207,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,13.818742799581027,0.0,0.9999999999999999,0.0,23.20191073720234,48.99505662974782,0.0,0.0,0.0,0.18303496009767412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.73601075237935,0.0,0.0,0.0,33.16835462003708,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,544.1437850544012
