Resource,AZ_conventional_steam_coal_1,AZ_natural_gas_fired_combined_cycle_1,AZ_natural_gas_fired_combustion_turbine_1,AZ_natural_gas_steam_turbine_1,AZ_nuclear_1,AZ_other_peaker_1,CA_N_natural_gas_fired_combined_cycle_1,CA_N_natural_gas_fired_combustion_turbine_1,CA_N_nuclear_1,CA_N_other_peaker_1,CA_S_natural_gas_fired_combined_cycle_1,CA_S_natural_gas_fired_combustion_turbine_1,CA_S_natural_gas_steam_turbine_1,CA_S_other_peaker_1,MT_WY_CO_conventional_steam_coal_1,MT_WY_CO_natural_gas_fired_combined_cycle_1,MT_WY_CO_natural_gas_fired_combustion_turbine_1,MT_WY_CO_natural_gas_steam_turbine_1,MT_WY_CO_other_peaker_1,NM_conventional_steam_coal_1,NM_natural_gas_fired_combined_cycle_1,NM_natural_gas_fired_combustion_turbine_1,NM_natural_gas_steam_turbine_1,NM_other_peaker_1,PNW_conventional_steam_coal_1,PNW_natural_gas_fired_combined_cycle_1,PNW_natural_gas_fired_combustion_turbine_1,PNW_nuclear_1,PNW_other_peaker_1,UT_NV_conventional_steam_coal_1,UT_NV_natural_gas_fired_combined_cycle_1,UT_NV_natural_gas_fired_combustion_turbine_1,UT_NV_natural_gas_steam_turbine_1,UT_NV_other_peaker_1,AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,AZ_naturalgas_combustion_turbine_fframe_moderate_0,AZ_nuclear_nuclear__large_advanced_0,CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,CA_N_naturalgas_combustion_turbine_fframe_moderate_0,CA_N_nuclear_nuclear__large_advanced_0,CA_S_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,CA_S_naturalgas_combustion_turbine_fframe_moderate_0,CA_S_nuclear_nuclear__large_advanced_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_moderate_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,MT_WY_CO_naturalgas_combustion_turbine_fframe_moderate_0,MT_WY_CO_nuclear_nuclear__large_advanced_0,NM_naturalgas_2on1_combined_cycle_fframe_moderate_0,NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,NM_naturalgas_combustion_turbine_fframe_moderate_0,NM_nuclear_nuclear__large_advanced_0,PNW_naturalgas_2on1_combined_cycle_fframe_moderate_0,PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,PNW_naturalgas_combustion_turbine_fframe_moderate_0,PNW_nuclear_nuclear__large_advanced_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_moderate_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,UT_NV_naturalgas_combustion_turbine_fframe_moderate_0,UT_NV_nuclear_nuclear__large_advanced_0,CA_S_nuclear_1,NM_nuclear_1
t1,40969.9,68708.4218982697,0.0,0.0,19185.732000000004,0.0,8906.329886516054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41588.4497593005,0.0,0.0,0.0,0.0,3061.52,1607.8013670335838,0.0,0.0,0.0,0.0,6578.83072041855,0.0,12039.46,0.0,35341.698,56198.11066049118,0.0,0.0,0.0,0.0,0.0,0.0,7.639755494892597e-11,0.0,0.0,0.0,5822.039446294563,0.0,0.0,0.0,151872.40742238553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87363.82334454262,0.0,0.0,-1.6711965145077556e-11,63804.37426414959,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t2,40969.9,68708.4218982697,0.0,0.0,19185.732000000004,0.0,8906.329886516054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32685.495704623852,0.0,0.0,0.0,0.0,3061.52,727.2215247850003,0.0,0.0,0.0,0.0,6578.83072041855,0.0,12039.46,0.0,35341.698,56198.11066049118,0.0,0.0,0.0,0.0,0.0,0.0,7.639755494892597e-11,0.0,0.0,0.0,5822.039446294564,0.0,0.0,0.0,151872.40742238553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87363.82334454262,0.0,0.0,-1.6711965145077556e-11,63804.37426414959,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t3,40969.9,68708.4218982697,0.0,0.0,19185.732000000004,0.0,8906.329886516054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29045.626800000002,0.0,0.0,0.0,0.0,3061.52,588.2537660122865,0.0,0.0,0.0,0.0,6578.83072041855,0.0,12039.46,0.0,35341.698,56198.11066049118,0.0,0.0,0.0,0.0,0.0,0.0,7.639755494892597e-11,0.0,0.0,0.0,5822.039446294559,0.0,0.0,0.0,151872.40742238553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87363.82334454262,0.0,0.0,2.3874235921539366e-12,63804.374264149636,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t4,40969.9,68708.4218982697,0.0,0.0,19185.732000000004,0.0,8906.329886516054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29045.626800000002,0.0,0.0,0.0,0.0,3061.52,445.80512218850964,0.0,0.0,0.0,0.0,6578.83072041855,0.0,12039.460000000001,0.0,35341.698,56198.11066049118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5822.0394462945405,0.0,0.0,0.0,151872.40742238553,0.0,0.0,0.0,2.2680524125462398e-11,0.0,0.0,0.0,0.0,87363.82334454262,0.0,0.0,0.0,63804.374264149505,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t5,40969.9,68708.4218982697,0.0,0.0,19185.732000000004,0.0,8906.329886516054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29045.626800000002,0.0,0.0,0.0,0.0,3061.52,445.80512218850964,0.0,0.0,0.0,0.0,6578.830720418537,0.0,12039.46,0.0,35341.698,56198.11066049118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5822.039446294544,0.0,0.0,0.0,151872.40742238553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87363.82334454262,0.0,0.0,-1.5559100674522595e-11,63804.374264149505,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t6,40969.9,68708.4218982697,0.0,0.0,19185.732000000004,0.0,8906.329886516054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31300.588088222303,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,56147.86932019862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5822.039446294563,0.0,0.0,0.0,151872.40742238553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87363.82334454262,0.0,0.0,0.0,63804.374264149505,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t7,40969.9,68708.4218982697,0.0,0.0,19185.732000000004,0.0,2798.524661908632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29045.626800000002,0.0,0.0,0.0,0.0,1224.608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,36834.4231632707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5822.039446294564,0.0,0.0,0.0,151872.40742238553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86486.56814586688,0.0,0.0,0.0,63804.374264149505,0.0,0.0,0.0,11287.386000000002,10309.619279509121
t8,16387.96,0.0,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40264.551187503756,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,28099.055330245596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5822.039446294564,0.0,0.0,0.0,151872.40742238553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43681.91167227131,0.0,0.0,0.0,31902.187132074792,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t9,16387.96,0.0,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29140.83406376375,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,28099.055330245596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5822.039446294564,0.0,0.0,0.0,151872.40742238553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43681.91167227131,0.0,0.0,0.0,31902.187132074792,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t10,16387.96,0.0,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42699.95472936999,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,28099.055330245596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5822.039446294564,0.0,0.0,0.0,151872.40742238553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43681.91167227131,0.0,0.0,0.0,31902.187132074792,0.0,0.0,0.0,11287.386000000002,10706.856000000002
