Resource,AZ_batteries_1,AZ_hydroelectric_pumped_storage_1,CA_N_batteries_1,CA_N_hydroelectric_pumped_storage_1,CA_S_batteries_1,CA_S_hydroelectric_pumped_storage_1,MT_WY_CO_batteries_1,MT_WY_CO_hydroelectric_pumped_storage_1,NM_batteries_1,PNW_batteries_1,PNW_hydroelectric_pumped_storage_1,UT_NV_batteries_1,AZ_utilityscale_battery_storage_lithium_ion_advanced_0,CA_N_utilityscale_battery_storage_lithium_ion_advanced_0,CA_S_utilityscale_battery_storage_lithium_ion_advanced_0,MT_WY_CO_utilityscale_battery_storage_lithium_ion_advanced_0,NM_utilityscale_battery_storage_lithium_ion_advanced_0,PNW_utilityscale_battery_storage_lithium_ion_advanced_0,UT_NV_utilityscale_battery_storage_lithium_ion_advanced_0,AZ_utilityscale_battery_storage_lithium_ion_advanced_0_8,CA_N_utilityscale_battery_storage_lithium_ion_advanced_0_8,CA_S_utilityscale_battery_storage_lithium_ion_advanced_0_8,MT_WY_CO_utilityscale_battery_storage_lithium_ion_advanced_0_8,NM_utilityscale_battery_storage_lithium_ion_advanced_0_8,PNW_utilityscale_battery_storage_lithium_ion_advanced_0_8,UT_NV_utilityscale_battery_storage_lithium_ion_advanced_0_8,AZ_conventional_hydroelectric_1,CA_N_conventional_hydroelectric_1,CA_S_conventional_hydroelectric_1,MT_WY_CO_conventional_hydroelectric_1,PNW_conventional_hydroelectric_1,UT_NV_conventional_hydroelectric_1,Total
Zone,1,1,2,2,3,3,4,4,5,6,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,6,7,0
AnnualSum,1.1270091314244384e8,1.0025337968549136e7,9.655219269247124e6,2.1728087019809386e8,5.0789072779371575e7,1.5826082543482718e8,4.46744692341729e6,6.258136457208813e7,3.198359338831272e6,1.262075979295873e6,3.1945659354854394e7,1.9150991826047156e7,0.0,5.462237351192346e7,1.4254118844011523e7,2.3388825395141807e6,1.525352508729754e6,0.0,0.0,0.0,0.0,-1.6508475255481018e-12,0.0,0.0,0.0,0.0,8.635810392400766e6,1.7018565366782088e7,2.0189879103477076e6,1.833093902818378e7,1.6999615095138434e8,3.5101491410181797e6,9.735694669813625e8
t1,6538.998402563735,920.7625816309546,619.4449221192866,27279.834530556473,0.0,12776.813861121198,0.0,3200.602470313035,0.0,210.20561356455565,3539.6833271405308,936.717040165365,0.0,4044.1811293902747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,768.7308378451269,2758.7,148.30102066324497,1523.6860876121036,12570.635194838433,253.46815937541314,78090.76517889972
t2,5372.125480040177,920.7625816309546,619.4449221192866,24767.72396123457,0.0,10938.992884959578,0.0,3683.8395714159838,0.0,140.13707570970377,3188.620654673097,936.717040165365,0.0,4044.1811293902747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176.7654189225634,2758.7,296.60204132648994,761.8430438060518,11293.589464229824,253.46815937541314,71153.51342899933
t3,4046.594909473147,920.7625816309546,619.4449221192866,22266.4471533867,0.0,10938.992884959578,208.361704796,3792.538700065001,0.0,70.06853785485188,3128.663130149592,936.717040165365,0.0,4044.1811293902747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,841.4855503502058,9277.310785359572,304.39,66068.15902970052
t4,2771.9459486272917,920.7625816309546,619.4449221192866,19754.336584064797,0.0,10938.992884959578,416.723409592,3792.538700065001,0.0,0.0,2901.0490341819996,0.0,0.0,3299.8279646675146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.03458107743654,2326.489209932097,328.7,761.8430438060519,9277.310785359572,253.46815937541314,58771.46780945899
t5,1394.7137575406603,811.9778745256001,619.4449221192866,17242.226014742893,0.0,10463.017011954138,485.476590408,4309.964830058501,85.61771356507077,0.0,2901.0490341819996,0.0,0.0,0.0,0.0,130.65549921380855,91.31097485408955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816.0691621548731,1793.3808941962752,328.7,761.8430438060519,9277.310785359572,253.46815937541314,51766.22626805624
t6,383.2223847589876,811.9778745256001,0.0,14730.11544542099,0.0,10463.017011954138,485.476590408,4827.390960052001,266.59737131487077,0.0,2901.0490341819996,0.0,0.0,0.0,0.0,130.65549921380855,182.6219497081791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.03458107743654,778.6009597852008,148.30102066324497,1488.6599774343708,9277.310785359572,304.39,47587.4214458584
t7,0.0,811.9778745256001,0.0,14730.11544542099,0.0,11454.936962147458,693.838295204,5344.817090045501,447.5770290646708,0.0,2901.0490341819996,0.0,0.0,0.0,0.0,261.3109984276171,273.9329245622687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.03458107743654,778.6009597852008,148.30102066324497,2250.5030212404226,9277.310785359572,253.46815937541314,50035.774181081404
t8,0.0,899.0056402099001,0.0,16739.80390087889,0.0,12944.158235162458,693.838295204,5862.243220039,513.6982635424346,0.0,3181.8991721559996,0.0,0.0,0.0,0.0,261.3109984276171,273.9329245622687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.03458107743654,778.6009597852006,148.30102066324497,1460.9111977536663,9277.310785359572,253.46815937541314,53696.517354197116
t9,2668.0926596514573,986.0334058942001,526.5281841106,18749.492356336792,2854.2787693714,14433.379508177459,902.2,6379.6693500325,576.447297878552,59.558257211599994,3462.7493101299997,0.0,0.0,2804.853771614552,844.6984008031244,391.9664976414257,365.2438994163582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816.0691621548731,778.6009597852006,296.60204132648994,2222.754241559718,15538.462127650491,471.53355997773906,76129.21376072452
t10,8497.226088435795,1073.0611715785,526.5281841106,20759.180811794693,3859.950200524888,15922.60078119246,902.2,6897.095480026,666.6603636961777,119.11651442319999,3743.5994481039997,1503.0623333137999,0.0,5609.707543229105,1689.3968016062488,522.6219968552342,396.1626314629847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1224.1037432323096,1557.2019195704013,328.7,2677.248323461826,20283.19885875371,420.61171935315224,99179.23491472508
t11,14461.349399609795,1160.0889372628,1053.0563682212,22768.869267252594,6714.228969896288,17411.82205420746,902.2,7414.521610019499,767.1534750323211,119.11651442319999,4024.449586078,1503.0623333137999,0.0,8414.561314843657,2534.095202409373,522.6219968552342,396.1626314629847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,1503.3839993904762,328.7,2793.5,25606.99880164695,369.6898787285654,122354.43234065417
t12,20344.122169598304,1247.1167029471,1579.5845523318,24778.557722710495,9568.507739267687,18901.043327222458,902.2,7931.947740012999,785.1,178.67477163479998,4305.299724052,3006.1246666275997,0.0,10655.242031817954,2820.1178142189547,566.8631450530845,396.1626314629847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176.7654189225634,1325.7376393590348,328.7,2793.5,27508.554829417673,318.7680381039786,141418.69066476147
t13,21040.7,1334.1444686314,1743.4,26788.246178168396,11163.7,20390.264600237457,902.2,8449.373870006499,785.1,238.23302884639998,4586.149862026,3741.2,0.0,12169.164252241382,3664.816215022079,566.8631450530845,396.1626314629847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2104.3385991442356,328.7,2793.5,28597.839537150037,267.8461974793918,153636.74258546933
t14,21040.7,1421.1722343157,1743.4,28797.934633626297,11163.7,21879.485873252455,902.2,8966.8,785.1,258.2,4867.0,3741.2,0.0,12169.164252241382,3664.816215022079,566.8631450530845,396.1626314629847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,2793.5,28597.839537150037,521.3143568548049,158948.75287897882
t15,21040.7,1508.2,1743.4,30807.623089084198,11163.7,23368.707146267454,902.2,8966.8,785.1,258.2,4867.0,3741.2,0.0,12169.164252241382,3664.816215022079,566.8631450530845,396.1626314629847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,2793.5,28597.839537150037,521.3143568548049,162534.690373136
