Resource,Fuel,Zone,AnnualSumCosts
AZ_conventional_steam_coal_1,AZ_coal,1,1.6135634888630068e8
AZ_natural_gas_fired_combined_cycle_1,AZ_naturalgas,1,6.984231226268383e8
AZ_natural_gas_fired_combustion_turbine_1,AZ_naturalgas,1,0.0
AZ_natural_gas_steam_turbine_1,AZ_naturalgas,1,0.0
AZ_nuclear_1,AZ_uranium,1,1.1982047691296011e8
AZ_other_peaker_1,AZ_naturalgas,1,0.0
CA_N_natural_gas_fired_combined_cycle_1,CA_N_naturalgas,2,6.892640320057333e8
CA_N_natural_gas_fired_combustion_turbine_1,CA_N_naturalgas,2,3.7671006510241314e-10
CA_N_nuclear_1,CA_N_uranium,2,0.0
CA_N_other_peaker_1,CA_N_naturalgas,2,-1.7053712808774436e-10
CA_S_natural_gas_fired_combined_cycle_1,CA_S_naturalgas,3,2.1557479719895244e8
CA_S_natural_gas_fired_combustion_turbine_1,CA_S_naturalgas,3,-1.1876402733638064e-10
CA_S_natural_gas_steam_turbine_1,CA_S_naturalgas,3,4.1964144833171494e7
CA_S_other_peaker_1,CA_S_naturalgas,3,0.0
MT_WY_CO_conventional_steam_coal_1,MT_WY_CO_coal,4,7.036941601907485e8
MT_WY_CO_natural_gas_fired_combined_cycle_1,MT_WY_CO_naturalgas,4,3.335630083256548e-11
MT_WY_CO_natural_gas_fired_combustion_turbine_1,MT_WY_CO_naturalgas,4,3.7942839731316033e-8
MT_WY_CO_natural_gas_steam_turbine_1,MT_WY_CO_naturalgas,4,-2.3662902748355924e-12
MT_WY_CO_other_peaker_1,MT_WY_CO_naturalgas,4,0.0
NM_conventional_steam_coal_1,NM_coal,5,3.239358339571146e7
NM_natural_gas_fired_combined_cycle_1,NM_naturalgas,5,7.638904787110841e6
NM_natural_gas_fired_combustion_turbine_1,NM_naturalgas,5,-1.7051957058811243e-11
NM_natural_gas_steam_turbine_1,NM_naturalgas,5,6.9093175625312165e-12
NM_other_peaker_1,NM_naturalgas,5,66.15040000000002
PNW_conventional_steam_coal_1,PNW_coal,6,0.0
PNW_natural_gas_fired_combined_cycle_1,PNW_naturalgas,6,1.7985855695516473e8
PNW_natural_gas_fired_combustion_turbine_1,PNW_naturalgas,6,1.2388049198273512e7
PNW_nuclear_1,PNW_uranium,6,7.419037737535779e7
PNW_other_peaker_1,PNW_naturalgas,6,3.1507731534530586e6
UT_NV_conventional_steam_coal_1,UT_NV_coal,7,4.79808663375561e8
UT_NV_natural_gas_fired_combined_cycle_1,UT_NV_naturalgas,7,1.879842993042303e8
UT_NV_natural_gas_fired_combustion_turbine_1,UT_NV_naturalgas,7,-1.201351551571861e-10
UT_NV_natural_gas_steam_turbine_1,UT_NV_naturalgas,7,-1.4998533970356221e-10
UT_NV_other_peaker_1,UT_NV_naturalgas,7,0.0
AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,AZ_naturalgas,1,2.363886126772117e7
AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,AZ_naturalgas,1,0.0
AZ_naturalgas_combustion_turbine_fframe_moderate_0,AZ_naturalgas,1,0.0
AZ_nuclear_nuclear__large_conservative_0,AZ_uranium,1,1.66133343084865e-7
CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_N_naturalgas,2,-1.4506481879857355e-9
CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,CA_N_naturalgas,2,9.662077842670725e-9
CA_N_naturalgas_combustion_turbine_fframe_moderate_0,CA_N_naturalgas,2,3.0651966454501674e-9
CA_N_nuclear_nuclear__large_conservative_0,CA_N_uranium,2,5.2585985811867534e-9
CA_S_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_S_naturalgas,3,-4.893531097029282e-10
CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,CA_S_naturalgas,3,6.048905605594066e-9
CA_S_naturalgas_combustion_turbine_fframe_moderate_0,CA_S_naturalgas,3,-2.2174169767028616e-8
CA_S_nuclear_nuclear__large_conservative_0,CA_S_uranium,3,-7.004400820466602e-9
MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_moderate_0,MT_WY_CO_naturalgas,4,2.824968627912483e-10
MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,MT_WY_CO_naturalgas,4,8.721855628834875e-11
MT_WY_CO_naturalgas_combustion_turbine_fframe_moderate_0,MT_WY_CO_naturalgas,4,1.5553352975909245e-10
MT_WY_CO_nuclear_nuclear__large_conservative_0,MT_WY_CO_uranium,4,1.5490053240085896e-8
NM_naturalgas_2on1_combined_cycle_fframe_moderate_0,NM_naturalgas,5,5.433151528677628e-11
NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,NM_naturalgas,5,9.767745723365807e-12
NM_naturalgas_combustion_turbine_fframe_moderate_0,NM_naturalgas,5,-2.8178419597679755e-12
NM_nuclear_nuclear__large_conservative_0,NM_uranium,5,2.9341112419700713e-9
PNW_naturalgas_2on1_combined_cycle_fframe_moderate_0,PNW_naturalgas,6,1.5485925379441953e9
PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,PNW_naturalgas,6,-2.85310169698841e-9
PNW_naturalgas_combustion_turbine_fframe_moderate_0,PNW_naturalgas,6,3.890872830209851e6
PNW_nuclear_nuclear__large_conservative_0,PNW_uranium,6,-1.2405823168848416e-7
UT_NV_naturalgas_2on1_combined_cycle_fframe_moderate_0,UT_NV_naturalgas,7,2.899112952426077e9
UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,UT_NV_naturalgas,7,-1.465597918581807e-10
UT_NV_naturalgas_combustion_turbine_fframe_moderate_0,UT_NV_naturalgas,7,2.8784713019073634e-9
UT_NV_nuclear_nuclear__large_conservative_0,UT_NV_uranium,7,-9.547591583503045e-8
CA_S_nuclear_1,AZ_uranium,3,7.071103322224243e7
NM_nuclear_1,AZ_uranium,5,5.941744060073702e7
