Resource,AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,Total
Zone,1,2,3,4,5,6,7,0
AnnualSum,0.0,-7.802548866422995e-12,-8.111155722790215e-12,5.05338630450325e-12,-1.1821434782177677e-14,2.0852750899816507e-11,-3.7828591302968565e-13,9.602325267294687e-12
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,0.0,0.0,0.0,0.0,0.0,5.792503043267061e-13,0.0,5.792503043267061e-13
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,0.0,0.0,-1.6873251052373916e-13,0.0,0.0,0.0,0.0,-1.6873251052373916e-13
t5,0.0,0.0,0.0,0.0,0.0,-5.792503043267061e-13,0.0,-5.792503043267061e-13
t6,0.0,0.0,0.0,0.0,0.0,-6.620003478019498e-13,0.0,-6.620003478019498e-13
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t10,0.0,0.0,1.572250826029631e-12,0.0,0.0,0.0,0.0,1.572250826029631e-12
t11,0.0,0.0,0.0,-6.620003478019498e-13,0.0,0.0,0.0,-6.620003478019498e-13
t12,0.0,0.0,1.241250652128656e-13,0.0,0.0,0.0,0.0,1.241250652128656e-13
t13,0.0,0.0,0.0,0.0,0.0,3.723751956385967e-12,0.0,3.723751956385967e-12
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t15,0.0,0.0,0.0,6.620003478019498e-13,0.0,0.0,0.0,6.620003478019498e-13
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
