BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7
AnnualSum,1.711275953441085e8,7.480195139516431e6,-8.817670300670387e6,0.0,0.0,6587.444125833846,0.0,1.3664857846254103e7,-3.9937329019059865e6,-1.7946783257142857e8,1.7034216492954063e8,1.0674451996074319e7,-1.299895628283073e7,0.0,0.0,9813.859512507064,0.0,2.1838202341302454e7,-2.3961699864562955e6,-1.8746950685714278e8,2.058197232995233e8,9.225569545569312e6,-1.1165139667049974e7,0.0,0.0,12314.990493523846,0.0,1.007230495560176e8,-6.080558724553723e6,-2.98534959e8,2.260685096049251e8,1.4876100957633029e6,-1.8218230840935917e6,0.0,0.0,9256.500481412828,0.0,-6.763508189862745e7,-3.64290478987744e6,-1.5446556642857137e8,5.747971161598009e7,455969.72503575735,-536434.9703152786,0.0,0.0,1919.577428571429,0.0,-8.900676586965282e6,-1.332562789735307e6,-4.716792657142856e7,2.9671752263906544e8,581106.5683323827,-721984.1116876823,0.0,0.0,18273.82565560173,0.0,-2.4183941264713556e6,-4.87180708060866e6,-2.893047177142858e8,2.019408593371572e8,1.3073076429875733e6,-1.5380089908468823e6,0.0,0.0,5715.619571428572,0.0,-5.727195713150999e7,-5.635937763073494e6,-1.3880797871428582e8
t1,17339.126758562645,918.050292968718,-0.0,0.0,0.0,0.0,0.0,1308.9675219333349,-624.1445734647018,-18942.0,10391.579877533833,3130.778945086309,-0.0,0.0,0.0,0.0,0.0,6090.531884700014,-295.8907073201555,-19317.0,16344.565167587065,0.0,-0.0,0.0,0.0,0.0,0.0,18062.894147344312,-876.4593149313769,-33531.0,28284.97747771978,0.0,-578.5,0.0,0.0,0.0,0.0,-9748.834356567495,-449.64312115228404,-17508.0,6990.248442944554,0.0,-0.0,0.0,0.0,0.0,0.0,-1481.482349643794,-247.76609330076096,-5261.0,37306.38380784021,0.0,-0.0,0.0,0.0,0.0,0.0,-4344.605527718283,-662.7782801219257,-32299.0,25890.19126303117,0.0,-0.0,0.0,0.0,0.0,0.0,-9887.471320048091,-937.7199429830778,-15065.0
t2,16658.13617755384,957.0189021857088,-0.0,0.0,0.0,0.0,0.0,2089.4016954144154,-588.5567751539645,-19116.0,10783.5446452839,2957.589060553924,-0.0,0.0,0.0,0.0,0.0,6910.343667990041,-323.4773738278649,-20328.0,16564.80999255514,0.0,-0.0,0.0,0.0,0.0,0.0,16462.648190573207,-868.458183128349,-32159.0,28278.560990104455,0.0,-0.0,0.0,0.0,0.0,0.0,-9782.352970916763,-479.208019187691,-18017.0,7593.61674896534,0.0,-0.0,0.0,0.0,0.0,0.0,-2072.940495907014,-236.67625305832559,-5284.0,39268.06178550557,0.0,-0.0,0.0,0.0,0.0,0.0,-3719.6287671057953,-703.433018399768,-34845.0,25704.19126303117,0.0,-0.0,0.0,0.0,0.0,0.0,-9887.471320048091,-937.7199429830778,-14879.0
t3,16311.66159733074,1221.5270857087937,-0.0,0.0,0.0,0.0,0.0,1691.5118682338634,-606.7005512733977,-18618.0,10767.45177360423,1497.9026523732014,-0.0,0.0,0.0,0.0,0.0,8750.028336961315,-385.38276293874833,-20630.0,16549.65399957618,0.0,-0.0,0.0,0.0,0.0,0.0,15020.853348782484,-948.5073483586656,-30622.0,28331.56794608118,0.0,-258.7451658053924,0.0,0.0,0.0,0.0,-9455.662230293174,-464.16054998260984,-18153.0,7724.094997504741,0.0,-0.0,0.0,0.0,0.0,0.0,-2206.931067666912,-234.16392983782748,-5283.0,40330.22680838469,0.0,-0.0,0.0,0.0,0.0,0.0,-3912.3289359694863,-690.8978724151849,-35727.0,25175.191263031167,0.0,-0.0,0.0,0.0,0.0,0.0,-9887.471320048091,-937.7199429830778,-14350.0
t4,16080.402505619419,1188.368348962555,-0.0,0.0,0.0,0.0,0.0,1783.7247875697121,-602.495642151683,-18450.0,10746.870745527895,4053.6055051675203,-0.0,0.0,0.0,0.0,0.0,6679.223944434821,-315.70019513023175,-21164.0,16391.175049455298,0.0,-0.0,0.0,0.0,0.0,0.0,16999.44482197313,-874.6198714284343,-32516.0,31527.611625521957,0.0,-578.5,0.0,0.0,0.0,0.0,-12102.463325809918,-637.648299712042,-18209.0,7785.928979574484,0.0,-0.0,0.0,0.0,0.0,0.0,-2235.2969092666526,-233.63207030783235,-5317.0,37216.079480527624,0.0,-0.0,0.0,0.0,0.0,0.0,-1237.1619988530028,-864.9174816746122,-35114.0,25118.191263031167,0.0,-0.0,0.0,0.0,0.0,0.0,-9887.471320048091,-937.7199429830778,-14293.0
t5,17476.106755400706,988.3554503992117,-0.0,0.0,0.0,0.0,0.0,709.0391035433659,-651.5013093432843,-18522.0,10748.76174478607,4292.395799002832,-0.0,0.0,0.0,0.0,0.0,7417.381658416825,-340.53920220572616,-22118.0,16356.491753675818,333.0000000022457,-0.0,0.0,0.0,0.0,0.0,17335.97279201747,-948.4645456955301,-33077.0,30542.542798186685,0.0,-464.3798341933848,0.0,0.0,0.0,0.0,-11248.732754895625,-589.430209097675,-18240.0,7967.002148406344,0.0,-0.0,0.0,0.0,0.0,0.0,-2393.333259668547,-230.66888873779683,-5343.0,37525.51879199569,0.0,-0.0,0.0,0.0,0.0,0.0,-1932.8562193654006,-819.6625726302807,-34773.0,25014.191263031164,0.0,-0.0,0.0,0.0,0.0,0.0,-9887.471320048091,-937.7199429830778,-14189.0
t6,16362.613632036406,901.1023221512677,-0.0,0.0,0.0,0.0,0.0,2000.8775232184225,-592.5934774061018,-18672.0,13230.520554330398,1718.8139234178007,-0.0,0.0,0.0,0.0,0.0,8414.766732189992,-374.1012099381932,-22990.0,18059.369422921565,0.0,-0.0,0.0,0.0,0.0,0.0,15046.74929856925,-923.1187214908146,-32183.0,29691.27844327264,0.0,-946.2157862632712,0.0,0.0,0.0,0.0,-10220.225441446972,-525.8372155623989,-17999.0,8282.522467599814,0.0,-295.34065786574615,0.0,0.0,0.0,0.0,-2464.853933633105,-229.3278761009614,-5293.0,38290.21676230887,0.0,-0.0,0.0,0.0,0.0,0.0,-2959.977406940923,-762.2393553679349,-34568.0,24753.885478575834,0.0,-0.0,0.0,0.0,0.0,0.0,-9817.336771956665,-942.5487066191724,-13994.0
t7,17229.662838963613,348.00860976126216,-0.0,0.0,0.0,0.0,0.0,1851.7234542272363,-599.3949029520999,-18830.0,11341.453704753714,0.0,-689.779775148364,0.0,0.0,0.0,0.0,13238.754467630413,-536.4283972357634,-23354.0,20728.33170221437,0.0,-0.0,0.0,0.0,0.0,0.0,10371.915632120013,-1092.247334334383,-30008.0,29199.295611492427,0.0,-946.2157862632712,0.0,0.0,0.0,0.0,-10245.839511081016,-574.2403141481402,-17433.0,9176.031893477151,0.0,-295.34065786574615,0.0,0.0,0.0,0.0,-3474.290291215106,-210.40094439629885,-5196.0,36772.5330536557,0.0,-0.0,0.0,0.0,0.0,0.0,-1854.7924316334502,-824.740622022244,-34093.0,24797.191263031164,0.0,-0.0,0.0,0.0,0.0,0.0,-9887.471320048091,-937.7199429830778,-13972.0
t8,12177.975799513231,0.0,-97.3,0.0,0.0,0.0,0.0,7205.6105113462545,-398.28631085948814,-18888.0,18770.887043291525,0.0,-2246.9,0.0,0.0,0.0,0.0,6929.122229118303,-324.1092724098309,-23129.0,28185.96115744653,0.0,-2228.028021268744,0.0,0.0,0.0,0.0,4582.422759234509,-356.35589541229456,-30184.0,26737.379080189792,0.0,-946.2157862632712,0.0,0.0,0.0,0.0,-8288.44669707687,-409.71659684964817,-17093.0,8327.740260734032,0.0,-295.34065786574615,0.0,0.0,0.0,0.0,-2670.9357610310362,-225.46384183725016,-5136.0,36669.115315100855,0.0,-0.0,0.0,0.0,0.0,0.0,-2765.4845756672044,-535.6307394336565,-33368.0,19600.067954752634,0.0,-0.0,0.0,0.0,0.0,0.0,-4992.288465923955,-724.7794888286779,-13883.0
