Resource,AZ_conventional_steam_coal_1,AZ_natural_gas_fired_combined_cycle_1,AZ_natural_gas_fired_combustion_turbine_1,AZ_natural_gas_steam_turbine_1,AZ_nuclear_1,AZ_other_peaker_1,CA_N_natural_gas_fired_combined_cycle_1,CA_N_natural_gas_fired_combustion_turbine_1,CA_N_nuclear_1,CA_N_other_peaker_1,CA_S_natural_gas_fired_combined_cycle_1,CA_S_natural_gas_fired_combustion_turbine_1,CA_S_natural_gas_steam_turbine_1,CA_S_other_peaker_1,MT_WY_CO_conventional_steam_coal_1,MT_WY_CO_natural_gas_fired_combined_cycle_1,MT_WY_CO_natural_gas_fired_combustion_turbine_1,MT_WY_CO_natural_gas_steam_turbine_1,MT_WY_CO_other_peaker_1,NM_conventional_steam_coal_1,NM_natural_gas_fired_combined_cycle_1,NM_natural_gas_fired_combustion_turbine_1,NM_natural_gas_steam_turbine_1,NM_other_peaker_1,PNW_conventional_steam_coal_1,PNW_natural_gas_fired_combined_cycle_1,PNW_natural_gas_fired_combustion_turbine_1,PNW_nuclear_1,PNW_other_peaker_1,UT_NV_conventional_steam_coal_1,UT_NV_natural_gas_fired_combined_cycle_1,UT_NV_natural_gas_fired_combustion_turbine_1,UT_NV_natural_gas_steam_turbine_1,UT_NV_other_peaker_1,AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,AZ_naturalgas_combustion_turbine_fframe_moderate_0,AZ_nuclear_nuclear__large_conservative_0,CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,CA_N_naturalgas_combustion_turbine_fframe_moderate_0,CA_N_nuclear_nuclear__large_conservative_0,CA_S_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,CA_S_naturalgas_combustion_turbine_fframe_moderate_0,CA_S_nuclear_nuclear__large_conservative_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_moderate_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,MT_WY_CO_naturalgas_combustion_turbine_fframe_moderate_0,MT_WY_CO_nuclear_nuclear__large_conservative_0,NM_naturalgas_2on1_combined_cycle_fframe_moderate_0,NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,NM_naturalgas_combustion_turbine_fframe_moderate_0,NM_nuclear_nuclear__large_conservative_0,PNW_naturalgas_2on1_combined_cycle_fframe_moderate_0,PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,PNW_naturalgas_combustion_turbine_fframe_moderate_0,PNW_nuclear_nuclear__large_conservative_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_moderate_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,UT_NV_naturalgas_combustion_turbine_fframe_moderate_0,UT_NV_nuclear_nuclear__large_conservative_0,CA_S_nuclear_1,NM_nuclear_1
t1,40969.9,68926.53522413307,0.0,0.0,19185.732000000004,0.0,9526.044447938766,0.0,0.0,0.0,0.0,0.0,2874.621,0.0,69165.20681598633,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,51283.64017435092,0.0,0.0,0.0,6586.4105351822245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141878.98367426038,0.0,0.0,0.0,136699.83672379254,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t2,40969.9,68926.53522413307,0.0,0.0,19185.732000000004,0.0,9526.044447938766,-4.933554009767249e-11,0.0,0.0,0.0,1.7195134205394424e-12,2874.621,0.0,59993.78990669338,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,48298.70661243206,0.0,0.0,0.0,6586.4105351822245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141878.98367426038,0.0,0.0,0.0,136699.83672379254,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t3,40969.9,68926.53522413307,0.0,0.0,19185.732000000004,0.0,9526.044447938766,0.0,0.0,0.0,0.0,0.0,2874.621,0.0,65910.00449299128,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,44407.756201466575,0.0,0.0,0.0,6586.4105351822245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.630429207783891e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141878.98367426038,0.0,0.0,0.0,136699.83672379254,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t4,40969.9,68926.53522413307,0.0,0.0,19185.732000000004,0.0,9526.044447938766,0.0,0.0,0.0,0.0,0.0,2874.621,0.0,55424.21455271437,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,50075.67076649492,0.0,0.0,0.0,6586.4105351822245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141878.98367426038,0.0,0.0,0.0,136699.83672379254,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t5,40969.9,68926.53522413307,0.0,0.0,19185.732000000004,0.0,9526.044447938766,6.630112352468133e-12,0.0,0.0,0.0,0.0,2874.621,0.0,57452.14522908025,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,45775.709001365285,0.0,0.0,0.0,6586.4105351822245,0.0,0.0,0.0,0.0,0.0,0.0,2.255309539123118e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141878.98367426038,0.0,0.0,0.0,136699.83672379254,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t6,40969.9,68926.53522413307,0.0,0.0,19185.732000000004,0.0,9526.044447938766,0.0,0.0,0.0,0.0,0.0,2874.621,0.0,62816.65900262789,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,40134.336678124884,0.0,0.0,0.0,6586.4105351822245,0.0,0.0,0.0,0.0,-8.062622569582345e-12,0.0,1.7998935675223038e-11,0.0,1.2312284525251016e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141878.98367426038,0.0,0.0,0.0,136699.83672379254,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t7,40969.9,68926.53522413307,0.0,0.0,19185.732000000004,0.0,2183.6076790502225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43062.55211393063,0.0,0.0,0.0,0.0,3005.2269445844645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,32280.31435981925,0.0,0.0,0.0,6586.4105351822245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4624569050502032e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141878.98367426038,0.0,0.0,0.0,136699.83672379254,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t8,16387.96,25420.84130051683,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,29048.929,0.0,0.0,0.0,3293.2052675911123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107629.00661709752,0.0,0.0,0.0,74071.48426108854,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t9,16387.96,25420.84130051683,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,29048.929,0.0,0.0,0.0,3293.2052675911123,0.0,0.0,-2.928572939708829e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100399.390116007,0.0,0.0,0.0,68349.91836189627,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t10,16387.96,25420.84130051683,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,29048.929,0.0,0.0,0.0,3293.2052675911123,0.0,0.0,-1.177795638795942e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70939.49183713019,0.0,0.0,0.0,68349.91836189627,0.0,0.0,0.0,11287.386000000002,10706.856000000002
