Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7
cTotal,4.2132129248238846e10,5.467484275228841e10,7.163448113456468e10,8.690230640745607e10,2.300382416602532e10,1.734361130391728e10,6.94074649052836e10,4.623385327607211e10
cFix,3.5948753491823096e11,5.389444551861882e10,7.08584734152043e10,8.543135096718329e10,2.2066760661378532e10,1.7226348466421e10,6.6932005058513695e10,4.307815083091132e10
cVar,8.005166784185895e8,4.115760404278399e7,1.3443719270032156e8,2.8042098326557845e8,3.664243468075311e7,4.180391165448268e6,1.347038463291695e8,1.6897422623453918e8
cFuel,8.821111244323284e9,7.20496465426497e8,6.267204364294364e8,1.1807057250917006e9,8.92284935699586e8,1.1124872466179389e8,2.32026797285993e9,2.9693869841540294e9
cNSE,4.885388780955885e7,3.0315033493098305e6,9.086779714285715e6,9.77661340101376e6,8.111424804499277e6,889354.1782989388,1.4712212759445209e7,3.2459996027060794e6
cStart,4.236721682536825e7,1.5711660850990873e7,5.763310516342032e6,52118.51447519017,24709.461944181272,944367.490736903,5.7758148213701295e6,1.4095235169508984e7
cUnmetRsv,0.0,-,-,-,-,-,-,-
cNetworkExp,4.343182360233837e9,-,-,-,-,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-,-,-,-,-
cCO2,-5.995653253876301e-12,0.0,-2.1317878236004623e-13,0.0,-2.664734779500577e-14,0.0,-5.755827123721248e-12,0.0
