Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
t1,-4600.0,-1249.993361910966,-367.314,-10320.6005,919.231,1687.1795,-4933.888300463085,2400.0,5260.674,2780.0,201.17217762577326,-7153.938,-2387.315,-1314.1785,-500.0
t2,-4600.0,-2358.3613196627207,-367.314,-10320.6005,919.231,1687.1795,-3555.262099166244,2400.0,5260.674,2780.0,926.3183867625526,-7153.938,-2387.315,-1314.1785,-500.0
t3,-4600.0,-5010.188159098033,-367.314,-10320.6005,919.231,1687.1795,-5898.827048143866,2400.0,5260.674,2780.0,1145.7135752106653,-7153.938,-2387.315,-1314.1785,-500.0
t4,-4600.0,-3259.87590160398,-367.314,-10320.6005,919.231,1687.1795,-6153.718797056434,2400.0,5260.674,2780.0,920.4259542392425,-7153.938,-2387.315,-1314.1785,-500.0
t5,-4600.0,0.0,-367.314,-10320.6005,919.231,1687.1795,-2978.730036032293,2400.0,5260.674,2780.0,1010.3387340316848,-7153.938,-2387.315,-1314.1785,-500.0
t6,-4600.0,-5897.44019028658,-367.314,-10320.6005,919.231,1687.1795,-7102.506446749707,2400.0,5260.674,2780.0,1124.549667648846,-7153.938,-2387.315,-1314.1785,-500.0
t7,-4600.0,-6145.815508740256,-367.314,-10320.6005,919.231,1687.1795,-1641.5591387971524,2400.0,5260.674,2780.0,1994.355064257117,-7153.938,-2387.315,-1314.1785,-500.0
t8,-4600.0,-468.63959331022784,-367.314,-3655.608867787662,0.0,0.0,887.1937661986412,2400.0,5260.674,0.0,0.0,-4089.5121173530524,-2387.315,-1142.8797784970338,0.0
t9,-4600.0,1177.3417800571344,0.0,-4005.7329665262773,0.0,0.0,3126.4390226170785,2400.0,0.0,0.0,0.0,-2427.9071209211343,-2387.315,-76.34195184640464,0.0
t10,-4600.0,3681.8319925940696,0.0,-3810.532859501596,900.5864784009796,0.0,6107.243925108501,2400.0,0.0,0.0,-234.36175217273893,0.0,-2387.315,0.0,0.0
t11,-4600.0,5265.447606626974,0.0,-1414.075722299207,0.0,0.0,4811.628996116263,2400.0,0.0,0.0,-456.4259195670375,-995.2546662163447,-498.65519971104777,0.0,0.0
t12,-4600.0,5792.318494113496,0.0,-3314.4605396174547,0.0,0.0,5589.110505014196,2400.0,0.0,0.0,-1019.7504827836025,0.0,-1756.2027656497469,0.0,0.0
