Region,Resource,Zone,Cluster,AnnualSum
AZ,AZ_conventional_hydroelectric_1,1,1,9.844802185824555e7
CA_N,CA_N_conventional_hydroelectric_1,2,1,2.1847003286862865e8
CA_S,CA_S_conventional_hydroelectric_1,3,1,3.2692697650376078e7
MT_WY_CO,MT_WY_CO_conventional_hydroelectric_1,4,1,1.292719412392281e8
PNW,PNW_conventional_hydroelectric_1,6,1,1.2256003283335912e9
UT_NV,UT_NV_conventional_hydroelectric_1,7,1,4.735310257549989e7
AZ,AZ_conventional_steam_coal_1,1,1,2.9655479643881685e8
AZ,AZ_natural_gas_fired_combined_cycle_1,1,1,5.962805107523899e8
AZ,AZ_natural_gas_fired_combustion_turbine_1,1,1,0.0
AZ,AZ_natural_gas_steam_turbine_1,1,1,0.0
AZ,AZ_nuclear_1,1,1,3.9403337126644295e8
AZ,AZ_other_peaker_1,1,1,0.0
CA_N,CA_N_natural_gas_fired_combined_cycle_1,2,1,3.97517650482681e8
CA_N,CA_N_natural_gas_fired_combustion_turbine_1,2,1,-2.245685103594564e-11
CA_N,CA_N_nuclear_1,2,1,0.0
CA_N,CA_N_other_peaker_1,2,1,-1.0950019985349725e-10
CA_S,CA_S_natural_gas_fired_combined_cycle_1,3,1,4.849889787557527e7
CA_S,CA_S_natural_gas_fired_combustion_turbine_1,3,1,-3.318238346943992e-8
CA_S,CA_S_natural_gas_steam_turbine_1,3,1,2.6555019863823775e7
CA_S,CA_S_other_peaker_1,3,1,0.0
MT_WY_CO,MT_WY_CO_conventional_steam_coal_1,4,1,5.97568842224244e8
MT_WY_CO,MT_WY_CO_natural_gas_fired_combined_cycle_1,4,1,1.1001809138083649e-11
MT_WY_CO,MT_WY_CO_natural_gas_fired_combustion_turbine_1,4,1,-1.3135872453143557e-8
MT_WY_CO,MT_WY_CO_natural_gas_steam_turbine_1,4,1,-4.2069036175563545e-13
MT_WY_CO,MT_WY_CO_other_peaker_1,4,1,5.941470995195888e-9
NM,NM_conventional_steam_coal_1,5,1,3.529825505029275e7
NM,NM_natural_gas_fired_combined_cycle_1,5,1,5.554348343239867e6
NM,NM_natural_gas_fired_combustion_turbine_1,5,1,1933.0291430891125
NM,NM_natural_gas_steam_turbine_1,5,1,0.0
NM,NM_other_peaker_1,5,1,60.31939827646793
PNW,PNW_conventional_steam_coal_1,6,1,0.0
PNW,PNW_natural_gas_fired_combined_cycle_1,6,1,1.5709857347035676e8
PNW,PNW_natural_gas_fired_combustion_turbine_1,6,1,1.4367018296681792e7
PNW,PNW_nuclear_1,6,1,1.8501761793296346e8
PNW,PNW_other_peaker_1,6,1,4.0712297343188133e6
UT_NV,UT_NV_conventional_steam_coal_1,7,1,5.58076773572307e8
UT_NV,UT_NV_natural_gas_fired_combined_cycle_1,7,1,1.6048578826047572e8
UT_NV,UT_NV_natural_gas_fired_combustion_turbine_1,7,1,-2.0951688422263902e-10
UT_NV,UT_NV_natural_gas_steam_turbine_1,7,1,6.925532085888442e-12
UT_NV,UT_NV_other_peaker_1,7,1,9.319486666681996e-9
AZ,AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,1,0,0.0
AZ,AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,1,0,0.0
AZ,AZ_naturalgas_combustion_turbine_fframe_moderate_0,1,0,0.0
AZ,AZ_nuclear_nuclear__large_conservative_0,1,0,-5.487685608264166e-7
CA_N,CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,2,0,-1.8447421944034164e-9
CA_N,CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,2,0,-9.155328228213832e-9
CA_N,CA_N_naturalgas_combustion_turbine_fframe_moderate_0,2,0,3.714119820566987e-9
CA_N,CA_N_nuclear_nuclear__large_conservative_0,2,0,-4.9239472049859555e-8
CA_S,CA_S_naturalgas_2on1_combined_cycle_fframe_moderate_0,3,0,2.395803121313797e-9
CA_S,CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,3,0,5.199960910870184e-10
CA_S,CA_S_naturalgas_combustion_turbine_fframe_moderate_0,3,0,1.0443118080339398e-9
CA_S,CA_S_nuclear_nuclear__large_conservative_0,3,0,-4.23631720088098e-7
MT_WY_CO,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_moderate_0,4,0,1.1265990629289908e-10
MT_WY_CO,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,4,0,2.033516520623864e-12
MT_WY_CO,MT_WY_CO_naturalgas_combustion_turbine_fframe_moderate_0,4,0,-8.390837247981246e-10
MT_WY_CO,MT_WY_CO_nuclear_nuclear__large_conservative_0,4,0,4.126867915168123e-8
NM,NM_naturalgas_2on1_combined_cycle_fframe_moderate_0,5,0,9.646963099723352e-12
NM,NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,5,0,0.0
NM,NM_naturalgas_combustion_turbine_fframe_moderate_0,5,0,-1.3912130025522924e-9
NM,NM_nuclear_nuclear__large_conservative_0,5,0,2.613728916381249e-8
PNW,PNW_naturalgas_2on1_combined_cycle_fframe_moderate_0,6,0,1.171971631654093e9
PNW,PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,6,0,1.1218599823507756e-10
PNW,PNW_naturalgas_combustion_turbine_fframe_moderate_0,6,0,4.0061945823760726e6
PNW,PNW_nuclear_nuclear__large_conservative_0,6,0,1.5602542118108356e-8
UT_NV,UT_NV_naturalgas_2on1_combined_cycle_fframe_moderate_0,7,0,1.8851416151437628e9
UT_NV,UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,7,0,-2.525882103606632e-10
UT_NV,UT_NV_naturalgas_combustion_turbine_fframe_moderate_0,7,0,1.5941046849341435e-11
UT_NV,UT_NV_nuclear_nuclear__large_conservative_0,7,0,-8.055969043853257e-8
CA_S,CA_S_nuclear_1,3,1,3.197482606049818e8
NM,NM_nuclear_1,5,1,1.2178907479547252e8
AZ,AZ_onshore_wind_turbine_1,1,1,7.180410414269702e7
AZ,AZ_solar_photovoltaic_1,1,1,1.6834593002485183e8
CA_N,CA_N_onshore_wind_turbine_1,2,1,4.284050507650641e7
CA_N,CA_N_solar_photovoltaic_1,2,1,2.038358589369169e8
CA_S,CA_S_onshore_wind_turbine_1,3,1,1.3187248754972623e8
CA_S,CA_S_solar_photovoltaic_1,3,1,4.81599426748426e8
MT_WY_CO,MT_WY_CO_onshore_wind_turbine_1,4,1,4.7068134296317005e8
MT_WY_CO,MT_WY_CO_solar_photovoltaic_1,4,1,8.77377229358232e7
NM,NM_onshore_wind_turbine_1,5,1,2.3960303088154116e8
NM,NM_solar_photovoltaic_1,5,1,6.611090652546969e7
PNW,PNW_onshore_wind_turbine_1,6,1,1.2021797854079933e8
PNW,PNW_solar_photovoltaic_1,6,1,1.2316196082025091e8
UT_NV,UT_NV_onshore_wind_turbine_1,7,1,3.745898192254186e6
UT_NV,UT_NV_solar_photovoltaic_1,7,1,2.6551147345998973e8
AZ,AZ_landbasedwind_class3_advanced_0,1,0,1.0998358492206314e9
AZ,AZ_landbasedwind_class3_advanced_1,1,1,5.526090719384886e8
AZ,AZ_landbasedwind_class3_advanced_2,1,2,0.0
AZ,AZ_landbasedwind_class3_advanced_3,1,3,0.0
AZ,AZ_landbasedwind_class3_advanced_4,1,4,0.0
AZ,AZ_landbasedwind_class3_advanced_5,1,5,0.0
AZ,AZ_landbasedwind_class3_advanced_6,1,6,0.0
AZ,AZ_landbasedwind_class3_advanced_7,1,7,0.0
AZ,AZ_landbasedwind_class3_advanced_8,1,8,0.0
AZ,AZ_landbasedwind_class3_advanced_9,1,9,0.0
AZ,AZ_utilitypv_class1_advanced_1,1,1,3.0842071126308894e8
AZ,AZ_utilitypv_class1_advanced_2,1,2,0.0
AZ,AZ_utilitypv_class1_advanced_3,1,3,0.0
AZ,AZ_utilitypv_class1_advanced_4,1,4,0.0
AZ,AZ_utilitypv_class1_advanced_5,1,5,0.0
CA_N,CA_N_landbasedwind_class3_advanced_0,2,0,6.641570892417803e8
CA_N,CA_N_landbasedwind_class3_advanced_1,2,1,0.0
CA_N,CA_N_landbasedwind_class3_advanced_2,2,2,3.205950419679701e8
CA_N,CA_N_landbasedwind_class3_advanced_3,2,3,0.0
CA_N,CA_N_landbasedwind_class3_advanced_4,2,4,0.0
CA_N,CA_N_landbasedwind_class3_advanced_5,2,5,0.0
CA_N,CA_N_landbasedwind_class3_advanced_6,2,6,0.0
CA_N,CA_N_landbasedwind_class3_advanced_7,2,7,0.0
CA_N,CA_N_landbasedwind_class3_advanced_8,2,8,0.0
CA_N,CA_N_landbasedwind_class3_advanced_9,2,9,0.0
CA_N,CA_N_utilitypv_class1_advanced_1,2,1,1.2118415131970413e9
CA_N,CA_N_utilitypv_class1_advanced_2,2,2,0.0
CA_N,CA_N_utilitypv_class1_advanced_3,2,3,0.0
CA_N,CA_N_utilitypv_class1_advanced_4,2,4,0.0
CA_N,CA_N_utilitypv_class1_advanced_5,2,5,0.0
CA_S,CA_S_landbasedwind_class3_advanced_0,3,0,1.172038792514116e8
CA_S,CA_S_landbasedwind_class3_advanced_1,3,1,3.88706078357758e7
CA_S,CA_S_landbasedwind_class3_advanced_2,3,2,6.6883067675466955e7
CA_S,CA_S_landbasedwind_class3_advanced_3,3,3,5.1559729795430295e7
