Resource,AZ_batteries_1,AZ_hydroelectric_pumped_storage_1,CA_N_batteries_1,CA_N_hydroelectric_pumped_storage_1,CA_S_batteries_1,CA_S_hydroelectric_pumped_storage_1,MT_WY_CO_batteries_1,MT_WY_CO_hydroelectric_pumped_storage_1,NM_batteries_1,PNW_batteries_1,PNW_hydroelectric_pumped_storage_1,UT_NV_batteries_1,AZ_utilityscale_battery_storage_lithium_ion_advanced_0,CA_N_utilityscale_battery_storage_lithium_ion_advanced_0,CA_S_utilityscale_battery_storage_lithium_ion_advanced_0,MT_WY_CO_utilityscale_battery_storage_lithium_ion_advanced_0,NM_utilityscale_battery_storage_lithium_ion_advanced_0,PNW_utilityscale_battery_storage_lithium_ion_advanced_0,UT_NV_utilityscale_battery_storage_lithium_ion_advanced_0,AZ_utilityscale_battery_storage_lithium_ion_advanced_0_8,CA_N_utilityscale_battery_storage_lithium_ion_advanced_0_8,CA_S_utilityscale_battery_storage_lithium_ion_advanced_0_8,MT_WY_CO_utilityscale_battery_storage_lithium_ion_advanced_0_8,NM_utilityscale_battery_storage_lithium_ion_advanced_0_8,PNW_utilityscale_battery_storage_lithium_ion_advanced_0_8,UT_NV_utilityscale_battery_storage_lithium_ion_advanced_0_8,Total
Zone,1,1,2,2,3,3,4,4,5,6,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,0
AnnualSum,8.565976665186742e6,341152.80740991904,690428.0959769218,8.189120679444941e6,4.41985281843133e6,6.232360721414072e6,435529.9761185041,1.865331512441708e6,478211.88095139223,108022.83660443914,985352.9927444088,1.58014119020239e6,0.0,4.785359644969369e6,1.4498604457197413e6,239571.68623548938,201875.71968282468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.056814967353419e7
t1,0.0,0.0,0.0,0.0,0.0,0.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.71578626327113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.7157862632711
t2,0.0,0.0,0.0,0.0,0.0,0.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.257367868750837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.25736786875083
t3,0.0,0.0,0.0,0.0,0.0,0.0,226.0,192.83333333268916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.83622893559973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485.6695622682889
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.71578626327113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.2157862632712
t5,0.0,0.0,0.0,0.0,0.0,0.0,226.0,578.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.490469115143327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,815.9904691151434
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.5,46.3600466995484,0.0,0.0,0.0,0.0,0.0,0.0,76.60312768920724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701.4631743887556
t7,0.0,0.0,0.0,0.0,0.0,1484.2507685601504,74.57329493262192,578.5,196.3,0.0,0.0,0.0,0.0,0.0,0.0,141.71578626327113,99.04065786574617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2574.38050762179
t8,0.0,97.3,0.0,2246.9,0.0,1665.0,0.0,578.5,196.3,0.0,0.0,0.0,0.0,0.0,0.0,13.514855305393219,99.04065786574617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4896.55551317114
