Fuel,AnnualSum
No_fuel,0.0
AZ_coal,1.1993273494537146e8
AZ_naturalgas,7.433142024157687e7
AZ_uranium,3.577414099322779e8
CA_N_naturalgas,6.076621538083896e6
CA_N_uranium,6.172888019559158e8
CA_S_naturalgas,2.0679666418936935e6
MT_WY_CO_coal,5.2389637021661586e8
MT_WY_CO_naturalgas,130797.35272775446
NM_coal,2.119780426832867e7
NM_naturalgas,1.4222010029621932e6
PNW_coal,0.0
PNW_naturalgas,3.999449838158177e8
PNW_uranium,1.0546529919090725e8
UT_NV_coal,2.8433969596610475e8
UT_NV_naturalgas,4.64217586662692e8
CA_S_uranium,1.3716857327759316e9
MT_WY_CO_uranium,-1.1642064958124652e-8
NM_uranium,4.599197567123347e-9
UT_NV_uranium,-1.4380601721097899e-8
None,0.0
