Resource,AZ_batteries_1,AZ_hydroelectric_pumped_storage_1,CA_N_batteries_1,CA_N_hydroelectric_pumped_storage_1,CA_S_batteries_1,CA_S_hydroelectric_pumped_storage_1,MT_WY_CO_batteries_1,MT_WY_CO_hydroelectric_pumped_storage_1,NM_batteries_1,PNW_batteries_1,PNW_hydroelectric_pumped_storage_1,UT_NV_batteries_1,AZ_utilityscale_battery_storage_lithium_ion_conservative_0,CA_N_utilityscale_battery_storage_lithium_ion_conservative_0,CA_S_utilityscale_battery_storage_lithium_ion_conservative_0,MT_WY_CO_utilityscale_battery_storage_lithium_ion_conservative_0,NM_utilityscale_battery_storage_lithium_ion_conservative_0,PNW_utilityscale_battery_storage_lithium_ion_conservative_0,UT_NV_utilityscale_battery_storage_lithium_ion_conservative_0,AZ_utilityscale_battery_storage_lithium_ion_conservative_0_8,CA_N_utilityscale_battery_storage_lithium_ion_conservative_0_8,CA_S_utilityscale_battery_storage_lithium_ion_conservative_0_8,MT_WY_CO_utilityscale_battery_storage_lithium_ion_conservative_0_8,NM_utilityscale_battery_storage_lithium_ion_conservative_0_8,PNW_utilityscale_battery_storage_lithium_ion_conservative_0_8,UT_NV_utilityscale_battery_storage_lithium_ion_conservative_0_8,AZ_conventional_hydroelectric_1,CA_N_conventional_hydroelectric_1,CA_S_conventional_hydroelectric_1,MT_WY_CO_conventional_hydroelectric_1,PNW_conventional_hydroelectric_1,UT_NV_conventional_hydroelectric_1,Total
Zone,1,1,2,2,3,3,4,4,5,6,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,6,7,0
AnnualSum,1.1129903320561093e8,1.0162327641303984e7,8.810596646629903e6,2.247345666468651e8,4.927091699535759e7,1.6379198270379773e8,3.3222310434716693e6,6.300448743194635e7,2.4542228213972743e6,1.7107591116941303e6,3.7502010109077275e7,1.7295833320843533e7,0.0,5.085716499776368e7,1.527164148836599e7,2.224255468596387e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0698315151042921e7,1.8431710494644165e7,2.411794216076451e6,1.5830285110813692e7,1.5669578584172204e8,3.4754620816586176e6,9.692553825286795e8
t1,12161.217142719692,1051.3042301573637,619.4449221192866,22344.096816165347,0.0,14266.035134133406,0.0,2757.686440078001,0.0,0.0,3181.8991721559996,0.0,0.0,1830.7860543461861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,148.30102066324497,791.5461592917109,11658.40372567037,304.39,75458.61081750061
t2,12161.217142719692,942.5195230520092,619.4449221192866,19864.234218389855,0.0,12404.508542865007,0.0,3275.112570071501,0.0,0.0,3181.8991721559996,0.0,0.0,1830.7860543461861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,148.30102066324497,761.8430438060519,11746.211124687972,253.46815937541314,71533.04549425222
t3,8828.917080652183,942.5195230520092,619.4449221192866,19864.234218389855,0.0,12404.508542865007,68.75318081599997,3792.538700065001,0.0,0.0,3181.8991721559996,0.0,0.0,1830.7860543461861,0.0,142.04831566315954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,148.30102066324497,761.8430438060519,10999.877840341498,406.2336812491736,68335.40529618466
t4,5251.194890879079,833.7348159466546,619.4449221192866,17352.12364906795,0.0,12404.508542865007,277.11488561199997,4309.964830058501,83.11686248182221,0.0,3181.8991721559996,0.0,0.0,1830.7860543461861,0.0,190.14717581312482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,148.30102066324497,761.8430438060519,11149.084555023597,355.3118406245868,63092.0762614631
t5,995.9029673911906,833.7348159466546,0.0,14840.013079746048,0.0,12404.508542865007,485.476590408,4827.390960052001,264.0965202316222,0.0,3181.8991721559996,0.0,0.0,990.4906368960848,0.0,332.19549147628436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,296.60204132648994,1308.2024057655954,11948.730581173757,304.39,57357.13380543473
t6,0.0,724.9501088413001,0.0,14840.013079746048,0.0,12404.508542865007,693.838295204,5344.817090045501,445.07617798142223,0.0,3181.8991721559996,0.0,0.0,0.0,0.0,474.2438071394439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.03458107743654,778.6009597852008,148.30102066324497,2031.6569561939482,9277.310785359572,253.46815937541314,51006.71873643354
t7,0.0,724.9501088413001,0.0,14840.013079746048,0.0,12404.508542865007,902.2,5862.243220039,626.0558357312223,0.0,3181.8991721559996,0.0,0.0,0.0,0.0,616.2921228026034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.03458107743654,778.6009597852008,148.30102066324497,2793.5,9277.310785359572,253.46815937541314,52817.377588442054
t8,0.0,811.9778745256001,0.0,16849.70153520395,441.69938204354196,13893.729815880008,902.2,6379.6693500325,667.5262106224793,19.966971153600014,3462.7493101299997,0.0,0.0,0.0,0.0,616.2921228026034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.03458107743654,778.6009597852008,148.30102066324497,2031.6569561939482,11690.297933671192,506.9363187508263,59609.34034253614
