Constraint,CapRes_1,CapRes_2,CapRes_3,CapRes_4
t1,0.0,0.0,0.0,0.0
t2,0.0,0.0,0.0,0.0
t3,0.0,0.0,0.0,0.0
t4,0.0,0.0,0.0,0.0
t5,0.0,0.0,0.0,0.0
t6,0.0,0.0,0.0,0.0
t7,0.0,0.0,0.0,0.0
t8,0.0,0.0,0.0,3.329931854258951
t9,0.0,0.0,0.0,1.4150534647545376
t10,0.0,0.0,0.0,4.301921086499099
t11,0.0,0.0,0.0,4.3019210864990995
t12,0.0,0.0,0.0,0.0
t13,-0.0,0.0,0.0,0.0
t14,0.0,0.0,0.0,0.0
t15,0.0,0.0,0.0,0.0
t16,0.0,0.0,0.0,0.0
t17,0.0,0.0,0.0,0.0
t18,0.0,0.0,0.0,0.0
t19,0.0,0.0,0.0,0.0
t20,0.0,0.0,0.0,0.0
t21,0.0,0.0,0.0,0.0
t22,0.0,0.0,0.0,0.0
t23,0.0,0.0,0.0,0.0
t24,0.0,0.0,0.0,0.0
t25,0.0,0.0,0.0,0.0
t26,0.0,0.0,0.0,0.0
t27,0.0,0.0,0.0,0.0
t28,0.0,0.0,0.0,0.0
t29,0.0,0.0,0.0,0.0
t30,0.0,0.0,0.0,0.0
t31,0.0,0.0,0.0,0.0
t32,0.0,0.0,0.0,0.0
t33,0.0,0.0,0.0,0.8452219951873648
t34,0.0,0.0,0.0,10.215471485016218
t35,0.0,0.0,0.0,11.059622181454143
t36,0.0,0.0,0.0,0.0
t37,0.0,0.0,0.0,0.0
t38,0.0,0.0,0.0,0.0
t39,0.0,0.5790903175111474,0.0,0.0
t40,0.0,-0.0,0.0,0.0
t41,0.0,0.0,0.0,0.0
t42,0.0,0.0,0.0,0.0
t43,0.0,0.0,0.0,0.0
t44,0.0,0.0,0.0,0.0
t45,0.0,0.0,0.0,0.0
t46,0.0,0.0,0.0,0.0
t47,0.0,0.0,0.0,0.0
t48,0.0,0.0,0.0,0.0
t49,0.0,61.81867910018668,46.66028646448632,56.42317922570661
t50,0.0,61.81867910018668,46.66028646448632,56.42317922570661
t51,0.0,61.81867910018668,46.66028646448632,56.42317922570661
t52,0.0,61.81867910018668,46.66028646448632,58.09943435743233
t53,0.0,61.81867910018668,46.66028646448632,5.927905592687118
t54,0.0,61.818679100186664,46.66028646448632,58.09943435743233
t55,0.0,61.81867910018668,46.66028646448632,56.42317922570661
t56,0.0,8.977658339859113,0.0,3.1463637229374153
t57,0.0,6.115654158144273,0.0,0.23191782772186717
t58,0.0,6.115654158144273,0.0,19.439726099045902
t59,0.0,6.115654158144273,0.0,19.439726099045902
t60,0.0,6.115654158144273,0.0,19.439726099045902
t61,0.0,6.115654158144273,0.0,25.969143465107063
t62,0.0,6.115654158144273,0.0,25.969143465107067
t63,0.0,6.115654158144273,0.0,19.439726099045902
t64,0.0,6.115654158144273,0.0,19.439726099045902
t65,0.0,6.323878189580488,0.0,2.4263283306184804
t66,0.0,4.153445801142405,0.0,0.0
t67,0.0,1.3508424791623943,0.0,0.0
t68,0.0,1.3508424791623943,0.0,0.0
t69,0.0,1.4042557381564598,0.0,0.0
t70,0.0,1.3508424791623943,0.0,0.0
t71,0.0,1.3508424791623943,0.0,0.0
t72,0.0,1.3508424791623943,0.0,0.0
t73,0.0,0.0,0.0,0.0
t74,0.0,0.0,0.0,0.0
t75,0.0,0.0,0.0,0.0
t76,0.0,0.0,0.0,0.0
t77,0.0,0.0,0.0,0.0
t78,0.0,0.0,0.0,0.0
t79,0.0,0.0,0.0,0.0
t80,0.0,0.0,0.0,0.0
t81,0.0,0.0,0.0,0.0
t82,0.0,0.0,0.0,0.0
t83,0.0,0.0,0.0,0.0
t84,0.0,0.0,0.0,0.0
t85,0.0,0.0,0.0,0.0
t86,0.0,0.0,0.0,0.0
t87,0.0,0.0,0.0,0.0
t88,0.0,0.0,0.0,0.0
t89,0.0,0.0,0.0,0.0
t90,0.0,0.0,0.0,0.0
t91,0.0,0.0,0.0,0.0
t92,0.0,0.0,0.0,0.0
t93,0.0,0.0,0.0,0.0
t94,0.0,0.0,0.0,0.0
t95,0.0,0.0,0.0,0.0
t96,0.0,0.0,0.0,0.0
t97,0.0,0.0,0.0,0.0
t98,0.0,0.0,0.0,0.0
t99,0.0,8.435879097701937,0.0,0.0
t100,0.0,15.873933415605896,0.0,6.09956578542816
t101,0.0,47.478981070367766,31.605047654761865,43.55196247297737
t102,0.0,43.77229245962149,27.898359044015596,39.84527386223111
t103,0.0,44.03379660109288,28.159863185486987,40.1067780037025
t104,0.0,15.873933415605897,0.0,11.946914818215514
t105,0.0,37.97301014881232,22.099076733206413,24.525405063824895
t106,0.0,7.338067312449296,0.0,0.0
t107,0.0,7.62271927391763,0.0,0.0
t108,0.0,44.03379660109288,31.127056051047305,33.553384381665786
t109,0.0,48.626081626071965,35.709258693849186,38.13558702446767
t110,0.0,66.7768434015612,53.820170391211384,56.24649872182986
t111,0.0,66.77684340156118,53.820170391211384,56.24649872182986
t112,0.0,65.38657731805527,53.820170391211384,61.31226579465586
t113,0.0,59.460998546088426,52.68405529936675,56.147621069421795
t114,0.0,59.460998546088426,52.68405529936675,56.147621069421795
t115,0.0,56.37533639353598,45.90747116543856,49.371036935493606
t116,0.0,53.891059583425594,46.856182476136375,50.31974824619142
t117,0.0,56.37533639353596,49.34045928624674,52.804025056301796
t118,0.0,44.03379660109288,36.99891949380366,40.462485263858724
