Line,New_Trans_Capacity_p1,New_Trans_Capacity_p2,New_Trans_Capacity_p3,New_Trans_Capacity_p4,New_Trans_Capacity_p5,New_Trans_Capacity_p6,New_Trans_Capacity_p7,New_Trans_Capacity_p8,New_Trans_Capacity_p9,New_Trans_Capacity_p10,New_Trans_Capacity_p11,New_Trans_Capacity_p12,New_Trans_Capacity_p13,New_Trans_Capacity_p14,New_Trans_Capacity_p15,New_Trans_Capacity_p16,New_Trans_Capacity_p17
1,0.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,367.6968677244555,2300.0,2300.0,2300.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,400.0,0.0,400.0,0.0,400.0,0.0,400.0,0.0,400.0,0.0,400.0,0.0,400.0,0.0,400.0
4,0.0,3352.824506560985,10321.0,3169.721304088632,10321.0,0.0,10321.0,0.0,10321.0,1972.3782749330483,10321.0,1926.2942082365482,10321.0,0.0,10321.0,0.0,10321.0
5,0.0,0.0,919.0,0.0,919.0,0.0,0.0,0.0,0.0,0.0,919.0,0.0,919.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,5200.0,5200.0,5200.0,5200.0,3318.6790531159604,5200.0,2980.094113396498,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,1599.939541913082,5200.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,5261.0,5261.0,5261.0,5261.0,0.0,5261.0,0.0,5261.0,5261.0,5261.0,5261.0,5261.0,0.0,5261.0,0.0,5261.0
10,0.0,1105.9591557759093,2780.0,808.1595597247788,2780.0,0.0,2780.0,0.0,2780.0,907.2283425487107,2780.0,775.075918906509,2780.0,0.0,2780.0,0.0,2780.0
11,0.0,1417.0,1417.0,1417.0,1417.0,1417.0,1417.0,1417.0,1417.0,1417.0,1386.5780156379476,1417.0,1417.0,1417.0,1417.0,1417.0,1417.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,2387.0,0.0,2387.0,0.0,0.0,0.0,0.0,0.0,2387.0,0.0,2387.0,0.0,0.0,0.0,0.0
14,0.0,657.0,657.0,657.0,657.0,0.0,0.0,598.8168038364422,0.0,657.0,657.0,657.0,657.0,657.0,0.0,586.9806445231275,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
