Constraint,CapRes_1,CapRes_2,CapRes_3,CapRes_4
t1,0.0,39.85004785493391,58.4796168643649,10.16144085856193
t2,0.0,39.85004785493393,57.534492212892175,10.16144085856195
t3,0.0,39.85004785493393,57.534492212892175,10.161440858561942
t4,0.0,39.85004785493393,57.534492212892175,10.161440858561942
t5,0.0,38.902843612337854,57.534492212892175,9.214236615965865
t6,0.0,36.96637895950023,57.53449221289216,25.26548080471712
t7,0.0,-0.0,18.71705996656151,0.0
t8,0.0,0.0,0.0,0.4260093309492513
t9,0.0,0.0,0.0,0.0
t10,0.0,0.0,0.0,-0.0
t11,0.0,0.0,0.0,-0.0
t12,0.0,0.0,0.0,-0.0
t13,0.0,0.0,0.0,0.0
t14,0.0,0.0,0.0,0.0
t15,0.0,0.0,0.0,0.0
t16,0.0,1.0555220087872146,0.0,0.0
t17,0.0,58.672870177285496,58.4796168643649,35.408026244506644
t18,0.0,60.13799384521541,63.73974045054633,29.000725574972236
t19,0.0,58.672870177285496,63.3705097007594,58.88324275981162
t20,0.0,58.91623715709343,63.73974045054633,62.90489958124673
t21,0.0,58.91623715709341,67.53007874837247,66.69523787907289
t22,0.0,58.672870177285496,67.53007874837247,66.69523787907288
t23,0.0,55.722713767827926,67.53007874837247,66.69523787907288
t24,0.0,56.24346062394254,67.53007874837247,66.69523787907288
t25,0.0,51.15499124937905,60.42771921549588,28.864400202670048
t26,0.0,49.72186118578278,60.27064251626124,20.03325418941079
t27,0.0,49.72186118578278,60.24698607164507,20.03325418941079
t28,0.0,45.50046493659468,59.807960861729484,15.811857940222701
t29,0.0,45.50046493659468,59.807960861729505,15.811857940222701
t30,0.0,45.50046493659468,59.807960861729484,26.52237676786636
t31,0.0,-0.0,54.82093070485259,0.0
t32,0.0,0.0,0.0,0.0
t33,0.0,0.0,0.0,0.0
t34,0.0,0.0,0.0,0.0
t35,0.0,0.0990248335147685,0.0,1.2895255881049803
t36,0.0,0.09902483351477201,0.0,0.0
t37,0.0,0.0990248335147685,0.0,0.0
t38,0.0,51.15499124937905,46.28171347719716,42.029225403110054
t39,0.0,64.90950776277614,63.1956861759965,58.94319810190939
t40,0.0,66.2286430187325,64.05817383051951,60.69296281297871
t41,0.0,66.2286430187325,64.05817383051948,53.67534734337453
t42,0.0,66.22864301873253,64.05817383051951,53.675347343374554
t43,0.0,66.22864301873251,64.0581738305195,53.675347343374554
t44,0.0,66.22864301873253,64.05817383051951,53.67534734337455
t45,0.0,66.22864301873253,64.05817383051951,53.67534734337471
t46,0.0,66.22864301873253,64.05817383051951,53.67534734337455
t47,0.0,66.00648552856067,64.05817383051951,53.67534734337455
t48,0.0,65.90974166611325,64.0444260184875,53.661599531342546
t49,521.1307924977604,594.3552562276342,592.2533004387451,588.8115162271409
t50,521.1307924977605,594.3552562276338,592.2533004387448,588.8115162271407
t51,521.1307924977604,594.3552562276346,592.2533004387453,589.0638859236174
t52,521.1307924977613,594.3552562276346,592.2533004387454,591.4614613306883
t53,521.1307924977604,594.3552562276346,592.2533004387453,538.633749479939
t54,521.1307924977611,594.3552562276345,592.2533004387453,589.0638859236172
