Resource,AZ_conventional_steam_coal_1,AZ_natural_gas_fired_combined_cycle_1,AZ_natural_gas_fired_combustion_turbine_1,AZ_natural_gas_steam_turbine_1,AZ_nuclear_1,AZ_other_peaker_1,CA_N_natural_gas_fired_combined_cycle_1,CA_N_natural_gas_fired_combustion_turbine_1,CA_N_nuclear_1,CA_N_other_peaker_1,CA_S_natural_gas_fired_combined_cycle_1,CA_S_natural_gas_fired_combustion_turbine_1,CA_S_natural_gas_steam_turbine_1,CA_S_other_peaker_1,MT_WY_CO_conventional_steam_coal_1,MT_WY_CO_natural_gas_fired_combined_cycle_1,MT_WY_CO_natural_gas_fired_combustion_turbine_1,MT_WY_CO_natural_gas_steam_turbine_1,MT_WY_CO_other_peaker_1,NM_conventional_steam_coal_1,NM_natural_gas_fired_combined_cycle_1,NM_natural_gas_fired_combustion_turbine_1,NM_natural_gas_steam_turbine_1,NM_other_peaker_1,PNW_conventional_steam_coal_1,PNW_natural_gas_fired_combined_cycle_1,PNW_natural_gas_fired_combustion_turbine_1,PNW_nuclear_1,PNW_other_peaker_1,UT_NV_conventional_steam_coal_1,UT_NV_natural_gas_fired_combined_cycle_1,UT_NV_natural_gas_fired_combustion_turbine_1,UT_NV_natural_gas_steam_turbine_1,UT_NV_other_peaker_1,AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,AZ_naturalgas_combustion_turbine_fframe_moderate_0,AZ_nuclear_nuclear__large_advanced_0,CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,CA_N_naturalgas_combustion_turbine_fframe_moderate_0,CA_N_nuclear_nuclear__large_advanced_0,CA_S_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,CA_S_naturalgas_combustion_turbine_fframe_moderate_0,CA_S_nuclear_nuclear__large_advanced_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_moderate_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,MT_WY_CO_naturalgas_combustion_turbine_fframe_moderate_0,MT_WY_CO_nuclear_nuclear__large_advanced_0,NM_naturalgas_2on1_combined_cycle_fframe_moderate_0,NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,NM_naturalgas_combustion_turbine_fframe_moderate_0,NM_nuclear_nuclear__large_advanced_0,PNW_naturalgas_2on1_combined_cycle_fframe_moderate_0,PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,PNW_naturalgas_combustion_turbine_fframe_moderate_0,PNW_nuclear_nuclear__large_advanced_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_moderate_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,UT_NV_naturalgas_combustion_turbine_fframe_moderate_0,UT_NV_nuclear_nuclear__large_advanced_0,CA_S_nuclear_1,NM_nuclear_1
t1,40969.9,56096.62628407415,0.0,0.0,19185.732000000004,0.0,2914.129727907689,0.0,0.0,0.0,0.0,0.0,2874.621,0.0,32456.64381070436,0.0,0.0,0.0,0.0,3061.52,126.07484006544007,0.0,0.0,0.0,0.0,15352.192198171977,0.0,12039.46000000003,0.0,35341.698,58097.858,21819.68448115396,0.0,0.0,31705.138568070637,0.0,0.0,0.0,0.0,0.0,9.233268181207623e-10,11974.251846446417,0.0,0.0,0.0,100106.96620964988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92111.91703602132,0.0,0.0,0.0,47243.18199399529,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t2,40969.9,56096.62628407415,0.0,0.0,19185.732000000004,0.0,2914.129727907689,0.0,0.0,0.0,0.0,0.0,2874.621,0.0,29045.626800000002,0.0,0.0,0.0,0.0,3061.52,126.07484006544007,0.0,0.0,0.0,0.0,15352.192198171977,0.0,12039.46000000004,0.0,35341.698,58097.858,21819.68448115396,0.0,0.0,31705.138568070637,0.0,0.0,0.0,0.0,0.0,0.0,11974.251846446417,0.0,0.0,0.0,100106.96620964979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92111.9170360213,0.0,0.0,0.0,47243.18199399529,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t3,40969.9,56096.62628407415,0.0,0.0,19185.732000000004,0.0,2914.129727907689,0.0,0.0,0.0,0.0,0.0,2874.621,0.0,29045.626800000002,0.0,0.0,0.0,0.0,3061.52,126.07484006544007,0.0,0.0,0.0,0.0,15352.192198171977,0.0,12039.46,0.0,35341.698,58097.858,21819.68448115396,0.0,0.0,31705.138568070637,0.0,0.0,0.0,0.0,0.0,0.0,11974.251846446423,0.0,0.0,0.0,100106.96620964979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92111.9170360213,0.0,0.0,-1.6711965145077556e-11,47243.18199399529,0.0,0.0,-2.3874235921539366e-12,11287.386000000002,10706.856000000002
t4,40969.9,56096.62628407415,0.0,0.0,19185.732000000004,0.0,2914.129727907689,0.0,0.0,0.0,0.0,0.0,2874.621,0.0,29045.626800000002,0.0,0.0,0.0,0.0,3061.52,126.07484006544007,0.0,0.0,0.0,0.0,15352.192198171977,0.0,12039.459999999975,0.0,35341.698,58097.858,21819.68448115396,0.0,0.0,31705.138568070637,0.0,0.0,2.1964297047816217e-10,0.0,0.0,0.0,11974.251846446417,0.0,0.0,0.0,100106.96620964975,0.0,0.0,0.0,1.3130829756846651e-11,0.0,0.0,0.0,0.0,92111.9170360213,0.0,0.0,0.0,47243.18199399529,0.0,0.0,-5.2523319027386606e-11,11287.386000000002,10706.856000000002
t5,40969.9,56096.62628407415,0.0,0.0,19185.732000000004,0.0,2914.129727907689,0.0,0.0,0.0,0.0,0.0,2874.621,0.0,29045.626800000002,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,15352.192198171977,0.0,12039.459999999992,0.0,35341.698,58097.858,21819.68448115396,0.0,0.0,31705.138568070637,0.0,0.0,2.1964297047816217e-10,0.0,0.0,0.0,11974.251846446372,2.244632923975587e-11,0.0,0.0,100106.9662096498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92111.91703602129,0.0,0.0,0.0,47243.18199399529,0.0,0.0,-5.2523319027386606e-11,11287.386000000002,10706.856000000002
t6,40969.9,56096.626284074155,0.0,0.0,19185.732000000004,0.0,2914.1297279076935,0.0,0.0,0.0,0.0,0.0,2874.621,0.0,29045.626800000002,0.0,0.0,0.0,0.0,2451.53867974172,0.0,0.0,0.0,0.0,0.0,7930.6879739620135,0.0,12039.46,0.0,35341.698,58097.858,21819.684481153876,0.0,0.0,31705.138568070637,0.0,0.0,0.0,0.0,0.0,0.0,11974.251846446403,1.1223164619877934e-11,0.0,0.0,100106.96620964979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92111.91703602129,0.0,0.0,0.0,47243.18199399529,0.0,0.0,-5.2523319027386606e-11,11287.386000000002,10706.856000000002
t7,40969.9,56096.626284074155,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29045.626800000002,0.0,0.0,0.0,0.0,1224.608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,58097.858,17797.461809773475,0.0,0.0,31705.138568070637,0.0,0.0,0.0,0.0,0.0,0.0,11974.251846446408,0.0,0.0,3.536115400493145e-11,100106.96620964978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86644.44633851864,0.0,0.0,0.0,47243.18199399529,0.0,0.0,0.0,11287.386000000002,7513.986765617541
t8,40969.9,20255.62519196657,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39874.048211633046,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,7444.2027065720995,0.0,0.0,0.0,15852.569284035319,0.0,0.0,0.0,0.0,0.0,0.0,11974.251846446417,0.0,0.0,-2.1221543041368324e-11,100106.9662096498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46055.95851801065,0.0,0.0,0.0,23621.590996997646,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t9,40969.9,20255.625191966574,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29045.626800000002,0.0,0.0,0.0,0.0,2858.6185729114113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,21075.280815826598,7444.2027065720995,0.0,0.0,0.0,15852.569284035319,-2.220303940703161e-11,2.652086550369859e-11,0.0,0.0,-5.550759851757902e-12,8.28777046990581e-12,11974.251846446417,0.0,0.0,0.0,100106.9662096498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46055.95851801065,0.0,0.0,5.013589543523267e-11,23621.590996997646,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t10,40969.9,20255.62519196657,-5.0476955948397516e-12,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31645.12492214801,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,7444.2027065720995,0.0,0.0,0.0,15852.569284035319,0.0,-1.5916157281026244e-11,1.865174681370263e-11,0.0,0.0,-4.973799150320701e-12,11974.251846446408,0.0,0.0,0.0,100106.96620964985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46055.95851801066,0.0,0.0,4.615685611497611e-11,23621.590996997646,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t11,40969.9,20255.62519196657,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31703.758992083163,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,7444.202706572105,0.0,0.0,0.0,15852.569284035319,0.0,0.0,2.3874235921539366e-11,0.0,0.0,0.0,11974.251846446417,0.0,0.0,0.0,100106.9662096498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46055.95851801065,0.0,0.0,8.833467290969566e-11,23621.590996997646,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t12,40969.9,20255.62519196657,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39559.23414644438,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.459999999992,0.0,35341.698,7444.2027065720995,0.0,0.0,0.0,15852.569284035319,0.0,0.0,1.5642399375792596e-10,0.0,0.0,0.0,11974.251846446445,-1.1223164619877934e-11,0.0,0.0,100106.9662096498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46055.95851801065,0.0,0.0,0.0,23621.590996997646,0.0,0.0,-1.1937117960769683e-11,11287.386000000002,10706.856000000002
t13,40969.9,20255.62519196657,0.0,0.0,19185.732000000004,7.325979822780937e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59631.50214081801,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.460000000003,0.0,35341.698,7444.2027065720995,0.0,0.0,0.0,15852.569284035319,0.0,0.0,0.0,0.0,0.0,0.0,11974.2518464464,0.0,0.0,0.0,100106.9662096498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46055.95851801065,0.0,8.840288501232863e-12,0.0,23621.590996997642,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t14,40969.9,20255.625191966574,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,7444.2027065720995,0.0,0.0,0.0,15852.569284035335,-2.312816604899126e-11,0.0,0.0,0.0,0.0,0.0,11974.251846446408,0.0,0.0,0.0,100106.96620964982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.774847184307873e-12,46055.95851801065,0.0,0.0,1.1937117960769683e-11,23621.590996997642,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t15,40969.9,20255.62519196657,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,7444.2027065720995,0.0,0.0,0.0,31705.138568070644,0.0,0.0,0.0,0.0,0.0,0.0,11974.251846446417,0.0,0.0,0.0,100106.9662096498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56287.04082635328,0.0,0.0,0.0,47243.18199399529,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t16,40969.9,21841.607060625178,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,55934.715477898106,0.0,0.0,0.0,31705.138568070644,0.0,0.0,0.0,0.0,0.0,0.0,11974.251846446417,0.0,0.0,0.0,100106.9662096498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92111.9170360213,0.0,0.0,0.0,47243.18199399529,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t17,40969.9,60303.20547439558,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8961.530999999999,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,7949.695393736905,0.0,0.0,0.0,0.0,8907.177310021896,0.0,12039.46,0.0,35341.698,61029.89520614245,0.0,0.0,0.0,31705.138568070644,0.0,0.0,0.0,0.0,0.0,0.0,11974.251846446426,0.0,0.0,0.0,100106.9662096498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92111.9170360213,0.0,0.0,0.0,47243.18199399529,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t18,40969.9,56096.626284074155,0.0,0.0,19185.732000000004,0.0,3686.0846227176635,0.0,0.0,0.0,92.65444795172009,0.0,2874.621,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,6362.929846084829,0.0,0.0,0.0,0.0,3680.772630452639,0.0,12039.46,0.0,35341.698,58097.858,22240.466802623705,0.0,0.0,31705.138568070644,0.0,0.0,0.0,0.0,0.0,0.0,11974.251846446417,0.0,0.0,0.0,100106.9662096498,0.0,0.0,0.0,0.0,2.8057911549694836e-12,0.0,0.0,0.0,92111.9170360213,0.0,0.0,0.0,47243.18199399529,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t19,40969.9,56096.62628407415,0.0,0.0,19185.732000000004,0.0,2914.129727907689,0.0,0.0,0.0,73.23003538322531,0.0,2874.621,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,6362.929846084829,0.0,0.0,0.0,0.0,11722.348001035514,0.0,12039.46,0.0,35341.698,58097.858,20417.632369797877,0.0,0.0,31705.138568070644,0.0,0.0,0.0,0.0,0.0,0.0,11974.251846446426,0.0,0.0,0.0,100106.9662096498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92111.9170360213,0.0,0.0,0.0,47243.18199399529,0.0,0.0,0.0,11287.386000000002,10706.856000000002
