Resource,AZ_batteries_1,AZ_hydroelectric_pumped_storage_1,CA_N_batteries_1,CA_N_hydroelectric_pumped_storage_1,CA_S_batteries_1,CA_S_hydroelectric_pumped_storage_1,MT_WY_CO_batteries_1,MT_WY_CO_hydroelectric_pumped_storage_1,NM_batteries_1,PNW_batteries_1,PNW_hydroelectric_pumped_storage_1,UT_NV_batteries_1,AZ_utilityscale_battery_storage_lithium_ion_advanced_0,CA_N_utilityscale_battery_storage_lithium_ion_advanced_0,CA_S_utilityscale_battery_storage_lithium_ion_advanced_0,MT_WY_CO_utilityscale_battery_storage_lithium_ion_advanced_0,NM_utilityscale_battery_storage_lithium_ion_advanced_0,PNW_utilityscale_battery_storage_lithium_ion_advanced_0,UT_NV_utilityscale_battery_storage_lithium_ion_advanced_0,AZ_utilityscale_battery_storage_lithium_ion_advanced_0_8,CA_N_utilityscale_battery_storage_lithium_ion_advanced_0_8,CA_S_utilityscale_battery_storage_lithium_ion_advanced_0_8,MT_WY_CO_utilityscale_battery_storage_lithium_ion_advanced_0_8,NM_utilityscale_battery_storage_lithium_ion_advanced_0_8,PNW_utilityscale_battery_storage_lithium_ion_advanced_0_8,UT_NV_utilityscale_battery_storage_lithium_ion_advanced_0_8,AZ_conventional_hydroelectric_1,CA_N_conventional_hydroelectric_1,CA_S_conventional_hydroelectric_1,MT_WY_CO_conventional_hydroelectric_1,PNW_conventional_hydroelectric_1,UT_NV_conventional_hydroelectric_1,Total
Zone,1,1,2,2,3,3,4,4,5,6,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,6,7,0
AnnualSum,1.1315842595173883e8,9.965363769585267e6,9.605925118255291e6,2.1959114430994195e8,5.3513979350130774e7,1.583120385046393e8,4.745932937781584e6,5.981442851458794e7,3.7810915032844255e6,1.370433782044405e6,3.3067838373510767e7,1.9481504523678027e7,0.0,6.318533896995471e7,1.5823611765320381e7,2.443831107650674e6,2.0935854794963019e6,0.0,0.0,0.0,0.0,0.0,0.0,7.924473332704734e-11,0.0,0.0,1.003263356540923e7,1.727454732463717e7,2.368166316941392e6,1.961818044996331e7,1.760508461099061e8,3.64143493669523e6,9.989402826651531e8
t1,6809.015083898321,811.9778745256001,619.4449221192866,26445.15373031707,0.0,10915.287269850007,208.361704796,3876.9549321643954,131.3589547458123,188.1314621451481,3486.1534882947813,3551.6414929178513,0.0,8039.172900156362,0.0,135.90187122452377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.0345810774366,2758.7,148.30102066324497,1523.6860876121038,11987.928973095974,253.46815937541314,82298.67450897931
t2,5617.982339740091,811.9778745256001,619.4449221192866,24712.91436055921,0.0,10915.287269850007,416.723409592,4051.2831329537967,131.3589547458123,118.06292429029622,3135.0908158273473,3551.6414929178513,0.0,5749.058499865223,0.0,156.2871518403646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.03458107743654,2758.7,296.60204132648994,1201.229681129344,11262.305806837108,253.46815937541314,76167.45341857267
t3,4223.633759662747,811.9778745256001,619.4449221192866,22230.86093755187,0.0,10915.287269850007,485.476590408,4051.2831329537967,92.95665965028049,47.99438643544434,3135.0908158273473,3551.6414929178513,0.0,5749.058499865223,0.0,292.1890230648884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816.0691621548731,2758.7,328.7,761.8430438060519,9565.831156066595,253.46815937541314,70691.50688623525
t4,2768.7345691629707,811.9778745256001,619.4449221192866,19718.75036822997,0.0,10915.287269850007,693.838295204,4482.440206723396,18.321926626583377,0.0,2901.0490341819996,3551.6414929178513,0.0,3709.084227598486,0.0,293.84188364941565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1224.1037432323096,1980.099040214799,328.7,761.8430438060519,9277.310785359572,355.3118406245868,64411.780524026864
t5,1402.7312773373587,811.9778745256001,0.0,17206.639798908065,0.0,10915.287269850007,693.838295204,4999.866336716896,0.0,0.0,2901.0490341819996,2558.634389992928,0.0,0.0,0.0,367.30235456176956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1137.819508735689,2758.7,328.7,761.8430438060519,9277.310785359572,304.39,56426.08996917993
t6,380.88595311057657,811.9778745256001,0.0,16739.80390087889,0.0,10915.287269850007,902.2,5517.292466710396,19.56103392604524,0.0,2901.0490341819996,790.3257636033761,0.0,0.0,0.0,440.7628254741235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.03458107743654,778.6009597852008,148.30102066324497,761.8430438060522,9277.310785359572,253.46815937541314,51046.704672327935
t7,0.0,811.9778745256001,0.0,16739.80390087889,0.0,12404.508542865007,902.2,6034.718596703897,200.54069167584524,0.0,2901.0490341819996,0.0,0.0,0.0,0.0,576.6646966986473,104.24870977763105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.0345810774366,778.6009597852008,148.30102066324497,1523.686087612104,9277.310785359572,253.46815937541314,53065.11364118049
t8,0.0,899.0056402099001,0.0,18749.492356336792,0.0,13893.729815880008,902.2,6379.6693500325,255.9122257122894,0.0,3181.8991721559996,0.0,0.0,0.0,0.0,576.6646966986473,163.31116506693337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.0345810774366,778.6009597852008,148.30102066324497,761.8430438060518,9277.310785359572,253.46815937541314,56629.44297215999
