Resource,Fuel,Zone,AnnualSumCosts
AZ_conventional_steam_coal_1,AZ_coal,1,5.966096760017244e8
AZ_natural_gas_fired_combined_cycle_1,AZ_naturalgas,1,6.938779478271344e8
AZ_natural_gas_fired_combustion_turbine_1,AZ_naturalgas,1,-2.4376513952769784e-9
AZ_natural_gas_steam_turbine_1,AZ_naturalgas,1,0.0
AZ_nuclear_1,AZ_uranium,1,1.2605025923999767e8
AZ_other_peaker_1,AZ_naturalgas,1,1.3929421803433279e-10
CA_N_natural_gas_fired_combined_cycle_1,CA_N_naturalgas,2,7.692702843274809e8
CA_N_natural_gas_fired_combustion_turbine_1,CA_N_naturalgas,2,1.0138392815523366e-7
CA_N_nuclear_1,CA_N_uranium,2,0.0
CA_N_other_peaker_1,CA_N_naturalgas,2,5.68842668353682e-9
CA_S_natural_gas_fired_combined_cycle_1,CA_S_naturalgas,3,1.4188244171590213e7
CA_S_natural_gas_fired_combustion_turbine_1,CA_S_naturalgas,3,1.9583256183249787e-8
CA_S_natural_gas_steam_turbine_1,CA_S_naturalgas,3,4.053626857293527e7
CA_S_other_peaker_1,CA_S_naturalgas,3,0.0
MT_WY_CO_conventional_steam_coal_1,MT_WY_CO_coal,4,8.994396393844358e8
MT_WY_CO_natural_gas_fired_combined_cycle_1,MT_WY_CO_naturalgas,4,277515.4119592331
MT_WY_CO_natural_gas_fired_combustion_turbine_1,MT_WY_CO_naturalgas,4,-1.3297516295450259e-11
MT_WY_CO_natural_gas_steam_turbine_1,MT_WY_CO_naturalgas,4,0.0
MT_WY_CO_other_peaker_1,MT_WY_CO_naturalgas,4,-1.9213939801265464e-8
NM_conventional_steam_coal_1,NM_coal,5,3.631321503604369e7
NM_natural_gas_fired_combined_cycle_1,NM_naturalgas,5,9.699585809032248e6
NM_natural_gas_fired_combustion_turbine_1,NM_naturalgas,5,-1.7421890277984991e-9
NM_natural_gas_steam_turbine_1,NM_naturalgas,5,0.0
NM_other_peaker_1,NM_naturalgas,5,3.3161673929001174e-9
PNW_conventional_steam_coal_1,PNW_coal,6,0.0
PNW_natural_gas_fired_combined_cycle_1,PNW_naturalgas,6,1.613629797304602e8
PNW_natural_gas_fired_combustion_turbine_1,PNW_naturalgas,6,1.3817102376197552e7
PNW_nuclear_1,PNW_uranium,6,7.909925220000072e7
PNW_other_peaker_1,PNW_naturalgas,6,3.6900258464982873e6
UT_NV_conventional_steam_coal_1,UT_NV_coal,7,5.102886075475695e8
UT_NV_natural_gas_fired_combined_cycle_1,UT_NV_naturalgas,7,2.0719312935431844e8
UT_NV_natural_gas_fired_combustion_turbine_1,UT_NV_naturalgas,7,248936.0597101457
UT_NV_natural_gas_steam_turbine_1,UT_NV_naturalgas,7,-8.995335676331662e-14
UT_NV_other_peaker_1,UT_NV_naturalgas,7,-1.845078908705286e-11
AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,AZ_naturalgas,1,1.442086394451543e9
AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,AZ_naturalgas,1,0.0
AZ_naturalgas_combustion_turbine_fframe_moderate_0,AZ_naturalgas,1,3.30753079781841e-9
AZ_nuclear_nuclear__large_conservative_0,AZ_uranium,1,2.7738683396773902e-8
CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_N_naturalgas,2,4.344633793693019e-10
CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,CA_N_naturalgas,2,4.795263548264938e-11
CA_N_naturalgas_combustion_turbine_fframe_moderate_0,CA_N_naturalgas,2,-1.2688661835064908e-8
CA_N_nuclear_nuclear__large_conservative_0,CA_N_uranium,2,-4.2486006583422314e-8
CA_S_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_S_naturalgas,3,-3.701321926127678e-10
CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,CA_S_naturalgas,3,0.0
CA_S_naturalgas_combustion_turbine_fframe_moderate_0,CA_S_naturalgas,3,1.64148955328918e-8
CA_S_nuclear_nuclear__large_conservative_0,CA_S_uranium,3,3.0590619871016096e-8
MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_moderate_0,MT_WY_CO_naturalgas,4,-3.4380078757375753e-11
MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,MT_WY_CO_naturalgas,4,0.0
MT_WY_CO_naturalgas_combustion_turbine_fframe_moderate_0,MT_WY_CO_naturalgas,4,-8.103014646922348e-9
MT_WY_CO_nuclear_nuclear__large_conservative_0,MT_WY_CO_uranium,4,9.599737284343215e-9
NM_naturalgas_2on1_combined_cycle_fframe_moderate_0,NM_naturalgas,5,-1.1736975125131723e-11
NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,NM_naturalgas,5,0.0
NM_naturalgas_combustion_turbine_fframe_moderate_0,NM_naturalgas,5,3.0433593565248866e-9
NM_nuclear_nuclear__large_conservative_0,NM_uranium,5,-9.119492861170284e-10
PNW_naturalgas_2on1_combined_cycle_fframe_moderate_0,PNW_naturalgas,6,3.7005907904661136e9
PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,PNW_naturalgas,6,-2.1088011895439457e-11
PNW_naturalgas_combustion_turbine_fframe_moderate_0,PNW_naturalgas,6,4.923169053864936e6
PNW_nuclear_nuclear__large_conservative_0,PNW_uranium,6,6.321279499843288e-11
UT_NV_naturalgas_2on1_combined_cycle_fframe_moderate_0,UT_NV_naturalgas,7,2.9207899182086763e9
UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,UT_NV_naturalgas,7,0.0
UT_NV_naturalgas_combustion_turbine_fframe_moderate_0,UT_NV_naturalgas,7,1.1576357792364434e-8
UT_NV_nuclear_nuclear__large_conservative_0,UT_NV_uranium,7,-1.392614063951867e-8
CA_S_nuclear_1,AZ_uranium,3,7.415812601999906e7
NM_nuclear_1,AZ_uranium,5,6.83713904582245e7
