Resource,AZ_conventional_steam_coal_1,AZ_natural_gas_fired_combined_cycle_1,AZ_natural_gas_fired_combustion_turbine_1,AZ_natural_gas_steam_turbine_1,AZ_nuclear_1,AZ_other_peaker_1,CA_N_natural_gas_fired_combined_cycle_1,CA_N_natural_gas_fired_combustion_turbine_1,CA_N_nuclear_1,CA_N_other_peaker_1,CA_S_natural_gas_fired_combined_cycle_1,CA_S_natural_gas_fired_combustion_turbine_1,CA_S_natural_gas_steam_turbine_1,CA_S_other_peaker_1,MT_WY_CO_conventional_steam_coal_1,MT_WY_CO_natural_gas_fired_combined_cycle_1,MT_WY_CO_natural_gas_fired_combustion_turbine_1,MT_WY_CO_natural_gas_steam_turbine_1,MT_WY_CO_other_peaker_1,NM_conventional_steam_coal_1,NM_natural_gas_fired_combined_cycle_1,NM_natural_gas_fired_combustion_turbine_1,NM_natural_gas_steam_turbine_1,NM_other_peaker_1,PNW_conventional_steam_coal_1,PNW_natural_gas_fired_combined_cycle_1,PNW_natural_gas_fired_combustion_turbine_1,PNW_nuclear_1,PNW_other_peaker_1,UT_NV_conventional_steam_coal_1,UT_NV_natural_gas_fired_combined_cycle_1,UT_NV_natural_gas_fired_combustion_turbine_1,UT_NV_natural_gas_steam_turbine_1,UT_NV_other_peaker_1,AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,AZ_naturalgas_combustion_turbine_fframe_moderate_0,AZ_nuclear_nuclear__large_conservative_0,CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,CA_N_naturalgas_combustion_turbine_fframe_moderate_0,CA_N_nuclear_nuclear__large_conservative_0,CA_S_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,CA_S_naturalgas_combustion_turbine_fframe_moderate_0,CA_S_nuclear_nuclear__large_conservative_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_moderate_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,MT_WY_CO_naturalgas_combustion_turbine_fframe_moderate_0,MT_WY_CO_nuclear_nuclear__large_conservative_0,NM_naturalgas_2on1_combined_cycle_fframe_moderate_0,NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,NM_naturalgas_combustion_turbine_fframe_moderate_0,NM_nuclear_nuclear__large_conservative_0,PNW_naturalgas_2on1_combined_cycle_fframe_moderate_0,PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,PNW_naturalgas_combustion_turbine_fframe_moderate_0,PNW_nuclear_nuclear__large_conservative_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_moderate_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,UT_NV_naturalgas_combustion_turbine_fframe_moderate_0,UT_NV_nuclear_nuclear__large_conservative_0,CA_S_nuclear_1,NM_nuclear_1
t1,40969.9,70345.94546851687,0.0,0.0,19185.732000000004,0.0,14774.574376662684,0.0,0.0,0.0,0.0,0.0,2874.621,0.0,29045.626800000002,0.0,0.0,0.0,0.0,3061.52,1373.9375832378091,0.0,0.0,0.0,0.0,25510.634956626825,0.0,12039.46000000001,0.0,35341.698,58097.858,984.8615899059179,0.0,0.0,20360.910052556934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.85796283808304e-12,0.0,0.0,0.0,0.0,0.0,0.0,-4.177991286269389e-12,0.0,0.0,0.0,0.0,102105.31630830346,0.0,0.0,0.0,74470.72941576006,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t2,40969.9,70345.94546851687,0.0,0.0,19185.732000000004,0.0,14774.574376662684,0.0,0.0,0.0,0.0,0.0,2874.621,0.0,29045.626800000002,0.0,0.0,0.0,0.0,3061.52,486.8004562182471,0.0,0.0,0.0,0.0,23392.558183685134,0.0,12039.460000000025,0.0,35341.698,58097.858,984.8615899059179,0.0,0.0,20360.91005255692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.156515049340669e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102105.31630830346,0.0,0.0,0.0,74470.72941576006,0.0,0.0,-2.596323156467406e-11,11287.386000000002,10706.856000000002
t3,40969.9,70345.94546851687,0.0,0.0,19185.732000000004,0.0,14774.574376662684,0.0,0.0,0.0,0.0,0.0,2874.621,0.0,29045.626800000002,0.0,0.0,0.0,0.0,3061.52,348.1752424107325,0.0,0.0,0.0,0.0,23392.558183685134,0.0,12039.46,0.0,35341.698,58097.858,984.8615899059179,0.0,0.0,20360.91005255693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5594106268254105e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102105.31630830346,0.0,0.0,2.3874235921539366e-12,74470.72941576006,0.0,0.0,-6.863842827442568e-12,11287.386000000002,10706.856000000002
t4,40969.9,70345.94546851687,0.0,0.0,19185.732000000004,0.0,14774.574376662684,0.0,0.0,0.0,0.0,0.0,2874.621,0.0,29045.626800000002,0.0,0.0,0.0,0.0,3061.52,409.20642470806433,0.0,0.0,0.0,0.0,23392.558183685116,0.0,12039.460000000056,0.0,35341.698,58097.858,984.8615899059179,0.0,0.0,20360.91005255693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.872866389225237e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102105.31630830346,0.0,0.0,0.0,74470.7294157601,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t5,40969.9,70345.94546851687,0.0,0.0,19185.732000000004,0.0,14774.574376662684,0.0,0.0,0.0,0.0,0.0,2874.621,0.0,29045.626800000002,0.0,0.0,0.0,0.0,3061.52,216.56381102628586,0.0,0.0,0.0,0.0,20670.62226160519,0.0,12039.46,0.0,35341.698,58097.858,984.8615899059179,0.0,0.0,20360.910052556934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9696244635269977e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102105.31630830346,0.0,0.0,0.0,74470.72941576006,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t6,40969.9,70345.94546851687,0.0,0.0,19185.732000000004,0.0,14774.57437666268,0.0,0.0,0.0,0.0,0.0,2874.621,0.0,29045.626800000002,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,9759.627740480135,0.0,12039.46,0.0,35341.698,58097.858,984.8615899059179,0.0,0.0,20360.91005255693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1223164619877934e-11,0.0,0.0,0.0,102105.31630830346,0.0,0.0,0.0,74470.72941576011,0.0,0.0,-7.639755494892597e-11,11287.386000000002,10706.856000000002
t7,40969.9,70345.94546851689,0.0,0.0,19185.732000000004,0.0,2692.5432461670202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29045.626800000002,0.0,0.0,0.0,0.0,1224.608,0.0,0.0,0.0,0.0,0.0,3843.271217748354,0.0,12039.46,0.0,35341.698,58097.858,984.8615899059106,0.0,0.0,20360.910052556934,0.0,0.0,-2.12463913129568e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94830.62034590032,0.0,0.0,0.0,74470.72941576006,0.0,0.0,-9.992542793213487e-11,11287.386000000002,7494.799200000001
t8,40969.9,18787.54477856275,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30137.35767071625,0.0,0.0,0.0,0.0,3061.52,0.0,-1.0168150765821337e-11,0.0,0.0,0.0,3843.271217748354,0.0,12039.46,0.0,35341.698,29048.929,0.0,0.0,0.0,10180.455026278467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51052.65815415173,0.0,0.0,0.0,37235.36470788003,0.0,0.0,-9.992542793213487e-11,11287.386000000002,10706.856000000002
t9,40969.9,18787.54477856275,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29045.626800000002,0.0,0.0,0.0,0.0,3061.52,0.0,5.305385760342082e-12,0.0,0.0,0.0,3843.271217748354,0.0,12039.46,0.0,35341.698,29048.929,0.0,0.0,0.0,10180.455026278467,0.0,0.0,9.549694368615746e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.565414878423326e-12,0.0,0.0,0.0,-2.3874235921539366e-12,1.0366406426598473e-11,0.0,0.0,0.0,51052.65815415173,0.0,0.0,1.1459633242338896e-10,37235.36470788003,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t10,40969.9,18787.54477856275,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29045.626800000002,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,3843.271217748354,0.0,12039.46,0.0,35341.698,29048.929,0.0,0.0,0.0,10180.455026278465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51052.65815415173,0.0,0.0,0.0,37235.36470788002,0.0,0.0,0.0,11287.386000000002,10706.856000000002
