Resource,AZ_conventional_steam_coal_1,AZ_natural_gas_fired_combined_cycle_1,AZ_natural_gas_fired_combustion_turbine_1,AZ_natural_gas_steam_turbine_1,AZ_nuclear_1,AZ_other_peaker_1,CA_N_natural_gas_fired_combined_cycle_1,CA_N_natural_gas_fired_combustion_turbine_1,CA_N_nuclear_1,CA_N_other_peaker_1,CA_S_natural_gas_fired_combined_cycle_1,CA_S_natural_gas_fired_combustion_turbine_1,CA_S_natural_gas_steam_turbine_1,CA_S_other_peaker_1,MT_WY_CO_conventional_steam_coal_1,MT_WY_CO_natural_gas_fired_combined_cycle_1,MT_WY_CO_natural_gas_fired_combustion_turbine_1,MT_WY_CO_natural_gas_steam_turbine_1,MT_WY_CO_other_peaker_1,NM_conventional_steam_coal_1,NM_natural_gas_fired_combined_cycle_1,NM_natural_gas_fired_combustion_turbine_1,NM_natural_gas_steam_turbine_1,NM_other_peaker_1,PNW_conventional_steam_coal_1,PNW_natural_gas_fired_combined_cycle_1,PNW_natural_gas_fired_combustion_turbine_1,PNW_nuclear_1,PNW_other_peaker_1,UT_NV_conventional_steam_coal_1,UT_NV_natural_gas_fired_combined_cycle_1,UT_NV_natural_gas_fired_combustion_turbine_1,UT_NV_natural_gas_steam_turbine_1,UT_NV_other_peaker_1,AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,AZ_naturalgas_combustion_turbine_fframe_moderate_0,AZ_nuclear_nuclear__large_advanced_0,CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,CA_N_naturalgas_combustion_turbine_fframe_moderate_0,CA_N_nuclear_nuclear__large_advanced_0,CA_S_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,CA_S_naturalgas_combustion_turbine_fframe_moderate_0,CA_S_nuclear_nuclear__large_advanced_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_moderate_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,MT_WY_CO_naturalgas_combustion_turbine_fframe_moderate_0,MT_WY_CO_nuclear_nuclear__large_advanced_0,NM_naturalgas_2on1_combined_cycle_fframe_moderate_0,NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,NM_naturalgas_combustion_turbine_fframe_moderate_0,NM_nuclear_nuclear__large_advanced_0,PNW_naturalgas_2on1_combined_cycle_fframe_moderate_0,PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,PNW_naturalgas_combustion_turbine_fframe_moderate_0,PNW_nuclear_nuclear__large_advanced_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_moderate_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,UT_NV_naturalgas_combustion_turbine_fframe_moderate_0,UT_NV_nuclear_nuclear__large_advanced_0,CA_S_nuclear_1,NM_nuclear_1,Total
Zone,1,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,3,5,0
AnnualSum,103913.61502347427,100468.91425136192,9.167556807637847e-12,2.014128606905843e-13,85702.96564966925,2.3208407926439922e-11,27227.266427501832,-2.8505469193056406e-12,0.0,-7.311790525896039e-14,823.522822225337,-3.4913876790764426e-11,1.08145743815911e6,0.0,269330.6681463572,43.21299864092826,-4.1084995292138295e-11,0.0,-1.9744244924438214e-10,2.219924498722112e6,2630.734902640523,-3.158327526024586e-12,0.0,0.0,0.0,38325.452711420796,2710.7368197404912,8759.99999999999,10775.147128618892,196272.10652291565,25538.512505968465,34.25482881691728,3.5346994780482066e-13,2.0083302500713933,36762.167956742975,7.3022030327203e-12,0.0,0.0,-5.19711258155959e-16,-2.479830238862344e-13,-2.0149638571421657e-12,9126.868220990378,2.3224114241692607e-14,-8.701283353316483e-13,2.6202109265362932e-12,83043.66982608888,3.290489573936656e-16,0.0,-1.3282069624037398e-11,0.0,0.0,0.0,8.799479663442371e-13,0.0,84005.07037260468,0.0,2047.2354231732272,0.0,84101.40417233545,0.0,4.1360354294911735e-12,0.0,50420.93023255819,43738.829951277214,4.567187232106594e6
t1,11.862284820031299,59.06528383141727,0.0,0.0,9.783443567313848,0.0,0.7236150147107062,-1.3115889489438555e-14,0.0,0.0,0.0,0.0,441.7508320503042,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.8241902364835406,0.0,0.0,0.0,0.0,14.860154843830031,0.0,0.9999999999999999,0.0,23.20191073720234,48.99505662974782,25.231219015080566,0.0,0.0,5.795840440068267,0.0,0.0,0.0,0.0,0.0,0.0,1.041879933903016,0.0,0.0,0.0,9.47987098471335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.91075629777416,0.0,0.0,0.0,16.499023852391634,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,1063.3202433134045
t2,11.862284820031299,59.06528383141727,0.0,0.0,9.783443567313848,0.0,0.7236150147107062,0.0,0.0,0.0,0.0,0.0,441.7508320503042,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.8241902364835406,0.0,0.0,0.0,0.0,14.860154843830031,0.0,0.9999999999999999,0.0,23.20191073720234,48.99505662974782,25.231219015080566,0.0,0.0,5.795840440068267,0.0,0.0,0.0,0.0,0.0,0.0,1.041879933903016,0.0,0.0,0.0,9.47987098471335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.91075629777416,0.0,0.0,0.0,16.499023852391634,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,1063.3202433134045
t3,11.862284820031299,59.06528383141727,0.0,0.0,9.783443567313848,0.0,0.7236150147107062,0.0,0.0,0.0,0.0,0.0,441.7508320503042,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.8241902364835406,0.0,0.0,0.0,0.0,14.860154843830031,0.0,0.9999999999999999,0.0,23.20191073720234,48.99505662974782,25.231219015080566,0.0,0.0,5.795840440068267,0.0,0.0,0.0,0.0,0.0,0.0,1.041879933903016,0.0,0.0,0.0,9.47987098471335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.91075629777416,0.0,0.0,0.0,16.499023852391634,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,1063.3202433134045
t4,11.862284820031299,59.06528383141727,0.0,0.0,9.783443567313848,0.0,0.7236150147107062,0.0,0.0,0.0,0.0,0.0,441.7508320503042,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.8241902364835406,0.0,0.0,0.0,0.0,14.860154843830031,0.0,0.9999999999999999,0.0,23.20191073720234,48.99505662974782,25.231219015080566,0.0,0.0,5.795840440068267,0.0,0.0,0.0,0.0,0.0,0.0,1.041879933903016,0.0,0.0,0.0,9.47987098471335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.91075629777416,0.0,0.0,0.0,16.499023852391634,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,1063.3202433134045
t5,11.862284820031299,59.06528383141727,0.0,0.0,9.783443567313848,0.0,0.7236150147107062,0.0,0.0,0.0,0.0,0.0,441.7508320503042,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.33784815155418113,0.0,0.0,0.0,0.0,14.860154843830031,0.0,0.9999999999999999,0.0,23.20191073720234,48.99505662974782,25.231219015080566,0.0,0.0,5.795840440068267,0.0,0.0,0.0,0.0,0.0,0.0,1.041879933903016,0.0,0.0,0.0,9.47987098471335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.91075629777415,0.0,0.0,0.0,16.499023852391634,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,1062.8339012284753
t6,11.862284820031299,59.06528383141727,0.0,0.0,9.783443567313848,0.0,0.7236150147107063,0.0,0.0,0.0,0.0,0.0,441.7508320503042,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,8.465963806373763,0.0,0.9999999999999999,0.0,23.20191073720234,48.99505662974782,25.231219015080566,0.0,0.0,5.795840440068267,0.0,0.0,0.0,0.0,0.0,0.0,1.041879933903016,0.0,0.0,0.0,9.47987098471335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.91075629777415,0.0,0.0,0.0,16.499023852391634,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,1056.1018620394648
t7,11.862284820031299,59.065283831417275,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,48.99505662974782,0.0,0.0,0.0,5.795840440068267,0.0,0.0,0.0,0.0,0.0,0.0,1.041879933903016,0.0,0.0,0.0,9.47987098471335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.91075629777415,0.0,0.0,0.0,16.499023852391637,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,579.9302321529955
t8,11.862284820031299,35.38707344103104,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,18.276414953688885,0.0,0.0,0.0,5.795840440068267,0.0,0.0,0.0,0.0,0.0,0.0,1.041879933903016,0.0,0.0,0.0,9.47987098471335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.910756297774157,0.0,0.0,0.0,16.499023852391634,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,525.5333800865503
