Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7
cTotal,3.6756116155210014e10,3.1648475033507416e10,4.807162567239636e10,5.480894520450206e10,2.4894014090392754e10,1.5485627280031967e10,8.02117606367553e10,5.661680995251707e10
cFix,3.033578185997843e11,2.954801094029708e10,4.742030371904705e10,5.3861357400344574e10,2.4196547026883717e10,1.537749296586224e10,7.849342386287762e10,5.446068268447215e10
cVar,5.388950045364976e8,1.1197172279537268e8,2.865369292061629e7,1.6841294964643028e8,2.7114675641235843e7,3.8596297476164172e6,8.952977327095065e7,1.0935256051426947e8
cFuel,7.544539423182656e9,1.9213679135540464e9,5.807841685440937e8,7.557479940411578e8,6.551855097983199e8,9.966387509915239e7,1.5897477327703276e9,1.9420422293751354e9
cNSE,1.0822444031596783e8,9.679415309310846e6,1.7689091214073423e7,2.285124807582774e7,1.5157776558016695e7,3.164273834502278e6,2.9282656377475336e7,1.039997894676156e7
cStart,1.8778040228379735e8,5.74450415516039e7,2.4195000670530178e7,575612.394066886,9101.511465017598,1.446535488456504e6,9.776611458928468e6,9.433249920874639e7
cUnmetRsv,0.0,-,-,-,-,-,-,-
cNetworkExp,1.5104722774220465e10,-,-,-,-,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-,-,-,-,-
cCO2,8.190854682461325e-9,8.909682299295338e-9,-1.947105756608876e-10,-5.195677156584419e-10,-1.341943780364119e-12,-1.2391016724677687e-12,-5.509046400110909e-12,3.5407663382613927e-12
