Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
t1,-4600.0,-1889.299131994393,-367.314,-13490.321804088633,919.231,1687.1795,-8855.371668300973,1795.8754355174788,10521.673999999999,3588.159559724779,857.6884148420427,-7153.938,-2387.315,-1314.1785,-500.0
t2,-4600.0,-2576.7071754806443,-367.314,-13490.321804088633,919.231,1687.1795,-8208.6811630982,1362.0273075477828,10521.673999999999,3588.159559724779,1460.8195249762814,-7153.938,-2387.315,-1314.1785,-500.0
t3,-4600.0,-4331.4784917524275,-367.314,-13490.321804088633,919.231,1687.1795,-8426.4831965507,1185.3722094497905,10521.673999999999,3588.159559724779,1565.4919390251823,-7153.938,-2387.315,-1314.1785,-500.0
t4,-4600.0,-4207.344874063708,-367.314,-13490.321804088633,919.231,1687.1795,-8664.402598814866,1082.6276122812988,10521.673999999999,3588.159559724779,1432.7393958071298,-7153.938,-2387.315,-1314.1785,-500.0
t5,-4600.0,-2111.0955166875683,-367.314,-13490.321804088633,919.231,1687.1795,-8762.7839352882,821.6853783353337,10521.673999999999,3588.159559724779,1490.0102798407493,-7153.938,-2387.315,-1314.1785,-500.0
t6,-4600.0,-5313.37886833862,-367.314,-13490.321804088633,919.231,1687.1795,-9510.020436952442,1684.7994444702808,10521.673999999999,3588.159559724779,1710.100946645643,-7153.938,-2387.315,-1314.1785,-500.0
t7,-4600.0,-7730.8825,-367.314,-13490.321804088633,919.231,1687.1795,-8627.847399501099,968.5081018044056,10521.673999999999,3588.159559724779,1837.730669245646,-7153.938,-2387.315,-1314.1785,-500.0
t8,-4600.0,0.0,0.0,-4117.858502244156,919.231,0.0,-3020.616652348076,0.0,9493.85734702112,2413.9939573403167,-2.756265518440849,-5916.881010195865,-2387.315,-1314.1785,0.0
t9,-4600.0,4854.262780959112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3588.159559724779,0.0,0.0,-2267.6956962974614,0.0,0.0
t10,-4600.0,6754.567000009307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1940.820361300197,-205.82609755565542,0.0,0.0,0.0,0.0
t11,-4600.0,7730.8825,367.314,0.0,0.0,0.0,574.9153171879835,0.0,-50.79447076494666,1837.5260595284267,-428.931494187711,0.0,0.0,0.0,0.0
t12,-4600.0,7404.056486410149,0.0,0.0,0.0,0.0,72.64621430039986,0.0,0.0,3588.159559724779,-888.1559866787416,0.0,0.0,0.0,0.0
t13,-4600.0,7730.8825,0.0,-802.7867582651949,0.0,0.0,0.0,0.0,464.23952662339815,3588.159559724779,-1125.4857511692596,0.0,0.0,0.0,0.0
t14,-3376.613497795127,7730.8825,0.0,-3056.0378902818547,0.0,23.642677322862653,-950.2088933577039,0.0,0.0,3588.159559724779,0.0,0.0,-1548.0277440311065,0.0,-500.0
t15,-2723.204639120903,7730.8825,0.0,-4310.171954787126,0.0,0.0,-3389.9548114465015,0.0,2152.968986221026,3588.159559724779,0.0,0.0,-634.7295796290123,0.0,0.0
t16,-572.1907810903662,7730.8825,0.0,-10595.383044424947,0.0,1687.1795,-1309.1938512819688,0.0,4764.630937594673,3588.159559724779,0.0,881.2315352346361,0.0,-1314.1785,-500.0
t17,-2545.115493754268,7730.8825,0.0,-9847.422732189516,0.0,1687.1795,-6918.974098579141,0.0,9838.595391447227,3588.159559724779,0.0,1675.4393725660673,-1702.1719214315103,0.0,-500.0
t18,-4600.0,0.0,-174.07020555350175,-13490.321804088633,919.231,1687.1795,-10400.0,0.0,10521.673999999999,3588.159559724779,-2122.308401357459,4708.283758362226,-2387.315,-1314.1785,-500.0
t19,-4600.0,0.0,-367.314,-13490.321804088633,919.231,1687.1795,-10400.0,334.859963037126,10521.673999999999,3588.159559724779,-1292.433768042201,5119.873152052092,-2387.315,-1314.1785,-500.0
t20,-4600.0,0.0,-367.314,-13490.321804088633,919.231,1687.1795,-10400.0,91.26168760355253,10521.673999999999,3588.159559724779,-985.2969262818972,6233.103448894664,-2387.315,-1314.1785,-500.0
t21,-4600.0,0.0,-367.314,-13490.321804088633,919.231,1687.1795,-10400.0,307.9247056113251,10521.673999999999,3588.159559724779,-1089.5119702245345,7153.938,-2387.315,-1095.319824190203,-500.0
t22,-4600.0,0.0,0.0,-13184.35979614316,500.25929164208617,1687.1795,-10400.0,0.0,10521.673999999999,3588.159559724779,-220.37624379830964,7153.938,-2387.315,0.0,-500.0
t23,-4600.0,0.0,0.0,-12671.218018281777,0.0,1687.1795,-10400.0,0.0,10521.673999999999,3588.159559724779,-628.5635096978674,7153.938,-1765.178926380109,0.0,-500.0
t24,-4600.0,0.0,0.0,-13432.834156539899,0.0,1687.1795,-10154.221697924311,0.0,10521.673999999999,3588.159559724779,-496.7705320110303,7153.938,-2387.315,0.0,-500.0
t25,-4600.0,-2591.786245220471,-367.314,-13490.321804088633,919.231,-131.09742462242687,-10400.0,2230.074006970978,10521.673999999999,3588.159559724779,2558.024460353828,-7153.938,-2387.315,-1314.1785,0.0
t26,-4600.0,-3996.0624041107,-367.314,-13490.321804088633,919.231,0.0,-10295.131521036019,2297.2541912211836,10521.673999999999,3588.159559724779,2443.733573229614,-7153.938,-2387.315,-1314.1785,0.0
t27,-4600.0,-5403.894574642395,-367.314,-13490.321804088633,919.231,-342.47145166968045,-10298.27632308751,2400.0,10521.673999999999,3588.159559724779,1974.3459213073718,-7153.938,-2387.315,-1314.1785,0.0
t28,-4600.0,-5696.727938440457,-367.314,-13490.321804088633,919.231,-118.67656975328836,-9873.020465858588,2400.0,10521.673999999999,3588.159559724779,1679.2833489941295,-7153.938,-2387.315,-1314.1785,0.0
t29,-4600.0,-4148.938465727397,-367.314,-13490.321804088633,919.231,0.0,-8880.652038201992,2400.0,10521.673999999999,3588.159559724779,1882.1298974565334,-7153.938,-2387.315,-1314.1785,0.0
t30,-4600.0,-5977.622554525006,-367.314,-13490.321804088633,919.231,-926.4227457697267,-8932.418647485745,2400.0,10521.673999999999,3588.159559724779,2130.4091168909686,-7153.938,-2387.315,-1314.1785,0.0
t31,-4600.0,-7730.8825,-367.314,-13490.321804088633,919.231,-1520.56939040906,-7813.062918596066,2400.0,10521.673999999999,2035.1361151134095,1728.2641180789565,-7153.938,-2387.315,-1314.1785,0.0
t32,-4600.0,-3457.888139012945,-367.314,-13490.321804088633,919.231,0.0,-967.2506685314893,0.0,10521.673999999999,0.0,0.0,-7153.938,-2387.315,-1314.1785,0.0
t33,-4600.0,0.0,0.0,-11024.778647749208,919.231,0.0,0.0,0.0,6135.99025954874,482.07161247766163,-697.5686039104313,-7153.938,-2387.315,-1314.1785,0.0
t34,-4600.0,0.0,0.0,-8681.177544597516,919.231,0.0,0.0,0.0,416.4236822508743,3504.0673511816485,-1347.481927061037,-7153.938,-2387.315,-1314.1785,0.0
t35,-4600.0,0.0,0.0,-9720.105033361242,919.231,0.0,0.0,0.0,537.9676502730863,3588.159559724779,-1092.5945299257683,-6390.933672418058,-2387.315,-1314.1785,0.0
t36,-4600.0,0.0,0.0,-9822.815951685345,919.231,0.0,-1339.0971372337176,0.0,751.8923152713579,3588.159559724779,-1527.987103429514,-4126.315344821517,-2387.315,-1314.1785,0.0
t37,-4600.0,0.0,0.0,-8642.158395004488,919.231,0.0,-2708.882044889667,0.0,1265.4570024206732,2687.193115570083,-2344.724375887559,-1330.4697521736973,-2387.315,-1314.1785,0.0
t38,-3297.41860023326,0.0,0.0,-11718.863957904743,919.231,0.0,-4534.606156975094,0.0,1957.1742451418215,0.0,-1380.5032314588723,-1014.9820013744968,-2387.315,-1314.1785,0.0
t39,-3925.62424135725,0.0,0.0,-10863.874335000219,919.231,0.0,-5568.078126775974,0.0,1646.9609701186168,1750.7429183520517,-2235.9905780148533,0.0,-2387.315,-1314.1785,0.0
t40,-3358.629365244613,0.0,0.0,-10144.175272387982,919.231,0.0,-4701.57260884254,0.0,6264.422515024586,3588.159559724779,-2394.8934841649625,0.0,-2387.315,-1314.1785,0.0
t41,-2159.5754471667897,0.0,-367.314,-11434.960147392863,919.231,0.0,-5304.141714320491,0.0,10521.673999999999,2442.0806421260577,-1646.7308785061298,0.0,-2387.315,-1314.1785,0.0
t42,-2518.4343620438854,-563.4640194558681,-367.314,-13268.290073607626,919.231,0.0,-5919.084911555473,0.0,10521.673999999999,2070.37675713049,-1720.5870527865657,0.0,-2387.315,-1314.1785,0.0
t43,-2431.477171644545,0.0,-367.314,-13433.2332148412,919.231,0.0,-6328.204755521933,0.0,10521.673999999999,3588.159559724779,-1636.6785505126743,0.0,-2387.315,-1314.1785,0.0
t44,-1370.9156378238795,0.0,-367.314,-13409.281417533062,919.231,0.0,-5254.731791426124,0.0,10521.673999999999,3588.159559724779,-634.0095066869602,0.0,-2387.315,-1314.1785,0.0
t45,-2078.680915502852,0.0,-367.314,-13490.321804088633,919.231,0.0,-5601.50096841027,0.0,10521.673999999999,3351.1010222795803,-924.844152245909,0.0,-2387.315,-1314.1785,0.0
t46,-3211.205736761877,0.0,-367.314,-13490.321804088633,919.231,0.0,-7843.1009348446605,0.0,10521.673999999999,3588.159559724779,-2080.4336184319563,0.0,-2387.315,-1259.2091498827583,0.0
t47,-3533.527504773352,0.0,-367.314,-13490.321804088633,919.231,0.0,-8321.813030354071,0.0,10521.673999999999,3588.159559724778,-2124.163835937004,0.0,-2387.315,-824.9728338042913,0.0
t48,-4072.1804917700997,0.0,-367.314,-13490.321804088633,919.231,0.0,-8094.347872939612,0.0,10521.673999999999,3588.159559724779,-2299.0592482657626,0.0,-2387.315,0.0,0.0
t49,0.0,0.0,0.0,-4616.247040731433,0.0,0.0,-7155.017162997399,0.0,7956.875814095795,0.0,2392.8401569342127,0.0,-1409.8288772169112,-894.6639828186989,0.0
