Resource,AZ_batteries_1,AZ_hydroelectric_pumped_storage_1,CA_N_batteries_1,CA_N_hydroelectric_pumped_storage_1,CA_S_batteries_1,CA_S_hydroelectric_pumped_storage_1,MT_WY_CO_batteries_1,MT_WY_CO_hydroelectric_pumped_storage_1,NM_batteries_1,PNW_batteries_1,PNW_hydroelectric_pumped_storage_1,UT_NV_batteries_1,AZ_utilityscale_battery_storage_lithium_ion_conservative_0,CA_N_utilityscale_battery_storage_lithium_ion_conservative_0,CA_S_utilityscale_battery_storage_lithium_ion_conservative_0,MT_WY_CO_utilityscale_battery_storage_lithium_ion_conservative_0,NM_utilityscale_battery_storage_lithium_ion_conservative_0,PNW_utilityscale_battery_storage_lithium_ion_conservative_0,UT_NV_utilityscale_battery_storage_lithium_ion_conservative_0,AZ_utilityscale_battery_storage_lithium_ion_conservative_0_8,CA_N_utilityscale_battery_storage_lithium_ion_conservative_0_8,CA_S_utilityscale_battery_storage_lithium_ion_conservative_0_8,MT_WY_CO_utilityscale_battery_storage_lithium_ion_conservative_0_8,NM_utilityscale_battery_storage_lithium_ion_conservative_0_8,PNW_utilityscale_battery_storage_lithium_ion_conservative_0_8,UT_NV_utilityscale_battery_storage_lithium_ion_conservative_0_8,AZ_conventional_hydroelectric_1,CA_N_conventional_hydroelectric_1,CA_S_conventional_hydroelectric_1,MT_WY_CO_conventional_hydroelectric_1,PNW_conventional_hydroelectric_1,UT_NV_conventional_hydroelectric_1,Total
Zone,1,1,2,2,3,3,4,4,5,6,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,6,7,0
AnnualSum,1.1002958645146123e8,1.155389613027755e7,9.028102423940163e6,2.190188041320751e8,4.941049916205675e7,1.6477214407477537e8,3.9374186879862933e6,6.3075199454968065e7,2.803131472053966e6,1.7666768886220036e6,3.794294451559021e7,1.5901422448299913e7,0.0,6.008493225044555e7,1.55108274054529e7,2.1473255684650103e6,377385.7602672036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.585966417060934e6,1.7083865522261046e7,2.325533199287542e6,1.5766939213065254e7,1.5070977367594227e8,3.512716358397027e6,9.653450912127514e8
t1,8492.058340389203,1355.9014100523727,619.4449221192866,22050.437934677087,0.0,12776.813861121198,0.0,3016.3995050759663,0.0,140.13707570970377,3462.7493101302643,414.86503943549064,0.0,2875.111058353832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,805.4129148115398,778.6009597852008,148.30102066324497,800.8162020295857,11493.7142700884,304.39,69535.15382444237
t2,6907.659892991983,1247.1167029470182,619.4449221192866,20842.821750186078,0.0,12776.813861121198,0.0,3533.8256350694664,0.0,140.13707570970377,3252.1117066494335,414.8650394354907,0.0,2875.111058353832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607.1671369641172,778.6009597852008,148.30102066324497,773.5702532230684,10990.360231078874,253.46815937541314,66161.3754056734
t3,5173.748366748272,1138.3319958416637,619.4449221192866,20842.821750186078,0.0,12776.813861121198,0.0,4051.2517650629666,180.9796577498,70.06853785485188,3252.1117066494335,414.8650394354907,0.0,2875.111058353832,0.0,53.06570282183634,25.69642873221487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.0345810774366,1243.691870352866,148.30102066324497,761.8430438060519,9529.065508704938,406.2336812491736,63971.480498530625
t4,3302.146118895823,1029.5472887363092,619.4449221192866,20842.821750186078,0.0,12776.813861121198,208.361704796,4568.677895056467,361.9593154996,0.0,2901.0490341819996,414.8650394354907,0.0,805.327682390093,0.0,209.7823834629486,34.39747475429665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816.0691621548732,778.6009597852005,148.30102066324497,761.8430438060519,9277.310785359572,355.3118406245868,60212.63128302912
t5,1577.7513979733837,920.7625816309546,0.0,18330.711180864175,0.0,12776.813861121198,208.361704796,5086.104025049966,361.9593154996,0.0,2901.0490341819996,414.8650394354907,0.0,0.0,0.0,366.49906410406084,60.09390348651152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.03458107743666,778.6009597852005,148.30102066324497,761.8430438060519,9297.39537348227,304.39,54703.53608695755
t6,0.0,811.9778745256001,0.0,16393.21928400195,0.0,12776.813861121198,416.723409592,5603.530155043466,433.39525890237167,0.0,2901.0490341819996,0.0,0.0,0.0,0.0,366.49906410406084,85.79033221872639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.0345810774366,778.6009597852005,148.30102066324497,761.8430438060519,9277.310785359574,253.46815937541314,51416.55682375829
t7,0.0,811.9778745256001,0.0,16393.21928400195,0.0,12811.13063276648,625.085114388,6120.956285036966,605.3462044179473,0.0,2901.0490341819996,0.0,0.0,0.0,0.0,523.2157447451731,85.79033221872639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.0345810774366,778.6009597852005,148.30102066324497,761.8430438060519,9277.31078535957,253.46815937541314,52505.329056349765
t8,1930.9173091426153,899.0056402099001,0.0,18402.90773945985,0.0,14300.351905781481,625.085114388,6638.382415030465,649.3755970671222,59.558257211599994,3181.8991721559996,0.0,0.0,0.0,0.0,523.2157447451731,111.48676095094126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816.0691621548732,778.6009597852005,148.30102066324497,1523.6860876121038,9277.310785359574,253.46815937541314,60119.621831093566
