BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7
AnnualSum,1.7255008831767505e8,6.315208240747301e6,-7.440058446613776e6,0.0,0.0,5999.628668062712,0.0,-6.551355147874992e6,-3.455163021173015e6,-1.6142471957142845e8,1.455100427432397e8,1.0992683372496786e7,-1.336750131879008e7,0.0,0.0,10911.617285714286,0.0,4.8408207899822555e7,-3.778207314054643e6,-1.877761369999999e8,8.264830565934122e7,9.777736032192072e6,-1.1855350926972914e7,0.0,0.0,14499.769928057964,0.0,2.26944373993888e8,-1.0812276099804927e7,-2.9671728842857146e8,2.2228069692727584e8,1.7652276800729006e6,-2.1663270018496662e6,0.0,0.0,9273.714287328225,0.0,-6.164491653265509e7,-3.741072072845639e6,-1.565028827142857e8,7.903001361715393e7,396144.49458182696,-466052.3462931636,0.0,0.0,1868.7767479533857,0.0,-3.0288125093544357e7,-1.8194133057890285e6,-4.6854436142857134e7,3.482416518041858e8,408117.3741927099,-506039.9275589962,0.0,0.0,17250.852917540495,0.0,-4.6873826511393584e7,-7.241186306629136e6,-2.940459672857143e8,2.7775968403094566e8,1.2990914290278833e6,-1.5283428567823356e6,0.0,0.0,6648.588285714286,0.0,-1.2999435860824244e8,-8.712667440377377e6,-1.388300551428572e8
t1,20120.68876099399,1215.7748253818286,-0.0,0.0,0.0,0.0,0.0,-3657.099833947801,-585.3637524280198,-17094.0,4272.659645088373,3246.146667163993,-0.0,0.0,0.0,0.0,0.0,12398.193560457012,-599.9998727093785,-19317.0,1822.415367796606,0.0,-0.0,0.0,0.0,0.0,0.0,33349.49477349079,-1640.9101412873983,-33531.0,28730.38378063457,0.0,-518.0367180591034,0.0,0.0,0.0,0.0,-10074.01485500684,-630.3322075686218,-17508.0,11152.738534411781,0.0,-0.0,0.0,0.0,0.0,0.0,-5643.64764499316,-248.09088941862177,-5261.0,44874.580501475,0.0,-0.0,0.0,0.0,0.0,0.0,-11114.915499999997,-1460.6650014749998,-32299.0,31608.347347075003,0.0,-0.0,0.0,0.0,0.0,0.0,-15258.010500000002,-1285.3368470749997,-15065.0
t2,21217.72409637268,1062.2730010941505,-0.0,0.0,0.0,0.0,0.0,-4392.982221635119,-635.0148758317123,-17252.0,3097.056209189558,2246.9,-0.0,0.0,0.0,0.0,0.0,15694.980545568833,-710.9367547583912,-20328.0,2042.6601927646825,972.9981495992756,-0.0,0.0,0.0,0.0,0.0,30935.441330492846,-1792.0996728568036,-32159.0,28752.449253983592,0.0,-591.8836967416487,0.0,0.0,0.0,0.0,-9502.51777950771,-641.0477777342304,-18017.0,11757.951180076518,0.0,-0.0,0.0,0.0,0.0,0.0,-6215.144720492289,-258.8064595842304,-5284.0,47420.58050147501,0.0,-0.0,0.0,0.0,0.0,0.0,-11114.915499999997,-1460.6650014749998,-34845.0,31578.59697538486,0.0,-0.0,0.0,0.0,0.0,0.0,-15404.861654426559,-1294.7353209582993,-14879.0
t3,19899.798893265688,1347.6819933731774,-0.0,0.0,0.0,0.0,0.0,-3818.413629545012,-627.0672570938519,-16802.0,3856.720226694989,1640.1931322536782,-0.0,0.0,0.0,0.0,0.0,15849.213328971216,-716.1266879198814,-20630.0,2027.5041997857224,0.0,-0.0,0.0,0.0,0.0,0.0,30373.17927125445,-1778.6834710401715,-30622.0,28192.2342104595,0.0,-0.0,0.0,0.0,0.0,0.0,-9396.192840111591,-643.0413703479077,-18153.0,11865.269712086318,0.0,-0.0,0.0,0.0,0.0,0.0,-6321.46965988841,-260.8000521979077,-5283.0,48302.58050147501,0.0,-0.0,0.0,0.0,0.0,0.0,-11114.915499999997,-1460.6650014749998,-35727.0,31226.794807879218,0.0,-0.0,0.0,0.0,0.0,0.0,-15571.400970680652,-1305.3938371985614,-14350.0
t4,19777.888396653252,1364.7028268133643,-0.0,0.0,0.0,0.0,0.0,-3895.3626850292803,-596.2285384373351,-16651.0,4625.269313185204,2854.080507858286,-0.0,0.0,0.0,0.0,0.0,14350.339771673318,-665.6895927168072,-21164.0,1869.0252496648432,728.8279842833363,-0.0,0.0,0.0,0.0,0.0,31635.61141335596,-1717.4646473041423,-32516.0,29048.823060456845,0.0,-706.9439591821132,0.0,0.0,0.0,0.0,-9491.627123744951,-641.2519775297822,-18209.0,11702.279254787287,99.7667808475453,-0.0,0.0,0.0,0.0,0.0,-6226.03537625505,-259.01065937978217,-5317.0,47689.58050147501,0.0,-0.0,0.0,0.0,0.0,0.0,-11114.915499999997,-1460.6650014749998,-35114.0,30836.347347075003,0.0,-0.0,0.0,0.0,0.0,0.0,-15258.010500000002,-1285.3368470749997,-14293.0
t5,19693.842093740073,1343.4620406098572,-0.0,0.0,0.0,0.0,0.0,-3733.458429944463,-588.8457044054676,-16715.0,3090.7131399912632,6052.723808272019,-0.0,0.0,0.0,0.0,0.0,13615.526166644298,-640.9631149075806,-22118.0,1834.3419538853595,719.4926182775208,-0.0,0.0,0.0,0.0,0.0,32208.520763300163,-1685.355335463048,-33077.0,29194.269716636092,0.0,-896.3827601625441,0.0,0.0,0.0,0.0,-9415.202008023994,-642.6849484495501,-18240.0,11842.572243723303,63.33187855224964,-0.0,0.0,0.0,0.0,0.0,-6302.460491976005,-260.4436302995501,-5343.0,47348.58050147501,0.0,-0.0,0.0,0.0,0.0,0.0,-11114.915499999997,-1460.6650014749998,-34773.0,30513.413143431084,218.93420364392114,-0.0,0.0,0.0,0.0,0.0,-15258.010500000002,-1285.3368470749997,-14189.0
t6,19864.57135936809,1181.880343862771,-0.0,0.0,0.0,0.0,0.0,-3539.723074683881,-655.7286285469794,-16851.0,6385.275883084488,1431.4545818859433,-0.0,0.0,0.0,0.0,0.0,15890.795461716327,-717.5259266867544,-22990.0,3537.2196231311073,0.0,-0.0,0.0,0.0,0.0,0.0,30430.366991994877,-1784.5866151259852,-32183.0,28581.25777185094,0.0,-744.956055095166,0.0,0.0,0.0,0.0,-9190.401763725631,-646.8999530301445,-17999.0,12100.522773149944,0.0,-15.603401995430719,0.0,0.0,0.0,0.0,-6527.26073627437,-264.65863488014446,-5293.0,47143.58050147501,0.0,-0.0,0.0,0.0,0.0,0.0,-11114.915499999997,-1460.6650014749998,-34568.0,30376.64892326673,895.7637590933448,-0.0,0.0,0.0,0.0,0.0,-15948.861379027323,-1329.5513033327481,-13994.0
t7,21010.62435529422,421.8924297345038,-0.0,0.0,0.0,0.0,0.0,-3845.559281779577,-593.9575032491488,-16993.0,5156.9488017250005,0.0,-0.0,0.0,0.0,0.0,0.0,19019.870499999997,-822.819301725,-23354.0,6650.481902423913,0.0,-1665.0,0.0,0.0,0.0,0.0,26893.866551952764,-1871.3484543766824,-30008.0,27419.845316318075,0.0,-748.4831063465713,0.0,0.0,0.0,0.0,-8580.017552990068,-658.3446569814362,-17433.0,12833.919976079102,0.0,-224.17169023773533,0.0,0.0,0.0,0.0,-7137.644947009932,-276.10333883143625,-5196.0,46733.180501475,0.0,-64.6,0.0,0.0,0.0,0.0,-11114.915499999997,-1460.6650014749998,-34093.0,30491.961750500726,0.0,-0.0,0.0,0.0,0.0,0.0,-15235.599770173189,-1284.3619803275335,-13972.0
t8,16428.503183972174,0.0,-3184.968452119589,0.0,0.0,0.0,0.0,4036.0226359481785,-234.55736780076307,-17045.0,14002.370115420681,0.0,-2246.9,0.0,0.0,0.0,0.0,11958.742219671256,-585.2123350919377,-23129.0,14256.412378319317,0.0,-2673.751264638063,0.0,0.0,0.0,0.0,19593.81785345624,-992.4789671374926,-30184.0,27227.23369305218,0.0,-578.5,0.0,0.0,0.0,0.0,-9026.943741939262,-528.7899511129189,-17093.0,10747.454529153189,0.0,-135.5607684704811,0.0,0.0,0.0,0.0,-5234.626314249893,-241.2674464328145,-5136.0,45031.787323240955,0.0,-64.6,0.0,0.0,0.0,0.0,-10383.828443810846,-1215.3588794301043,-33368.0,25678.096495670467,0.0,-0.0,0.0,0.0,0.0,0.0,-10943.184209075673,-851.9122865947917,-13883.0
