Fuel,AnnualSum
No_fuel,0.0
AZ_coal,3.474130715171599e8
AZ_naturalgas,3.101255889472405e8
AZ_uranium,3.5812229294380945e8
CA_N_naturalgas,3.758005984118364e7
CA_N_uranium,-1.3409736334975742e-8
CA_S_naturalgas,2.5937816118634464e6
MT_WY_CO_coal,5.2489312148302454e8
MT_WY_CO_naturalgas,45749.05984256172
NM_coal,2.1154658844218675e7
NM_naturalgas,1.722717195346999e6
PNW_coal,0.0
PNW_naturalgas,6.757622043096267e8
PNW_uranium,1.054656695999998e8
UT_NV_coal,2.96307224498407e8
UT_NV_naturalgas,5.0849559548101e8
CA_S_uranium,-1.6621724135792573e-9
MT_WY_CO_uranium,1.8985607709964824e-8
NM_uranium,6.590438566322639e-9
UT_NV_uranium,-2.0984949339701117e-8
None,0.0
