Sum Range ID,Index 1,MODEL_YEARS,Multiplier
Solar_MinBuild,Arizona_Solar,2035,1.0
Wind_MinBuild,Baja_California_Wind,2035,1.0
A-CAES_MinBuild,CAISO_Adiabatic_CAES_24hr,2035,1.0
Flow_Battery_MinBuild,CAISO_Flow_Battery_8hr_Dispatch,2035,1.0
Li_Battery_4hr_MinBuild,CAISO_Li_Battery_4hr_Dispatch,2035,1.0
Li_Battery_8hr_MinBuild,CAISO_Li_Battery_8hr_Dispatch,2035,1.0
Pumped_Hydro_MinBuild,CAISO_New_Pumped_Storage_12hr,2035,1.0
Offshore_Wind_MinBuild,Cape_Mendocino_Offshore_Wind,2035,1.0
Geothermal_MinBuild,Central_Nevada_Geothermal,2035,1.0
Wind_MinBuild,Central_Valley_North_Los_Banos_Wind,2035,1.0
Offshore_Wind_MinBuild,Del_Norte_Offshore_Wind,2035,1.0
Solar_MinBuild,Distributed_Solar,2035,1.0
Geothermal_MinBuild,Greater_Imperial_Geothermal,2035,1.0
Solar_MinBuild,Greater_Imperial_Solar,2035,1.0
Wind_MinBuild,Greater_Imperial_Wind,2035,1.0
Solar_MinBuild,Greater_Kramer_Solar,2035,1.0
Solar_MinBuild,Greater_LA_Solar,2035,1.0
Offshore_Wind_MinBuild,Humboldt_Bay_Offshore_Wind,2035,1.0
Wind_MinBuild,Idaho_Wind,2035,1.0
Biomass_MinBuild,InState_Biomass,2035,1.0
Geothermal_MinBuild,Inyokern_North_Kramer_Geothermal,2035,1.0
Offshore_Wind_MinBuild,Morro_Bay_Offshore_Wind,2035,1.0
Wind_MinBuild,New_Mexico_Wind,2035,1.0
Geothermal_MinBuild,Northern_California_Geothermal,2035,1.0
Solar_MinBuild,Northern_California_Solar,2035,1.0
Wind_MinBuild,Northern_California_Wind,2035,1.0
Geothermal_MinBuild,Northern_Nevada_Geothermal,2035,1.0
Geothermal_MinBuild,Pacific_Northwest_Geothermal,2035,1.0
Solar_MinBuild,Riverside_Solar,2035,1.0
Wind_MinBuild,Solano_Wind,2035,1.0
Solar_MinBuild,Southern_NV_Eldorado_Solar,2035,1.0
Wind_MinBuild,Southern_NV_Eldorado_Wind,2035,1.0
Solar_MinBuild,Southern_PGAE_Solar,2035,1.0
Solar_MinBuild,Tehachapi_Solar,2035,1.0
Wind_MinBuild,Tehachapi_Wind,2035,1.0
Geothermal_MinBuild,Utah_Geothermal,2035,1.0
Wind_MinBuild,Utah_Wind,2035,1.0
Wind_MinBuild,Wyoming_Wind,2035,1.0
