Resource,Zone,region,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,cluster
Antelope_Neenach_Off_Peak_group,0,None,1,0,0,0,0,278100,0,0
Antelope_Neenach_On_Peak_group,0,None,1,0,0,0,0,4635,0,0
Antelope_Vincent_group,0,None,1,0,0,0,0,815.76,0,0
Arizona_Flow_Battery_48,0,None,1,0,0,0,0,247322.1086,0,0
Arizona_Flow_Battery_55,0,None,1,0,0,0,0,247322.1086,0,0
Arizona_Flow_Battery_62,0,None,1,0,0,0,0,247322.1086,0,0
Arizona_Flow_Battery_77,0,None,1,0,0,0,0,247322.1086,0,0
Arizona_Flow_Battery_90,0,None,1,0,0,0,0,247322.1086,0,0
Arizona_Li_Battery_4hr_48,0,None,1,0,0,1884.975,1884.975,121707.2751,0,0
Arizona_Li_Battery_4hr_55,0,None,1,0,0,560.015,560.015,121707.2751,0,0
Arizona_Li_Battery_4hr_62,0,None,1,0,0,971.552,971.552,121707.2751,0,0
Arizona_Li_Battery_4hr_77,0,None,1,0,0,0,0,121707.2751,0,0
Arizona_Li_Battery_4hr_90,0,None,1,0,0,0,0,121707.2751,0,0
Arizona_Li_Battery_8hr_48,0,None,1,0,0,0,0,201147.2751,0,0
Arizona_Li_Battery_8hr_55,0,None,1,0,0,0,0,201147.2751,0,0
Arizona_Li_Battery_8hr_62,0,None,1,0,0,0,0,201147.2751,0,0
Arizona_Li_Battery_8hr_77,0,None,1,0,0,0,0,201147.2751,0,0
Arizona_Li_Battery_8hr_90,0,None,1,0,0,0,0,201147.2751,0,0
Arizona_Solar_48,0,None,1,0,0,0,0,73953.74471,0,0
Arizona_Solar_55,0,None,1,0,0,4695.792,4695.792,58602.60061,0,0
Arizona_Solar_62,0,None,1,0,0,0,0,61478.96895,0,0
Arizona_Solar_77,0,None,1,0,0,4248.768,4248.768,58160.17925,0,0
Arizona_Solar_90,0,None,1,0,0,0,0,61626.45296,0,0
Baja_California_Wind_133,0,None,1,0,0,2472.82,2472.82,94877.95213450001,0,0
Bell_Placer_group,0,None,1,0,0,0,0,35728.125,0,0
Borden_Storey_group,0,None,1,0,0,0,0,3716.92061,0,0
Calcite_Lugo_group,0,None,1,0,0,0,0,21180.975143400003,0,0
Capistrano_San_Onofre_group,0,None,1,0,0,0,0,5854.206522,0,0
Carberry_Round_Mt_group,0,None,1,0,0,0,0,641769.2308,0,0
Central_Nevada_Geothermal_42,0,None,1,0,0,40,40,519649.9668,0,0
Central_Valley_North_Los_Banos_Biomass_47,0,None,1,0,0,171,171,521585.33756949997,0,0
Central_Valley_North_Los_Banos_Wind_125,0,None,1,0,0,0,0,118652.9523,0,0
Central_Valley_North_Los_Banos_Wind_154,0,None,1,0,0,0,0,105933.5099,0,0
Central_Valley_North_Los_Banos_Wind_162,0,None,1,0,0,0,0,106133.2525,0,0
Central_Valley_North_Los_Banos_Wind_17,0,None,1,0,0,32,32,104023.3847,0,0
Chicarita_138_group,0,None,1,0,0,0,0,13242.85714,0,0
Collinsville_500_group,0,None,1,0,0,978,978,0,0,0
Colorado_River_230_group,0,None,1,0,0,0,0,4533.50365,0,0
Colorado_River_Red_Bluff_group,0,None,1,0,0,588,588,0,0,0
Contra_Costa_Tesla_Newark_group,0,None,1,0,0,0,0,6411.447862,0,0
Control_Inyokern_group,0,None,1,0,0,0,0,163969.3548,0,0
Cortina_Eagle_Rock_group,0,None,1,0,0,0,0,92700,0,0
DCRT_group,0,None,1,0,0,0,0,14306.699999999999,0,0
Dairyland_Chowchilla_group,0,None,1,0,0,0,0,19137.076795999998,0,0
Del_Amo_Barre_group,0,None,1,0,0,0,0,963.7996219,0,0
Devers_Red_Bluff_group,0,None,1,0,0,5000,5000,0,0,0
Diablo_Midway_4_group,0,None,1,0,0,0,0,18652.36364,0,0
East_Miguel_group,0,None,1,0,0,2823,2823,0,0,0
Encina_San_Luis_Rey_group,0,None,1,0,0,0,0,1991.913158,0,0
Etiwanda_Rancho_Vista_group,0,None,1,0,0,0,0,2462.776119,0,0
GLW_230_group,0,None,1,0,0,1285,1285,0,0,0
Gates_Panoche_group,0,None,1,0,0,0,0,2368.247691,0,0
Gates_TB_13_group,0,None,1,0,0,0,0,323.22175730000004,0,0
Gates_TB_5_group,0,None,1,0,0,0,0,216957.4468,0,0
Grant_Eastshore_2_group,0,None,1,0,0,0,0,39956.896551699996,0,0
Greater_Imperial_Biomass_20,0,None,1,0,0,0,0,521585.33756949997,0,0
Greater_Imperial_Flow_Battery_107,0,None,1,0,0,0,0,247877.892,0,0
Greater_Imperial_Flow_Battery_108,0,None,1,0,0,0,0,247877.892,0,0
Greater_Imperial_Flow_Battery_133,0,None,1,0,0,0,0,247877.892,0,0
Greater_Imperial_Flow_Battery_20,0,None,1,0,0,74.928,74.928,247877.892,0,0
Greater_Imperial_Flow_Battery_63,0,None,1,0,0,0,0,247877.892,0,0
Greater_Imperial_Geothermal_20,0,None,1,0,0,539.6,539.6,478746.1552,0,0
Greater_Imperial_Geothermal_63,0,None,1,0,0,761.6,761.6,479186.9341,0,0
Greater_Imperial_Li_Battery_4hr_107,0,None,1,0,0,0,0,122603.4726,0,0
Greater_Imperial_Li_Battery_4hr_108,0,None,1,0,0,0,0,122603.4726,0,0
Greater_Imperial_Li_Battery_4hr_133,0,None,1,0,0,0,0,122603.4726,0,0
Greater_Imperial_Li_Battery_4hr_20,0,None,1,0,0,0,0,122603.4726,0,0
Greater_Imperial_Li_Battery_4hr_63,0,None,1,0,0,0,0,122603.4726,0,0
Greater_Imperial_Li_Battery_8hr_107,0,None,1,0,0,0,0,202043.4726,0,0
Greater_Imperial_Li_Battery_8hr_108,0,None,1,0,0,0,0,202043.4726,0,0
Greater_Imperial_Li_Battery_8hr_133,0,None,1,0,0,0,0,202043.4726,0,0
Greater_Imperial_Li_Battery_8hr_20,0,None,1,0,0,0,0,202043.4726,0,0
Greater_Imperial_Li_Battery_8hr_63,0,None,1,0,0,0,0,202043.4726,0,0
Greater_Imperial_Solar_107,0,None,1,0,0,0,0,58426.1873,0,0
Greater_Imperial_Solar_108,0,None,1,0,0,39,39,66480.12333,0,0
Greater_Imperial_Solar_133,0,None,1,0,0,0,0,63491.5664,0,0
Greater_Imperial_Solar_20,0,None,1,0,0,0,0,70358.50681,0,0
Greater_Imperial_Solar_63,0,None,1,0,0,0,0,72478.85230510001,0,0
Greater_Imperial_Wind_108,0,None,1,0,0,133.205,133.205,95525.32689,0,0
Greater_Kramer_Flow_Battery_103,0,None,1,0,0,0,0,247877.892,0,0
Greater_Kramer_Flow_Battery_123,0,None,1,0,0,0,0,247877.892,0,0
Greater_Kramer_Flow_Battery_156,0,None,1,0,0,0,0,247877.892,0,0
Greater_Kramer_Flow_Battery_86,0,None,1,0,0,0,0,247877.892,0,0
Greater_Kramer_Li_Battery_4hr_103,0,None,1,0,0,231.483,231.483,122603.4726,0,0
Greater_Kramer_Li_Battery_4hr_123,0,None,1,0,0,0,0,122603.4726,0,0
Greater_Kramer_Li_Battery_4hr_156,0,None,1,0,0,0,0,122603.4726,0,0
Greater_Kramer_Li_Battery_4hr_86,0,None,1,0,0,0,0,122603.4726,0,0
Greater_Kramer_Li_Battery_8hr_103,0,None,1,0,0,0,0,202043.4726,0,0
Greater_Kramer_Li_Battery_8hr_123,0,None,1,0,0,0,0,202043.4726,0,0
Greater_Kramer_Li_Battery_8hr_156,0,None,1,0,0,0,0,202043.4726,0,0
Greater_Kramer_Li_Battery_8hr_86,0,None,1,0,0,2008.594,2008.594,202043.4726,0,0
Greater_Kramer_Solar_103,0,None,1,0,0,1012.315,1012.315,59385.870284200006,0,0
Greater_Kramer_Solar_123,0,None,1,0,0,0,0,67301.83359,0,0
Greater_Kramer_Solar_156,0,None,1,0,0,0,0,71139.04342,0,0
Greater_Kramer_Solar_86,0,None,1,0,0,0,0,66644.41657,0,0
Greater_LA_Flow_Battery_18,0,None,1,0,0,0,0,247877.892,0,0
Greater_LA_Flow_Battery_30,0,None,1,0,0,0,0,247877.892,0,0
Greater_LA_Flow_Battery_4,0,None,1,0,0,0,0,247877.892,0,0
Greater_LA_Flow_Battery_58,0,None,1,0,0,0,0,247877.892,0,0
Greater_LA_Li_Battery_4hr_18,0,None,1,0,0,0,0,122603.4726,0,0
Greater_LA_Li_Battery_4hr_30,0,None,1,0,0,0,0,122603.4726,0,0
Greater_LA_Li_Battery_4hr_4,0,None,1,0,0,0,0,122603.4726,0,0
Greater_LA_Li_Battery_4hr_58,0,None,1,0,0,0,0,122603.4726,0,0
Greater_LA_Li_Battery_8hr_18,0,None,1,0,0,0,0,202043.4726,0,0
Greater_LA_Li_Battery_8hr_30,0,None,1,0,0,0,0,202043.4726,0,0
Greater_LA_Li_Battery_8hr_4,0,None,1,0,0,0,0,202043.4726,0,0
Greater_LA_Li_Battery_8hr_58,0,None,1,0,0,0,0,202043.4726,0,0
Greater_LA_Solar_18,0,None,1,0,0,0,0,71971.82284980001,0,0
Greater_LA_Solar_30,0,None,1,0,0,0,0,72297.5664,0,0
Greater_LA_Solar_4,0,None,1,0,0,0,0,68347.19937609999,0,0
Greater_LA_Solar_58,0,None,1,0,0,0,0,73191.38953,0,0
