Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Time_Index
9000,1,1,1,9000,1,8760,8760,2134.330077,35399.83806,0,284.8072572,3141.819086,21973.32877,12512.18968,1
,,,,,,,,2051.54785,33604.63025,0,272.434964,3022.295497,21508.96797,12263.36428,2
,,,,,,,,2002.093533,30320.30067,0,267.2513154,2937.764011,21297.23869,12167.72454,3
,,,,,,,,1971.587745,28101.78123,0,264.6594911,2908.276283,21427.56448,12160.83524,4
,,,,,,,,1996.583677,27353.81255,0,267.0068037,2932.259635,21962.90271,12458.69627,5
,,,,,,,,2102.480422,28404.36864,0,282.8022611,3063.578316,23163.90497,13089.27011,6
,,,,,,,,2258.772191,31181.22608,0,305.6885585,3283.753349,24789.96979,13848.30918,7
,,,,,,,,2344.7797,34494.83479,0,328.8193677,3405.635956,26020.64623,14080.11395,8
,,,,,,,,2427.293153,38048.355824840495,0,356.1557786,3533.809279,26292.92688,14067.55111,9
,,,,,,,,2496.367933,39970.93398,0,370.8264821,3675.743541,26454.53085,13575.57384,10
,,,,,,,,2539.774848,40735.87302,0,377.477201,3790.549094,26237.58854,13215.30382,11
,,,,,,,,2533.189898,40234.46005,0,377.9173221,3833.011422,25952.07482,12876.51223,12
,,,,,,,,2497.30864,39328.61227,0,380.8514628,4014.655824,25791.27285,12657.2703,13
,,,,,,,,2462.233703,38496.12067,0,381.0470722,3981.629569,25291.62383,12465.99083,14
,,,,,,,,2410.091651,37310.75702,0,373.8584275,3942.312599,25037.78929,12473.69064,15
,,,,,,,,2381.870438,35834.68503,0,363.2955209,3948.210144,25028.16523,12686.44852,16
,,,,,,,,2399.340713,33963.76657,0,343.7834853,3994.997339,25849.4182,13294.73343,17
,,,,,,,,2553.482294,35625.85554,0,362.7575952,3974.159345,26805.00697,13845.47241,18
,,,,,,,,2606.29628,36682.90497,0,374.3474509,4077.956146,26898.84154,14842.39505,19
,,,,,,,,2592.051286,36413.91972,0,375.0320837,4053.579624,26648.61603,14810.38005,20
,,,,,,,,2550.660173,35626.79345,0,365.007103,3960.005235,25771.22272,14768.63898,21
,,,,,,,,2468.281106,36047.70035,0,350.7276183,3781.113021,24227.3634,14302.19266,22
,,,,,,,,2324.352916,35302.04344,0,323.5868168,3503.142042,22267.66455,13493.30746,23
,,,,,,,,2159.460396,35995.08974,0,297.1306482,3216.12816,22158.19089,12778.44097,24
,,,,,,,,2096.433019,36417.6496,0,281.8731165,3090.313855,21061.85027,12462.34355,25
,,,,,,,,2015.39782,33285.38508,0,270.4788702,2982.585357,20788.76762,12213.9234,26
,,,,,,,,1965.540342,30130.587617839603,0,267.3002177,2903.558247,20838.89292,12172.58758,27
,,,,,,,,1963.927701,28141.73317,0,267.2513154,2892.156326,21193.37906,12204.19732,28
,,,,,,,,2019.429421,27944.77618,0,272.4838663,2973.935624,22171.02297,12569.73562,29
,,,,,,,,2162.551291,29692.5499,0,291.7024879,3205.512578,24036.88724,13392.80468,30
,,,,,,,,2383.348692,33265.481745781304,0,323.9780356,3542.459012,26239.99456,14441.59973,31
,,,,,,,,2491.664398,36976.34086,0,350.3853019,3721.744396,27609.81883,14614.23755,32
,,,,,,,,2525.933014,40311.72293,0,374.2007439,3867.217186,27778.64085,14498.33516,33
,,,,,,,,2560.067244,41952.64395,0,386.9153536,4017.014842,27793.87895,13858.03525,34
,,,,,,,,2581.972282,42291.243068030206,0,392.0500998,4085.42637,27416.13466,13394.4257,35
,,,,,,,,2582.241055,41567.04689,0,393.2726584,4081.887843,26900.44555,13058.87612,36
,,,,,,,,2561.142338,40647.19875550361,0,391.6099787,4041.784533,26638.59097,12771.14642,37
,,,,,,,,2523.514053,39758.49142,0,392.8325373,4001.681224,26172.62615,12603.77689,38
,,,,,,,,2469.893747,38455.85852,0,384.3235293,3961.971084,25956.48584,12573.3829,39
,,,,,,,,2443.150787,36839.52128,0,365.3494194,3900.63661,26081.1976,12832.33964,40
,,,,,,,,2440.866213,34845.847845251694,0,349.0649386,3952.928181,26961.79892,13342.95855,41
,,,,,,,,2577.134359,36700.76542,0,375.4722049,4154.231068,27916.98669,14058.63554,42
,,,,,,,,2576.596812,37616.21783,0,385.2526739,4220.283578,27896.93657,14878.05732,43
,,,,,,,,2531.308484,36996.132318720105,0,383.5410918,4153.837898,27202.40037,14665.29944,44
,,,,,,,,2477.553791,36098.53158,0,371.9023337,4048.075249,26447.71381,14566.01243,45
,,,,,,,,2384.155012,36642.32509,0,354.0529777,3875.08058,25215.83437,14222.3578,46
,,,,,,,,2243.452104,35943.05643,0,331.0688756,3604.579825,23725.70936,13514.38062,47
,,,,,,,,2088.504202,36495.89673,0,302.1186874,3313.634246,22755.2835,12838.41843,48
,,,,,,,,1977.769535,36224.07845,0,282.7044564,3114.297207,21872.27616,12369.54059,49
,,,,,,,,1908.560368,32999.888518248204,0,269.0117998,3000.277994,21671.37395,12162.45625,50
,,,,,,,,1862.868879,29698.308567276697,0,263.9259559,2889.797307,21620.84765,12048.17488,51
,,,,,,,,1847.683178,27445.798029010803,0,260.9918152,2835.933058,21678.59199,11980.49761,52
,,,,,,,,1862.600105,26581.718921525196,0,263.7303465,2827.283325,21977.3388,12206.62884,53
,,,,,,,,1917.698665,27196.825307824198,0,274.6355695,2904.737756,22776.93763,12630.92884,54
,,,,,,,,2035.018282,29833.153584502405,0,293.0717535,3082.843631,24287.11276,13159.78415,55
,,,,,,,,2126.40126,33377.69451,0,317.1806096,3234.213966,25681.39818,13453.9979,56
,,,,,,,,2223.159707,36959.326321852204,0,344.2725087,3393.840865,26262.85169,13724.30173,57
,,,,,,,,2301.238398,38775.47719,0,363.1977163,3556.219952,26461.34789,13401.315,58
,,,,,,,,2355.127478,39262.93832,0,368.8214859,3639.178759,26392.37548,13064.54967,59
,,,,,,,,2360.906107,38456.7973,0,369.3594117,3643.503626,25941.64875,12772.36218,60
,,,,,,,,2338.19475,37481.9024,0,367.843439,3580.989643,25623.25283,12517.05272,61
,,,,,,,,2302.851039,36642.4397,0,365.0560054,3551.895085,25288.81681,12350.49369,62
,,,,,,,,2265.357141,35551.18332,0,352.8793215,3504.714721,25148.06496,12355.35673,63
,,,,,,,,2237.404701,34217.45289,0,342.8543407,3472.081636,25446.41076,12606.61366,64
,,,,,,,,2254.740589,32580.57771,0,332.0469225,3540.886333,26348.26521,13150.86858,65
,,,,,,,,2407.403917,34861.75722,0,356.4491927,3827.507046,27532.42537,14052.15149,66
,,,,,,,,2436.968998,36024.47323,0,366.425271,3956.073538,27627.46294,14811.19056,67
,,,,,,,,2401.625287,35511.67957,0,360.752599,3928.551659,27099.74375,14623.15312,68
,,,,,,,,2341.957578,34951.76058,0,350.6787159,3850.310889,26294.12988,14533.99743,69
,,,,,,,,2258.234644,35709.34682,0,335.2255749,3734.718996,25143.65393,14190.74805,70
,,,,,,,,2132.17989,35248.42046,0,313.7574455,3517.296151,23730.12039,13559.76897,71
,,,,,,,,1993.761556,35984.83126,0,290.2354175,3270.778748,21800.09573,12927.16886,72
,,,,,,,,1892.568346,35919.11935,0,273.8042296,3093.459213,21822.15086,12533.26284,73
,,,,,,,,1824.1655,32782.613173232996,0,262.4588856,2978.26049,21487.71484,12300.64756,74
,,,,,,,,1787.343535,29449.773533956104,0,257.9109675,2880.754404,21427.96548,12236.61757,75
,,,,,,,,1771.485901,27069.745993683202,0,255.710362,2804.872652,21418.74242,12214.7339,76
,,,,,,,,1779.683492,25948.17258,0,256.2482878,2768.30787,21589.56946,12348.87268,77
,,,,,,,,1813.414561,26199.120748158097,0,263.7303465,2802.513634,22154.18087,12697.79561,78
,,,,,,,,1907.61966,28457.6166,0,275.4669093,2960.567854,23557.28835,13197.47269,79
,,,,,,,,1995.23981,31884.999933519302,0,294.978945,3071.834879,24903.45348,13453.59265,80
,,,,,,,,2101.002168,35463.54182,0,322.3153558,3212.196463,25531.42327,13678.91338,81
,,,,,,,,2195.207267,37375.31405,0,341.4850751,3382.438944,25891.92445,13373.35254,82
,,,,,,,,2257.428324,38028.13373,0,349.1627432,3450.064132,25941.64875,12986.33582,83
,,,,,,,,2257.15955,37515.237688490895,0,350.1896925,3479.94503,25503.75411,12660.10707,84
,,,,,,,,2258.906578,36692.28575,0,350.2385948,3472.474805,25286.00979,12453.42798,85
,,,,,,,,2244.527198,36014.69679,0,347.2066494,3450.457302,25046.21034,12303.48433,86
,,,,,,,,2227.460083,34903.48305,0,337.7195945,3432.371496,24964.80685,12313.21041,87
,,,,,,,,2211.199288,33846.00525,0,327.3522974,3445.346096,25184.95718,12581.48796,88
,,,,,,,,2254.203042,32496.19132,0,320.9949925,3544.424861,26174.63116,13227.05616,89
,,,,,,,,2436.834611,35193.70113,0,350.2874972,3895.132235,27487.51309,14204.12141,90
,,,,,,,,2512.225568,36683.451908353694,0,360.6547943,4083.853691,27801.49799,15083.9259,91
,,,,,,,,2504.834297,36415.03065,0,356.7915091,4106.264364,27278.18983,14930.74023,92
,,,,,,,,2480.241525,36036.794327182106,0,347.9401846,4114.520928,26331.82411,14831.04796,93
,,,,,,,,2397.996845,36735.61115,0,332.5359459,3996.570018,24691.3232,14380.81176,94
,,,,,,,,2245.736678,35959.66794,0,309.1117227,3739.043863,22002.20095,13546.39561,95
,,,,,,,,2104.496223,36497.088665550495,0,282.36214,3440.23489,21876.68719,12882.18577,96
,,,,,,,,2008.544096,36241.98059,0,267.5936318,3223.205214,21144.85777,12470.04336,97
,,,,,,,,1957.611525,33313.48906,0,258.546698,3111.151849,20978.04076,12318.4787,98
,,,,,,,,1931.406112,30085.15517,0,255.6614596,3033.697418,21126.41166,12277.14288,99
,,,,,,,,1952.504829,28298.07364,0,256.2971901,2999.098484,21625.25867,12373.18787,100
,,,,,,,,2056.116999,28134.89678,0,264.366077,3071.04854,22722.4013,12861.92311,101
,,,,,,,,2258.234644,29988.51934,0,283.6825033,3377.720907,24715.38334,13809.40488,102
,,,,,,,,2556.035642,33695.77179,0,319.7235316,3748.479936,27072.87659,15019.49066,103
,,,,,,,,2692.572562,37502.90681,0,348.5759151,3934.056035,28340.84625,15323.02523,104
,,,,,,,,2787.718368,41194.06668,0,373.8584275,4071.272261,28386.56053,15154.03469,105
,,,,,,,,2830.990896,42946.171033206105,0,388.0890099,4193.154869,28329.21718,14465.91491,106
,,,,,,,,2810.967273,43195.67036,0,393.4682678,4222.249426,28115.88389,13894.50803,107
,,,,,,,,2779.386391,42373.874322512704,0,393.2237561,4195.907056,27783.85389,13522.89093,108
,,,,,,,,2728.050659,41330.224121844505,0,389.0670568,4143.615486,27478.29004,13275.68654,109
,,,,,,,,2672.414552,40307.626303066696,0,385.1548692,4098.40097,27213.62844,13086.43334,110
,,,,,,,,2617.584766,38950.18622,0,372.9292829,4035.886988,26897.23753,13038.61347,111
,,,,,,,,2592.991994,37484.45594,0,358.6497982,3980.05689,27084.10466,13194.63592,112
,,,,,,,,2612.612456,35781.70658,0,353.0260285,4073.23811,27858.03933,13920.84948,113
,,,,,,,,2794.840865,38484.41614,0,385.692795,4375.97878,29140.44508,15060.01597,114
