Time_Index,BuyPrice_1,BuyPrice_2,SellPrice_1,SellPrice_2
1,0,60.96,0,59.13
2,0,58.74,0,56.98
3,0,56.77,0,55.07
4,0,56.49,0,54.8
5,0,58.45,0,56.7
6,0,61.02,0,59.19
7,0,61.04,0,59.21
8,0,61.04,0,59.21
9,0,40.99,0,39.76
10,0,38.57,0,37.41
11,0,38.56,0,37.4
12,0,38.39,0,37.24
13,0,38.38,0,37.23
14,0,38.38,0,37.23
15,0,38.38,0,37.23
16,0,41.66,0,40.41
17,0,78.34,0,75.99
18,0,82.07,0,79.61
19,0,82.98,0,80.49
20,0,82.98,0,80.49
21,0,82.07,0,79.61
22,0,82.07,0,79.61
23,0,81.12,0,78.69
24,0,74.41,0,72.18
25,0,67.22,0,65.2
26,0,61.85,0,59.99
27,0,57.25,0,55.53
28,0,54.98,0,53.33
29,0,55.34,0,53.68
30,0,64.6,0,62.66
31,0,71.67,0,69.52
32,0,71.72,0,69.57
33,0,51.97,0,50.41
34,0,38.38,0,37.23
35,0,33.95,0,32.93
36,0,33.95,0,32.93
37,0,33.4,0,32.4
38,0,32.74,0,31.76
39,0,33.95,0,32.93
40,0,33.95,0,32.93
41,0,65.26,0,63.3
42,0,73.81,0,71.6
43,0,76.49,0,74.2
44,0,74.26,0,72.03
45,0,73.8,0,71.59
46,0,73.76,0,71.55
47,0,70.86,0,68.73
48,0,63.39,0,61.49
49,0,64.5,0,62.57
50,0,61.59,0,59.74
51,0,60.85,0,59.02
52,0,61.33,0,59.49
53,0,68.56,0,66.5
54,0,78.1,0,75.76
55,0,78.13,0,75.79
56,0,77.9,0,75.56
57,0,59.69,0,57.9
58,0,51.15,0,49.62
59,0,50.73,0,49.21
60,0,51.14,0,49.61
61,0,51.14,0,49.61
62,0,51.14,0,49.61
63,0,51.14,0,49.61
64,0,56.05,0,54.37
65,0,77.43,0,75.11
66,0,82.14,0,79.68
67,0,89.97,0,87.27
68,0,83.2,0,80.7
69,0,82.14,0,79.68
70,0,82.14,0,79.68
71,0,81.34,0,78.9
72,0,75.16,0,72.91
73,0,68.89,0,66.82
74,0,64.17,0,62.24
75,0,60.72,0,58.9
76,0,60.72,0,58.9
77,0,60.72,0,58.9
78,0,71.66,0,69.51
79,0,78.27,0,75.92
80,0,77.67,0,75.34
81,0,65.53,0,63.56
82,0,57.3,0,55.58
83,0,57.04,0,55.33
84,0,57.04,0,55.33
85,0,57.04,0,55.33
86,0,57.04,0,55.33
87,0,57.04,0,55.33
88,0,57.05,0,55.34
89,0,72.7,0,70.52
90,0,79.2,0,76.82
91,0,79.89,0,77.49
92,0,79.4,0,77.02
93,0,79.2,0,76.82
94,0,79.2,0,76.82
95,0,78.83,0,76.47
96,0,73.83,0,71.62
97,0,69.13,0,67.06
98,0,66.09,0,64.11
99,0,59.39,0,57.61
100,0,58.85,0,57.08
101,0,59.93,0,58.13
102,0,66.8,0,64.8
103,0,74.78,0,72.54
104,0,70.94,0,68.81
105,0,62.56,0,60.68
106,0,57.7,0,55.97
107,0,57.39,0,55.67
108,0,57.55,0,55.82
109,0,57.37,0,55.65
110,0,57.37,0,55.65
111,0,57.38,0,55.66
112,0,60.44,0,58.63
113,0,72.72,0,70.54
114,0,75.39,0,73.13
115,0,75.38,0,73.12
116,0,75.38,0,73.12
117,0,75.38,0,73.12
118,0,75.37,0,73.11
119,0,75.16,0,72.91
120,0,70.97,0,68.84
121,0,64.83,0,62.89
122,0,62.6,0,60.72
123,0,61.72,0,59.87
124,0,61.28,0,59.44
125,0,60.97,0,59.14
126,0,62.67,0,60.79
127,0,67.01,0,65
128,0,63.28,0,61.38
129,0,59.17,0,57.39
130,0,54.27,0,52.64
131,0,53.14,0,51.55
132,0,52.61,0,51.03
133,0,51.95,0,50.39
134,0,52.2,0,50.63
135,0,52.44,0,50.87
136,0,57.25,0,55.53
137,0,66.38,0,64.39
138,0,70.88,0,68.75
139,0,70.87,0,68.74
140,0,70.87,0,68.74
141,0,70.87,0,68.74
142,0,70.87,0,68.74
143,0,68.33,0,66.28
144,0,64.73,0,62.79
145,0,62.4,0,60.53
146,0,61.37,0,59.53
147,0,60.92,0,59.09
148,0,60.66,0,58.84
149,0,60.74,0,58.92
150,0,61.81,0,59.96
151,0,64.82,0,62.88
152,0,58.61,0,56.85
153,0,19.79,0,19.2
154,0,18.79,0,18.23
155,0,18.78,0,18.22
156,0,18.77,0,18.21
157,0,18.58,0,18.02
158,0,18.72,0,18.16
159,0,18.71,0,18.15
160,0,18.72,0,18.16
161,0,56.79,0,55.09
162,0,70.73,0,68.61
163,0,71.5,0,69.36
164,0,71.05,0,68.92
165,0,70.7,0,68.58
166,0,70.56,0,68.44
167,0,65.53,0,63.56
168,0,61.22,0,59.38
169,0,60.96,0,59.13
170,0,58.74,0,56.98
171,0,56.77,0,55.07
172,0,56.49,0,54.8
173,0,58.45,0,56.7
174,0,61.02,0,59.19
175,0,61.04,0,59.21
176,0,61.04,0,59.21
177,0,40.99,0,39.76
178,0,38.57,0,37.41
179,0,38.56,0,37.4
180,0,38.39,0,37.24
181,0,38.38,0,37.23
182,0,38.38,0,37.23
183,0,38.38,0,37.23
184,0,41.66,0,40.41
185,0,78.34,0,75.99
186,0,82.07,0,79.61
187,0,82.98,0,80.49
188,0,82.98,0,80.49
189,0,82.07,0,79.61
190,0,82.07,0,79.61
191,0,81.12,0,78.69
192,0,74.41,0,72.18
193,0,67.22,0,65.2
194,0,61.85,0,59.99
195,0,57.25,0,55.53
196,0,54.98,0,53.33
197,0,55.34,0,53.68
198,0,64.6,0,62.66
199,0,71.67,0,69.52
200,0,71.72,0,69.57
201,0,51.97,0,50.41
202,0,38.38,0,37.23
203,0,33.95,0,32.93
204,0,33.95,0,32.93
205,0,33.4,0,32.4
206,0,32.74,0,31.76
207,0,33.95,0,32.93
208,0,33.95,0,32.93
209,0,65.26,0,63.3
210,0,73.81,0,71.6
211,0,76.49,0,74.2
212,0,74.26,0,72.03
213,0,73.8,0,71.59
214,0,73.76,0,71.55
215,0,70.86,0,68.73
216,0,63.39,0,61.49
217,0,64.5,0,62.57
218,0,61.59,0,59.74
219,0,60.85,0,59.02
220,0,61.33,0,59.49
221,0,68.56,0,66.5
222,0,78.1,0,75.76
223,0,78.13,0,75.79
224,0,77.9,0,75.56
225,0,59.69,0,57.9
226,0,51.15,0,49.62
227,0,50.73,0,49.21
228,0,51.14,0,49.61
229,0,51.14,0,49.61
230,0,51.14,0,49.61
231,0,51.14,0,49.61
232,0,56.05,0,54.37
233,0,77.43,0,75.11
234,0,82.14,0,79.68
235,0,89.97,0,87.27
236,0,83.2,0,80.7
237,0,82.14,0,79.68
