Resource,Zone,Num_VRE_Bins,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,curtailment_cost_per_mwh,region,cluster
Aquamarine_Westside,1,1,0,0,50,0,0,0,78921.8,0,1,1,0,0,5,CCA,1
Arizona_Solar,1,1,1,0,0,9999,0,35266.6,20936,0,1,1,0,0,5,CCA,1
Humboldt_Bay_Offshore_Wind,1,1,1,0,0,0,0,183676.1,90100.4,0,1,1,0,0,5,CCA,1
Morro_Bay_Offshore_Wind,1,1,1,0,0,0,0,188347.4,93812.1,0,1,1,0,0,5,CCA,1
New_Mexico_Wind,1,1,1,0,0,9999,0,96488,46312.8,0,1,1,0,0,5,CCA,1
Northern_California_Solar,1,1,1,0,0,9999,0,153546.2,21282.8,0,1,1,0,0,5,CCA,1
Northern_California_Wind,1,1,1,0,0,9999,0,42531.9,47522.3,0,1,1,0,0,5,CCA,1
NW_Ext_Tx_Wind,1,1,1,0,0,9999,0,70069.1,46317.7,0,1,1,0,0,5,CCA,1
Riverside_Palm_Springs_Wind,1,1,1,0,0,9999,0,59330.2,47522.3,0,1,1,0,0,5,CCA,1
Riverside_Solar,1,1,1,0,0,9999,0,33950.2,21332.9,0,1,1,0,0,5,CCA,1
Wyoming_Wind,1,1,1,0,0,9999,0,167879.9,46317.7,0,1,1,0,0,5,CCA,1
