Time_Index,BuyPrice_1,BuyPrice_2,SellPrice_1,SellPrice_2
1,0,60.91,0,59.69
2,0,59.35,0,58.16
3,0,57.02,0,55.88
4,0,56.01,0,54.89
5,0,58.18,0,57.02
6,0,60.94,0,59.72
7,0,60.96,0,59.74
8,0,60.96,0,59.74
9,0,35.11,0,34.41
10,0,32.56,0,31.91
11,0,32.55,0,31.9
12,0,32.47,0,31.82
13,0,32.46,0,31.81
14,0,32.46,0,31.81
15,0,32.46,0,31.81
16,0,34.89,0,34.19
17,0,77.2,0,75.66
18,0,80.67,0,79.06
19,0,81.23,0,79.61
20,0,81.12,0,79.5
21,0,80.67,0,79.06
22,0,80.67,0,79.06
23,0,79.99,0,78.39
24,0,73.96,0,72.48
25,0,66.9,0,65.56
26,0,61.25,0,60.03
27,0,56.52,0,55.39
28,0,54.74,0,53.65
29,0,54.8,0,53.7
30,0,62.92,0,61.66
31,0,70.75,0,69.34
32,0,70.8,0,69.38
33,0,46.47,0,45.54
34,0,31.61,0,30.98
35,0,28.15,0,27.59
36,0,28.15,0,27.59
37,0,27.87,0,27.31
38,0,25.92,0,25.4
39,0,28.14,0,27.58
40,0,28.15,0,27.59
41,0,61,0,59.78
42,0,68.47,0,67.1
43,0,69.81,0,68.41
44,0,68.69,0,67.32
45,0,68.46,0,67.09
46,0,68.44,0,67.07
47,0,66.99,0,65.65
48,0,61.9,0,60.66
49,0,65.79,0,64.47
50,0,62.79,0,61.53
51,0,60.59,0,59.38
52,0,59.3,0,58.11
53,0,63.2,0,61.94
54,0,70.31,0,68.9
55,0,72.39,0,70.94
56,0,68.29,0,66.92
57,0,40.84,0,40.02
58,0,33.89,0,33.21
59,0,34.87,0,34.17
60,0,36.56,0,35.83
61,0,36.56,0,35.83
62,0,36.56,0,35.83
63,0,36.56,0,35.83
64,0,43.16,0,42.3
65,0,71.81,0,70.37
66,0,75.03,0,73.53
67,0,78.95,0,77.37
68,0,75.56,0,74.05
69,0,75.03,0,73.53
70,0,75.03,0,73.53
71,0,74.63,0,73.14
72,0,71.36,0,69.93
73,0,68.34,0,66.97
74,0,64.23,0,62.95
75,0,60.16,0,58.96
76,0,58.9,0,57.72
77,0,58.67,0,57.5
78,0,64.42,0,63.13
79,0,69.7,0,68.31
80,0,64.45,0,63.16
81,0,53.77,0,52.69
82,0,46.99,0,46.05
83,0,46.86,0,45.92
84,0,46.84,0,45.9
85,0,46.82,0,45.88
86,0,46.81,0,45.87
87,0,46.77,0,45.83
88,0,46.8,0,45.86
89,0,67.09,0,65.75
90,0,75.8,0,74.28
91,0,76.15,0,74.63
92,0,75.9,0,74.38
93,0,75.8,0,74.28
94,0,75.8,0,74.28
95,0,75.54,0,74.03
96,0,71.2,0,69.78
97,0,68.39,0,67.02
98,0,64.99,0,63.69
99,0,59.28,0,58.09
100,0,57.59,0,56.44
101,0,58.43,0,57.26
102,0,65.67,0,64.36
103,0,72.75,0,71.3
104,0,68.23,0,66.87
105,0,60.94,0,59.72
106,0,56.05,0,54.93
107,0,55.55,0,54.44
108,0,55.63,0,54.52
109,0,55.53,0,54.42
110,0,55.53,0,54.42
111,0,55.54,0,54.43
112,0,58.66,0,57.49
113,0,71.25,0,69.83
114,0,76.74,0,75.21
115,0,76.74,0,75.21
116,0,76.74,0,75.21
117,0,76.73,0,75.2
118,0,76.71,0,75.18
119,0,74.71,0,73.22
120,0,69.61,0,68.22
121,0,65.17,0,63.87
122,0,60.78,0,59.56
123,0,59.41,0,58.22
124,0,59.19,0,58.01
125,0,59.3,0,58.11
126,0,63.81,0,62.53
127,0,69.75,0,68.36
128,0,68.03,0,66.67
129,0,62.73,0,61.48
130,0,56.79,0,55.65
131,0,54.98,0,53.88
132,0,54.1,0,53.02
133,0,53.66,0,52.59
134,0,53.78,0,52.7
135,0,53.9,0,52.82
136,0,59.21,0,58.03
137,0,69.32,0,67.93
138,0,73.63,0,72.16
139,0,73.62,0,72.15
140,0,73.62,0,72.15
141,0,73.61,0,72.14
142,0,73.61,0,72.14
143,0,70.39,0,68.98
144,0,65.53,0,64.22
145,0,63.09,0,61.83
146,0,60.48,0,59.27
147,0,59.83,0,58.63
148,0,59.7,0,58.51
149,0,60.05,0,58.85
150,0,63.59,0,62.32
151,0,69.15,0,67.77
152,0,65.83,0,64.51
153,0,33.33,0,32.66
154,0,23.84,0,23.36
155,0,22.6,0,22.15
156,0,21.84,0,21.4
157,0,21.54,0,21.11
158,0,22.34,0,21.89
159,0,22.1,0,21.66
160,0,24.71,0,24.22
161,0,60.92,0,59.7
