Resource,Zone,region,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,cluster
Antelope_Neenach_Off_Peak_group,0,None,1,0,0.0,15.0,0.0,278100.0,0,0
Antelope_Neenach_On_Peak_group,0,None,1,0,0.0,2000.0,0.0,4635.0,0,0
Antelope_Vincent_group,0,None,1,0,0.0,1500.0,0.0,815.76,0,0
Arizona_Flow_Battery_48,0,None,1,0,0.0,99999.0,0.0,247322.1085518,0,0
Arizona_Flow_Battery_55,0,None,1,0,0.0,99999.0,0.0,247322.1085518,0,0
Arizona_Flow_Battery_62,0,None,1,0,0.0,99999.0,0.0,247322.1085518,0,0
Arizona_Flow_Battery_77,0,None,1,0,0.0,99999.0,0.0,247322.1085518,0,0
Arizona_Flow_Battery_90,0,None,1,0,0.0,99999.0,0.0,247322.1085518,0,0
Arizona_Li_Battery_4hr_48,0,None,1,0,0.0,99999.0,0.0,121707.275086,0,0
Arizona_Li_Battery_4hr_55,0,None,1,0,0.0,99999.0,0.0,121707.275086,0,0
Arizona_Li_Battery_4hr_62,0,None,1,0,0.0,99999.0,0.0,121707.275086,0,0
Arizona_Li_Battery_4hr_77,0,None,1,0,0.0,99999.0,0.0,121707.275086,0,0
Arizona_Li_Battery_4hr_90,0,None,1,0,0.0,99999.0,0.0,121707.275086,0,0
Arizona_Li_Battery_8hr_48,0,None,1,0,0.0,99999.0,0.0,201147.275086,0,0
Arizona_Li_Battery_8hr_55,0,None,1,0,0.0,99999.0,0.0,201147.275086,0,0
Arizona_Li_Battery_8hr_62,0,None,1,0,0.0,99999.0,0.0,201147.275086,0,0
Arizona_Li_Battery_8hr_77,0,None,1,0,0.0,99999.0,0.0,201147.275086,0,0
Arizona_Li_Battery_8hr_90,0,None,1,0,0.0,99999.0,0.0,201147.275086,0,0
Arizona_Solar_48,0,None,1,0,0.0,14905.4104489658,0.0,92442.180892,0,0
Arizona_Solar_55,0,None,1,0,0.0,7835.2612013079,0.0,73253.250756875,0,0
Arizona_Solar_62,0,None,1,0,0.0,16736.1940350692,0.0,76848.7111825,0,0
Arizona_Solar_77,0,None,1,0,0.0,7333.7686547617,0.0,72700.22406562499,0,0
Arizona_Solar_90,0,None,1,0,0.0,27874.8134482918,0.0,77033.066196,0,0
Baja_California_Wind_133,0,None,1,0,0.0,2472.82,0.0,94877.9521345,0,0
Bell_Placer_group,0,None,1,0,0.0,480.0,0.0,35728.125,0,0
Borden_Storey_group,0,None,1,0,0.0,1247.0,0.0,3716.9206095,0,0
Calcite_Lugo_group,0,None,1,0,0.0,1046.0,0.0,21180.975143400003,0,0
Capistrano_San_Onofre_group,0,None,1,0,0.0,920.0,0.0,5854.2065217,0,0
Carberry_Round_Mt_group,0,None,1,0,0.0,26.0,0.0,641769.2307692,0,0
Central_Nevada_Geothermal_42,0,None,1,0,0.0,596.0,0.0,519649.9667716,0,0
Central_Valley_North_Los_Banos_Biomass_47,0,None,1,0,0.0,384.7083918068,0.0,521585.3375695,0,0
Central_Valley_North_Los_Banos_Wind_125,0,None,1,0,0.0,146.3324923484,0.0,118652.9522501,0,0
Central_Valley_North_Los_Banos_Wind_154,0,None,1,0,0.0,1222.7836461671,0.0,105933.5099165,0,0
Central_Valley_North_Los_Banos_Wind_162,0,None,1,0,0.0,1391.5100366425,0.0,106133.2524891,0,0
Central_Valley_North_Los_Banos_Wind_17,0,None,1,0,0.0,47.1043903223,0.0,104023.3847446,0,0
Chicarita_138_group,0,None,1,0,0.0,700.0,0.0,13242.8571429,0,0
Collinsville_500_group,0,None,1,0,0.0,978.0,0.0,0.0,0,0
Colorado_River_230_group,0,None,1,0,0.0,1370.0,0.0,4533.5036496,0,0
Colorado_River_Red_Bluff_group,0,None,1,0,0.0,588.0,0.0,0.0,0,0
Contra_Costa_Tesla_Newark_group,0,None,1,0,0.0,6034.0,0.0,6411.4478621,0,0
Control_Inyokern_group,0,None,1,0,0.0,186.0,0.0,163969.3548387,0,0
Cortina_Eagle_Rock_group,0,None,1,0,0.0,50.0,0.0,92700.0,0,0
DCRT_group,0,None,1,0,0.0,3000.0,0.0,14306.7,0,0
Dairyland_Chowchilla_group,0,None,1,0,0.0,1211.0,0.0,19137.076796,0,0
Del_Amo_Barre_group,0,None,1,0,0.0,1058.0,0.0,963.7996219,0,0
Devers_Red_Bluff_group,0,None,1,0,0.0,5000.0,0.0,0.0,0,0
Diablo_Midway_4_group,0,None,1,0,0.0,4125.0,0.0,18652.3636364,0,0
East_Miguel_group,0,None,1,0,0.0,2823.0,0.0,0.0,0,0
Encina_San_Luis_Rey_group,0,None,1,0,0.0,3914.0,0.0,1991.9131579,0,0
Etiwanda_Rancho_Vista_group,0,None,1,0,0.0,3350.0,0.0,2462.7761194,0,0
GLW_230_group,0,None,1,0,0.0,1285.0,0.0,0.0,0,0
Gates_Panoche_group,0,None,1,0,0.0,8379.0,0.0,2368.2476907,0,0
Gates_TB_13_group,0,None,1,0,0.0,10038.0,0.0,323.22175730000004,0,0
Gates_TB_5_group,0,None,1,0,0.0,47.0,0.0,216957.4468085,0,0
Grant_Eastshore_2_group,0,None,1,0,0.0,290.0,0.0,39956.8965517,0,0
Greater_Imperial_Biomass_20,0,None,1,0,0.0,133.5805559137,0.0,521585.3375695,0,0
Greater_Imperial_Flow_Battery_107,0,None,1,0,0.0,99999.0,0.0,247877.8919778,0,0
Greater_Imperial_Flow_Battery_108,0,None,1,0,0.0,99999.0,0.0,247877.8919778,0,0
Greater_Imperial_Flow_Battery_133,0,None,1,0,0.0,99999.0,0.0,247877.8919778,0,0
Greater_Imperial_Flow_Battery_20,0,None,1,0,0.0,99999.0,0.0,247877.8919778,0,0
Greater_Imperial_Flow_Battery_63,0,None,1,0,0.0,99999.0,0.0,247877.8919778,0,0
Greater_Imperial_Geothermal_20,0,None,1,0,0.0,547.5379393486,0.0,478746.1552411,0,0
Greater_Imperial_Geothermal_63,0,None,1,0,0.0,1920.17,0.0,479186.9341014,0,0
Greater_Imperial_Li_Battery_4hr_107,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Greater_Imperial_Li_Battery_4hr_108,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Greater_Imperial_Li_Battery_4hr_133,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Greater_Imperial_Li_Battery_4hr_20,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Greater_Imperial_Li_Battery_4hr_63,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Greater_Imperial_Li_Battery_8hr_107,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Greater_Imperial_Li_Battery_8hr_108,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Greater_Imperial_Li_Battery_8hr_133,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Greater_Imperial_Li_Battery_8hr_20,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Greater_Imperial_Li_Battery_8hr_63,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Greater_Imperial_Solar_107,0,None,1,0,0.0,681.4365632529,0.0,73032.7341255,0,0
Greater_Imperial_Solar_108,0,None,1,0,0.0,1666.5111918532,0.0,83100.154164375,0,0
Greater_Imperial_Solar_133,0,None,1,0,0.0,109.1417919032,0.0,79364.457999375,0,0
Greater_Imperial_Solar_20,0,None,1,0,0.0,8871.2687068015,0.0,87948.13351125,0,0
Greater_Imperial_Solar_63,0,None,1,0,0.0,2947.9477598113,0.0,90598.56538137501,0,0
